Time frequency,Unit of measure,Geopolitical entity (reporting),Purchases\Time,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Euro,Austria,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8731532864.0,8347618823.0,9294997953.0,9984663943.0,11079718853.0,12180418207.0,14497829592.0,13547080266 p,10595316893 ep
Annual,Euro,Austria,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3231079419.0,3458128479.0,3746801156.0,4071636783.0,5377611720.0,6475095478.0,7598871198.0,6105194808 p,2955587858 ep
Annual,Euro,Austria,Total,:,:,:,:,:,:,:,:,:,:,:,:,8345319841.0,8943396586.0,9440644606.0,9349945409.0,12080605937.0,11962612282.0,11805747302.0,13041799109.0,14056300727.0,16457330573.0,18655513685.0,22096700790.0,19652275075 p,13550904751 ep
Annual,Euro,Belgium,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,21572699417.0,24536459273.0,24322723850.0,24227928850.0,27407165280.0,21832536502.0,26979690464.0,29654517778.0,32170264075.0,38905306431.0,33723782980.0,43154515257.0,46500200338.0,39696526110.0
Annual,Euro,Belgium,Total,:,:,:,:,:,:,:,24346251049 e,26759323267 e,29155112679 e,29162558375 e,27032357576 e,21572699417 d,24536459273 d,24322723850 d,24227928850 d,27407165280 d,21832536502 d,26979690464 d,29654517778 d,32170264075 d,38905306431 d,33723782980 d,43154515257 d,46500200338 d,39696526110 d
Annual,Euro,Bulgaria,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1329082937.0,1459275112.0,1624231276.0,1435968749.0,2328657712.0,2643316827.0,2850882017.0
Annual,Euro,Bulgaria,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,759867728.0,815548547.0,972733802.0,1018192688.0,1390656576.0,1697079870.0,1646313912.0
Annual,Euro,Bulgaria,Total,:,:,:,:,:,:,:,:,2021218939.0,1709001432.0,2309604765.0,1976047142.0,1184041313.0,1540826260.0,1259643113.0,1249589938.0,1664058186.0,1689582445 e,1901701611 be,2088950665.0,2274823659.0,2596965078.0,2454161437.0,3719314288.0,4340396697.0,4497195929.0
Annual,Euro,Denmark,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11294164564.0,13264791967.0,16143681960.0,17491736722.0,20548440203.0,20670307336.0,21843315881.0,27658283650.0,32099178492 d,19908879674.0,24387909135.0
Annual,Euro,Denmark,Total,:,:,:,:,12028155440.0,13283625903.0,16699821234.0,20557449207.0,20149481841.0,20000939522.0,15653567597.0,13083737880.0,15653592577.0,12717798466.0,13219503641.0,11294164564 d,13264791967 d,16143681960 d,17491736722 d,20548440203 d,20670307336 d,21843315881 d,27658283650 d,32099178492 d,19908879674.0,24387909135.0
Annual,Euro,Finland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11111711261.0,11367855685.0,11832855742.0,11389348155.0,12202165633.0,13636670657 b,16340054064.0,13227626118.0,9118336411.0
Annual,Euro,Finland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1659255831.0,1920960748.0,2243779091.0,2435446535.0,3076399621.0,3467466944 b,3319970036.0,3012104616.0,2365894245.0
Annual,Euro,Finland,Total,:,:,:,:,:,:,:,:,:,:,:,14838206087.0,14767969663.0,15506945837.0,17324642929.0,15142847976.0,14244750663.0,12770967092.0,13288816433.0,14076634833.0,13824794690.0,15278565254.0,17104137601 b,19660024100.0,16239730735.0,11484230656.0
Annual,Euro,France,Purchases of existing dwellings,:,:,76712783322.0,79790922069.0,88609304844.0,98238929647.0,115672132697.0,135438613171.0,149379164516.0,157080852895.0,131523806440.0,107788744241.0,150436956281.0,171592827357.0,142807981240.0,141686993674.0,134710014796.0,156362978581.0,166661029598.0,194881395416.0,200958512083.0,230057012975.0,227870402628.0,281502518612.0,270249404058.0,214358511901.0
Annual,Euro,France,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,29495867469.0,30640718631.0,20322342045.0,26195630395.0,28610352988.0,26546980333.0,23810434048.0,23617301840.0,22987343589.0,27084964678.0,34271336171.0,37278923783.0,37713356880.0,40175937634.0,33092559522.0,39358644968.0,36274861791.0,23599590330.0
Annual,Euro,France,Total,67500679923 e,81783073394 e,91941801836 e,95534522870 e,105162307316 e,116648395746 e,136664984365 e,157194818846 e,178875031984.0,187721571526.0,151846148485.0,133984374635.0,179047309269.0,198139807690.0,166618415288.0,165304295515.0,157697358385.0,183447943260.0,200932365768.0,232160319198.0,238671868964.0,270232950610.0,260962962150.0,320861163579.0,306524265847.0,237958102230.0
Annual,Euro,Hungary,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,8335370933.0,5818925566.0,2892511800.0,3250908603.0,3014817379.0,2843193633.0,2790010397.0,3624030982.0,4865654789.0,5683747979.0,6581054811.0,7614026687.0,8158307406.0,6701429661.0,9494140194.0,9346629994.0,7200088478.0
Annual,Euro,Hungary,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,415114789.0,940089460.0,493667215.0,281760215.0,215016735.0,141631658.0,123287833.0,178413518.0,200549844.0,303758325.0,442534873.0,788435666.0,1089763460.0,956063664.0,1557181170.0,1499076563.0,1019082702.0
Annual,Euro,Hungary,Total,:,:,:,:,:,:,:,:,:,8750485723.0,6759015026.0,3386179015.0,3532668818.0,3229834114.0,2984825292.0,2913298229.0,3802444500.0,5066204633.0,5987506304.0,7023589685.0,8402462353.0,9248070865.0,7657493325.0,11051321364.0,10845706556.0,8219171180.0
Annual,Euro,Ireland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,3443053518.0,2905855583.0,3710303570.0,4515797426.0,6656523065.0,7706997933.0,8197573546.0,9304015786.0,9724751732.0,10119766092.0,8566201632.0,12166806961.0,14041480982.0,14560537766.0
Annual,Euro,Ireland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,1156538570.0,497230038.0,514623430.0,562669420.0,944654122.0,1225593861.0,1730411898.0,2524616146.0,3213314610.0,3285011425.0,2739223519.0,2999444559.0,3804596033.0,4258756168.0
Annual,Euro,Ireland,Total,:,:,:,:,:,:,:,:,:,:,:,6616121461.0,4599592088.0,3403085621.0,4224927000.0,5078466846.0,7601177187.0,8932591794.0,9927985444.0,11828631933.0,12938066340.0,13404777518.0,11305425149.0,15166251520.0,17846077015.0,18819293934.0
Annual,Euro,Netherlands,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,41041938535.0,52374434998.0,63680428140.0,62765286781.0,67322361570.0,78775649557.0,87430904791.0,82762124617.0,75907595686.0
Annual,Euro,Netherlands,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6982608007.0,7980214315.0,9942706042.0,10171616817.0,9487693527.0,13409302444.0,15692663759.0,12485976519.0,8378007916 p
Annual,Euro,Netherlands,Total,:,:,:,:,:,:,: @C,60401754778.0,63756381420.0,64425715410.0,56839773294.0,36859259669.0,38728383750.0,33823380199.0,29691623172.0,26305405614.0,42182677843.0,48024546542.0,60354649313.0,73623134182.0,72936903598.0,76810055097.0,92184952001.0,103123568550.0,95248101136.0,84285603602 p
Annual,Euro,Norway,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,35185139264.0,26391871298.0,28185639118.0,28594961988.0,42630599725 p,42634423736 p,37133939818 p
Annual,Euro,Norway,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7921272262.0,8273234382.0,8093876001.0,6937158745.0,9411112368 p,9382368845 p,7858989650 p
Annual,Euro,Norway,Total,:,:,:,:,:,:,:,:,:,21544937320.0,20337632073.0,19887819002.0,25833374125.0,30526800910.0,35826905357.0,42319058532.0,40843736768.0,40686951113 e,39022870063 e,43106411526.0,34665105680.0,36279515118.0,35532120733.0,52041712092 p,52016792581 p,44992929468 p
Annual,Euro,Portugal,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,4232375353 e,4845251884 e,3525046985 e,2868370540 e,3113957517 e,3971647666 e,5951784789 e,7735913559 e,10590939902 e,13267829055 e,14519926762.0,13543522785.0,18323892597.0,20477293201.0,16681740644.0
Annual,Euro,Portugal,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,5950098468 e,6235704568 e,3885585892 e,2622533287 e,2851525391 e,2911115384 e,3123402220 e,3040860905 e,3491328671 e,4238421908 e,4249768246.0,4702429345.0,5754064094.0,6786364824.0,6829056050.0
Annual,Euro,Portugal,Total,:,:,:,:,:,:,:,:,:,:,:,10182473821 e,11080956452 e,7410632877 e,5490903827 e,5965482908 e,6882763050 e,9075187009 e,10776774464 e,14082268573 e,17506250963 e,18769695008.0,18245952130.0,24077956691.0,27263658025.0,23510796694.0
Annual,Euro,Slovenia,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,706940062.0,820707203.0,1026302101.0,1149344843.0,1153903393.0,1251561119.0,1138049673.0,1517027378.0,1576056343.0,1298456070.0
Annual,Euro,Slovenia,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,92951119.0,147027405.0,134840846.0,213668305.0,233728458.0,129332612.0,65976799.0,166343483.0,135439069.0,273841956.0
Annual,Euro,Slovenia,Total,:,:,:,:,:,:,:,:,1113539263.0,1403434229.0,999003825.0,758634506.0,1069136307.0,878119444.0,758130635.0,580651270.0,799891181.0,967734609.0,1161142947.0,1363013150.0,1387631851.0,1380893731.0,1204026472.0,1683370861.0,1711495412.0,1572298026.0
Annual,"Quarterly index, 2015=100",Austria,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,95.6,106.45,114.35,126.89,139.5,166.04,155.15 p,121.35 ep
Annual,"Quarterly index, 2015=100",Austria,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,107.03,115.96,126.01,166.43,200.4,235.18,188.95 p,91.47 ep
Annual,"Quarterly index, 2015=100",Austria,Total,:,:,:,:,:,:,:,:,:,:,:,:,69.76,74.76,78.92,78.16,100.99,100.0,98.69,109.02,117.5,137.57,155.95,184.71,164.28 p,113.28 ep
Annual,"Quarterly index, 2015=100",Belgium,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,98.81,112.38,111.41,110.97,125.53,100.0,123.58,135.83,147.35,178.2,154.47,197.66,212.99,181.82
Annual,"Quarterly index, 2015=100",Belgium,Total,:,:,:,:,:,:,:,111.51 e,122.57 e,133.54 e,133.57 e,123.82 e,98.81 d,112.38 d,111.41 d,110.97 d,125.53 d,100.00 d,123.58 d,135.83 d,147.35 d,178.20 d,154.47 d,197.66 d,212.99 d,181.82 d
Annual,"Quarterly index, 2015=100",Bulgaria,Total,:,:,:,:,:,:,:,:,119.63,101.15,136.7,116.95,70.08,91.2,74.55,73.96,98.49,100.00 e,112.55 be,123.64,134.64,153.7,145.25,220.13,256.89,266.17
Annual,"Quarterly index, 2015=100",Cyprus,Total,:,:,:,:,:,:,:,147.74,234.94,338.88,268.92,116.23,167.35,124.33,120.47,74.37,81.4,100.0,138.26,177.08,196.85,214.64,153.79,155.72,210.34,287.47
Annual,"Quarterly index, 2015=100",Czechia,Total,:,:,:,:,:,:,:,:,:,:,:,:,60.77,69.56,77.91,73.83,78.06,100.0,113.13,110.31,116.87,119.65,120.14,152.38,131.27,132.14
Annual,"Quarterly index, 2015=100",Denmark,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,69.95,82.12,100.0,108.15,126.94,127.95,135.44,171.22,198.26 d,123.01,150.91
Annual,"Quarterly index, 2015=100",Denmark,Total,:,:,:,:,74.23,81.97,103.18,127.22,124.82,123.76,96.93,80.91,96.82,78.69,81.72,69.95 d,82.12 d,100.00 d,108.15 d,126.94 d,127.95 d,135.44 d,171.22 d,198.26 d,123.01,150.91
Annual,"Quarterly index, 2015=100",Spain,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,87.98,82.08,117.65,76.24,72.91,63.72,87.43,100.0,118.69,146.78,167.12,168.38,146.04,217.66,242.36,211.25
Annual,"Quarterly index, 2015=100",Spain,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,795.9,530.82,462.61,234.86,176.21,85.6,101.45,100.0,109.39,136.44,171.39,189.48,223.0,269.21,260.87,233.06
Annual,"Quarterly index, 2015=100",Spain,Total,:,:,:,:,:,:,:,:,:,301.85,186.87,144.77,165.84,98.4,87.34,66.77,89.39,100.0,117.39,145.34,167.72,171.33,156.79,224.86,244.95,214.29
Annual,"Quarterly index, 2015=100",Finland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,102.31,106.49,102.5,109.81,122.72 b,147.05,119.04,82.06
Annual,"Quarterly index, 2015=100",Finland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,115.77,135.23,146.78,185.41,208.98 b,200.09,181.53,142.59
Annual,"Quarterly index, 2015=100",Finland,Total,:,:,:,:,:,:,:,:,:,:,:,116.19,115.64,121.42,135.66,118.57,111.54,100.0,104.05,110.22,108.25,119.64,133.93 b,153.94,127.16,89.92
