Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Ratio,Armenia,9.5 d,7.6 d,8.0 d,7.8 d,8.0 d,8.0 d,8.0 d,8.5 d,8.2 d,8.8 d,8.4 d,9.4 d,8.5 d,8.3 d,8.2,7.7 d,7.8 d,7.1 d
Annual,Ratio,Azerbaijan,2.3,2.7,2.4,2.4,2.4,2.5,2.2,2.1,2.3,2.2,2.1,2.3,2.3,2.6,2.6,2.6,2.8,2.0 b
Annual,Ratio,Belarus,2.7 d,2.7 d,2.8 d,2.8 bd,2.9 d,2.9 d,3.2 d,3.3 bd,3.1 d,2.8 d,3.0 d,3.0 d,2.9 d,2.9 d,2.9 d,2.8 d,:,:
Annual,Ratio,Georgia,15.0,15.5,14.6,13.3,14.5,13.4,11.9,10.0,8.9,8.5,8.6,8.7,9.3,8.0,7.7,6.9,6.7,6.3
Annual,Ratio,Moldova,:,7.1,7.0,6.8,7.2,6.4,6.0,5.5,5.7,7.4 bd,7.3 d,7.3 d,6.4 d,6.2 d,5.8 bd,6.1,6.4,6.0
Annual,Ratio,Ukraine,:,:,3.6 d,3.7 d,3.6 d,3.5 d,3.4 d,3.2 d,3.3 d,3.1 d,3.2 d,3.0 d,3.3 d,3.3 d,3.5 d,3.5 d,3.5 d,:
