Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Any known - male,Percentage,Sweden,28.4
Annual,Any known - male,Percentage,Slovenia,10.7
Annual,Any known - male,Percentage,Slovakia,13.3
Annual,Any known - male,Percentage,Kosovo*,2.5
Annual,Other known (non-family or relative) - male or female,Percentage,Austria,15.1
Annual,Other known (non-family or relative) - male or female,Percentage,Belgium,10.2
Annual,Other known (non-family or relative) - male or female,Percentage,Bulgaria,3.7
Annual,Other known (non-family or relative) - male or female,Percentage,Cyprus,9.3
Annual,Other known (non-family or relative) - male or female,Percentage,Czechia,5.9
Annual,Other known (non-family or relative) - male or female,Percentage,Germany,9.0
Annual,Other known (non-family or relative) - male or female,Percentage,Denmark,21.6
Annual,Other known (non-family or relative) - male or female,Percentage,Estonia,10.7
Annual,Other known (non-family or relative) - male or female,Percentage,Greece,11.0
Annual,Other known (non-family or relative) - male or female,Percentage,Spain,10.4
Annual,Other known (non-family or relative) - male or female,Percentage,European Union (aggregate changing according to the context),10.6 e
Annual,Other known (non-family or relative) - male or female,Percentage,Finland,23.4
Annual,Other known (non-family or relative) - male or female,Percentage,France,13.7
Annual,Other known (non-family or relative) - male or female,Percentage,Croatia,9.6
Annual,Other known (non-family or relative) - male or female,Percentage,Hungary,11.5
Annual,Other known (non-family or relative) - male or female,Percentage,Ireland,14.2
Annual,Other known (non-family or relative) - male or female,Percentage,Lithuania,6.6
Annual,Other known (non-family or relative) - male or female,Percentage,Luxembourg,19.8
Annual,Other known (non-family or relative) - male or female,Percentage,Latvia,4.9
Annual,Other known (non-family or relative) - male or female,Percentage,Montenegro,3.5
Annual,Other known (non-family or relative) - male or female,Percentage,Malta,7.9
Annual,Other known (non-family or relative) - male or female,Percentage,Netherlands,16.3
Annual,Other known (non-family or relative) - male or female,Percentage,Poland,3.2
Annual,Other known (non-family or relative) - male or female,Percentage,Portugal,6.1
Annual,Other known (non-family or relative) - male or female,Percentage,Romania,8.1
Annual,Other known (non-family or relative) - male or female,Percentage,Serbia,6.4
Annual,Other known (non-family or relative) - male or female,Percentage,Sweden,26.2
Annual,Other known (non-family or relative) - male or female,Percentage,Slovenia,7.8
Annual,Other known (non-family or relative) - male or female,Percentage,Slovakia,11.5
Annual,Other known (non-family or relative) - male or female,Percentage,Kosovo*,3.1
Annual,Other known (non-family or relative) - male,Percentage,Austria,14.2
Annual,Other known (non-family or relative) - male,Percentage,Belgium,8.5
Annual,Other known (non-family or relative) - male,Percentage,Bulgaria,3.4
Annual,Other known (non-family or relative) - male,Percentage,Cyprus,8.8
Annual,Other known (non-family or relative) - male,Percentage,Czechia,5.4
Annual,Other known (non-family or relative) - male,Percentage,Germany,8.4
Annual,Other known (non-family or relative) - male,Percentage,Denmark,20.6
Annual,Other known (non-family or relative) - male,Percentage,Estonia,9.6
Annual,Other known (non-family or relative) - male,Percentage,Greece,10.2
Annual,Other known (non-family or relative) - male,Percentage,Spain,8.9
Annual,Other known (non-family or relative) - male,Percentage,European Union (aggregate changing according to the context),9.5 e
Annual,Other known (non-family or relative) - male,Percentage,Finland,21.5
Annual,Other known (non-family or relative) - male,Percentage,France,12.2
Annual,Other known (non-family or relative) - male,Percentage,Croatia,9.0
Annual,Other known (non-family or relative) - male,Percentage,Hungary,10.2
Annual,Other known (non-family or relative) - male,Percentage,Ireland,12.2
Annual,Other known (non-family or relative) - male,Percentage,Lithuania,6.0
Annual,Other known (non-family or relative) - male,Percentage,Luxembourg,18.6
Annual,Other known (non-family or relative) - male,Percentage,Latvia,3.9
Annual,Other known (non-family or relative) - male,Percentage,Montenegro,2.6 u
Annual,Other known (non-family or relative) - male,Percentage,Malta,6.0
Annual,Other known (non-family or relative) - male,Percentage,Netherlands,14.8
Annual,Other known (non-family or relative) - male,Percentage,Poland,2.8
Annual,Other known (non-family or relative) - male,Percentage,Portugal,4.2
Annual,Other known (non-family or relative) - male,Percentage,Romania,6.1
Annual,Other known (non-family or relative) - male,Percentage,Serbia,3.6
Annual,Other known (non-family or relative) - male,Percentage,Sweden,25.5
Annual,Other known (non-family or relative) - male,Percentage,Slovenia,6.9
Annual,Other known (non-family or relative) - male,Percentage,Slovakia,10.5
