Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Albania,3409.1,3343.8,4020.2,3973.9,4261.7,3918.7 p,4860.8 p,4958.9 p,5336.6 p,4697.0 p,5669.2 p,5544.2 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Austria,99938.6,92579.3,99897.8,101259.0,107636.2,104269.5,106370.0,104216.2,110124.0,104925.3,108149.3,105851.4
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Bosnia and Herzegovina,4461.1,4342.2,4840.9,5118.4,5288.7,5036.6,5333.5,5576.9,5565.9,5246.6,5483.5,5684.4
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Belgium,123759.4,118184.9,127875.8,123648.5,138490.6,130815.6 p,136877.6 p,128859.3 p,142519.1 p,133531.4 p,141025.6 p,133689.0 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Bulgaria,18387.4,15428.3,17906.2,20652.6,22548.1,17878.5,19634.0,21682.2,23847.8,19475.9 p,21421.2 p,23930.2 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Switzerland,179309.9,179632.6,187867.0,198012.7,201486.0,194956.3,199570.7,202698.6,209053.5,206698.3,206317.3,211312.3
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Cyprus,6059.3,6064.6,6452.0,6857.2,6697.1,6559.2,6834.9,7241.9,7043.0,6971.3,7258.8,7703.4
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Czechia,60043.9,59158.9,65009.0,67074.8,70071.1,69229.1,74851.8,73366.7,73969.7,67639.3,73899.2,74256.8
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Germany,860079.0 p,861737.0 p,868270.0 p,896563.0 p,936252.0 p,944629.0 p,937646.0 p,957450.0 p,984852.0 p,964697.0 p,960778.0 p,976358.0 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Denmark,82133.3,78290.5,84608.6,86092.6,88092.6,83291.5,83925.1,80910.6,85648.6,81346.9,86708.6,87775.6
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2982157.5,2896607.4,3039637.5,3085430.1,3261775.1,3193904.4,3287338.4,3285199.4,3437168.9,3295114.5,3387593.2,3400512.7
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Euro area - 19 countries  (2015-2022),2982157.5,2896607.4,3039637.5,3085430.1,3261775.1,3179803.7,3271254.7,3266515.4,3420913.4,3279668.5,3369918.7,3380195.3
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Euro area – 20 countries (from 2023),2994404.5,2908217.1,3053312.5,3101604.1,3276620.0,3193904.4,3287338.4,3285199.4,3437168.9,3295114.5,3387593.2,3400512.7
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Estonia,7634.9,7272.1,7829.4,8322.2,8739.5,7869.1,8332.2,8559.9,8923.9,7829.6,8527.2,8821.1
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Greece,42474.1,40446.6 p,44851.1 p,50374.1 p,47736.9 p,44156.9 p,48505.9 p,53448.4 p,50416.9 p,45988.1 p,51078.2 p,56150.2 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Spain,308821.0,283365.0 p,311170.0 p,310562.0 p,347384.0 p,320288.0 p,342774.0 p,336321.0 p,368273.0 p,339645.0 p,364452.0 p,358413.0 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),European Union - 27 countries (from 2020),3532754.9,3392261.4,3583050.3,3650331.3,3871636.5,3731208.2,3863398.9,3866601.6,4077076.2,3861122.8,3995716.4,4023619.1
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Finland,57957.0,54131.0,57900.0,57953.0,61155.0,57941.0,60845.0,59374.0,61274.0,57855.0,61321.0,60489.0
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),France,584361.5,570780.6,589148.6,586884.9,624464.4,616764.4,631766.6,622445.1,665613.9,643660.2,645187.9,643682.6
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Croatia,12251.0,11612.5,13677.0,16175.1,14845.6,14101.0 p,16083.7 p,18683.8 p,16255.5 p,15446.1 p,17674.8 p,20317.9 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Hungary,38176.5,31328.9,35640.7,35999.4,40335.4,35425.7 p,42977.7 p,43942.0 p,47925.5 p,38590.3 p,44327.7 p,45164.4 p
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Ireland,111925.6,115578.0,118894.5,131401.1,131656.1,119023.1,121300.5,123010.4,120855.7,117091.1,117329.9,129533.0
Quarterly,"Value added, gross",Total - all NACE activities,Million euro (NSA),Italy,443423.9,416668.6,447191.6,450430.8,478293.0,456381.5,477442.7,477493.3,498739.1,468927.1,486776.1,488599.5
