Time frequency,Unit of measure,Severity (days lost),sizeclas,nace_r1,geo\TIME_PERIOD,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Rate,4 days or over,0.0,A,EU15_NO,:,:,:,:,:,:,1918.0,: p,: p,:,:,:
Annual,Rate,4 days or over,0.0,A_D-K,EU15_NO,3557.0,2741.0,2578.0,2309.0,1541 b,3505.0,2677.0,1581.0,806.0,716.0,712.0,601.0
Annual,Rate,4 days or over,0.0,D,EU15_NO,10522.0,7665.0,7089.0,6669.0,2569 b,6053.0,4721.0,2907.0,1387.0,1104.0,898.0,763.0
Annual,Rate,4 days or over,0.0,E,EU15_NO,7536.0,1619.0,2139.0,1087.0,:,:,1273.0,581.0,58.0,109.0,138.0,153.0
Annual,Rate,4 days or over,0.0,F,EU15_NO,7091.0,6092.0,5713.0,4907.0,5168 b,9975.0,7856.0,4773.0,2763.0,2246.0,2212.0,1729.0
Annual,Rate,4 days or over,0.0,G,EU15_NO,1487.0,1155.0,1085.0,937.0,537 b,1263.0,1047.0,576.0,272.0,242.0,230.0,190.0
Annual,Rate,4 days or over,0.0,H,EU15_NO,1312.0,783.0,827.0,768.0,:,:,4083.0,2078.0,441.0,970.0,737.0,673.0
Annual,Rate,4 days or over,0.0,I,EU15_NO,6760.0,5680.0,5160.0,4514.0,5167 b,9251.0,5345.0,3583.0,1800.0,1940.0,1456.0,1277.0
Annual,Rate,4 days or over,0.0,J_K,EU15_NO,647.0,447.0,426.0,469.0,446 b,1585.0,1342.0,747.0,167.0,151.0,153.0,122.0
Annual,Rate,4 days or over,1-9,A,EU15_NO,:,:,:,:,:,:,5968.0,: p,: p,:,:,:
Annual,Rate,4 days or over,1-9,A_D-K,EU15_NO,4241.0,4094.0,4079.0,3886.0,3615 b,3203.0,2875.0,2830.0,2756.0,2709.0,2483.0,2184.0
Annual,Rate,4 days or over,1-9,D,EU15_NO,6238.0,5962.0,5755.0,7848.0,4608 b,4313.0,3698.0,3732.0,3658.0,3377.0,3037.0,2829.0
Annual,Rate,4 days or over,1-9,E,EU15_NO,2809.0,3355.0,3448.0,4658.0,:,:,778.0,906.0,958.0,1172.0,1003.0,1209.0
Annual,Rate,4 days or over,1-9,F,EU15_NO,9287.0,9365.0,9191.0,8990.0,7743 b,6709.0,6331.0,6313.0,6190.0,6404.0,6274.0,5215.0
Annual,Rate,4 days or over,1-9,G,EU15_NO,2249.0,2231.0,2273.0,2247.0,1866 b,1687.0,1612.0,1506.0,1455.0,1440.0,1396.0,1268.0
Annual,Rate,4 days or over,1-9,H,EU15_NO,3136.0,3015.0,3131.0,3272.0,:,:,1853.0,1912.0,1886.0,2070.0,2139.0,1780.0
Annual,Rate,4 days or over,1-9,I,EU15_NO,6973.0,7000.0,7146.0,5046.0,5145 b,4622.0,3423.0,3166.0,3154.0,3254.0,3194.0,2913.0
Annual,Rate,4 days or over,1-9,J_K,EU15_NO,1020.0,1029.0,1064.0,769.0,897 b,855.0,827.0,875.0,742.0,722.0,751.0,658.0
Annual,Rate,4 days or over,10-49,A,EU15_NO,:,:,:,:,:,:,5697.0,: p,: p,:,:,:
Annual,Rate,4 days or over,10-49,A_D-K,EU15_NO,5195.0,5098.0,5175.0,5218.0,4686 b,4253.0,4133.0,4077.0,4033.0,3781.0,3841.0,3496.0
Annual,Rate,4 days or over,10-49,D,EU15_NO,5527.0,5452.0,5421.0,5485.0,5959 b,5607.0,5309.0,5171.0,5133.0,4651.0,4520.0,4216.0
Annual,Rate,4 days or over,10-49,E,EU15_NO,3990.0,4515.0,4414.0,4067.0,:,:,1532.0,1683.0,1750.0,1753.0,1714.0,1913.0
Annual,Rate,4 days or over,10-49,F,EU15_NO,8951.0,9058.0,9409.0,9496.0,7868 b,7022.0,7079.0,7056.0,7174.0,6867.0,7075.0,5948.0
Annual,Rate,4 days or over,10-49,G,EU15_NO,3156.0,3181.0,3275.0,3434.0,3447 b,3134.0,3314.0,3188.0,3063.0,2975.0,3023.0,2823.0
Annual,Rate,4 days or over,10-49,H,EU15_NO,4754.0,4632.0,4901.0,5359.0,:,:,3856.0,3880.0,3803.0,3655.0,3716.0,3441.0
Annual,Rate,4 days or over,10-49,I,EU15_NO,8447.0,8320.0,8402.0,7464.0,5278 b,4823.0,4103.0,3713.0,3801.0,3871.0,3615.0,3705.0
Annual,Rate,4 days or over,10-49,J_K,EU15_NO,1859.0,1864.0,1912.0,1841.0,1162 b,1094.0,1231.0,1308.0,1213.0,1006.0,1044.0,923.0
Annual,Rate,4 days or over,250-499,A,EU15_NO,:,:,:,:,:,:,118775.0,: p,: p,:,:,123678.0
Annual,Rate,4 days or over,250-499,A_D-K,EU15_NO,:,:,:,:,4899 b,4334.0,3940.0,: p,: p,:,:,3469.0
