Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Seasonal adjustment,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Albania,:,:,:,524.7,796.5,1086.8,1110.3,1263.8,1056.2,1795.8,2400.4,3351.7
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Austria,10671.0,10099.0,9895.0,9980.0,10373.0,9877.0,9719.0,9398.0,7926.0,3155.0,6246.0,5504.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bosnia and Herzegovina,833.8,830.2,856.9,997.3,1082.7,1191.0,1335.6,1430.2,836.3,1445.6,2036.5,2245.2
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Belgium,5537.0,6418.0,5863.0,4229.0,3359.0,2272.0,267.0,-3431.0,-2250.0,-1352.0,-6901.0,-6385.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bulgaria,2588.8,2653.5,2867.6,3038.0,3408.3,3067.5,4202.1,4953.1,3503.9,4659.7,6042.8,7812.6
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Switzerland,8036.6,5426.1,4867.0,2286.3,683.4,-5810.1,-1379.5,-5689.6,-16852.7,-15866.5,-9660.2,-25060.4
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Cyprus,3430.8,3494.1,3468.1,3734.7,4535.6,4886.6,4841.4,4868.1,3904.0,5546.0,6721.8,7596.3
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Czechia,3086.5,2712.9,2022.9,3175.4,3941.7,5126.3,5137.7,4614.7,4135.6,4777.2,4002.3,3899.2
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Germany,-31425.0,-34258.0,-22941.0,-16237.0,-18346.0,-21211.0,-14010.0,-14442.0,6633.0,1613.0,-35984.0,-64578.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Denmark,3325.3,4521.9,5243.3,4796.7,1929.2,5833.2,4835.1,3228.5,1894.0,10103.5,25981.4,2730.3
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Euro area - 19 countries  (2015-2022),73337.0,82362.0,90310.0,61712.0,48966.0,86757.0,117070.0,33457.0,-15628.0,91775.0,:,:
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Estonia,1576.8,1432.3,1692.6,1684.4,1600.3,1875.8,1934.2,2063.1,115.7,953.1,2375.7,2603.4
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Greece,13822.0,15745.0,18244.0,16581.0,16298.0,18042.0,19305.0,21115.0,7279.0,12845.0,19392.0,21818.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Spain,49167.0,52019.0,52837.0,53454.0,58273.0,63699.0,61469.0,62616.0,24149.0,33528.0,72206.0,93467.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,European Union - 27 countries (from 2020),93324.2,105477.0,109291.2,75687.4,74001.7,134069.0,157656.4,80020.1,15610.2,144246.6,207576.3,152138.2
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Finland,-5544.0,-4357.0,-3504.0,-2745.0,-2300.0,-769.0,-2395.0,-894.0,-2340.0,-2059.0,-5070.0,-8618.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,France,31320.0,28506.0,21058.0,15731.0,15311.0,19619.0,18163.0,22819.0,10805.0,39989.0,65036.0,35529.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Croatia,5601.0,5755.0,6474.0,7254.0,8178.0,8800.0,9226.0,10290.0,5307.0,9824.0,14072.0,15845.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Hungary,3843.3,3772.3,4565.4,4877.2,6095.2,6918.9,8052.8,7102.5,4013.2,4755.8,7329.4,9764.1
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Ireland,-6280.0,1619.0,-2590.0,-32601.0,-54708.0,-35197.0,-9785.0,-99819.0,-62878.0,18868.0,9698.0,11719.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Iceland,597.9,892.9,900.4,1400.2,1989.7,2321.4,2025.8,1757.1,269.0,512.4,1396.3,2091.7
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Italy,203.0,342.0,-2629.0,-4217.0,-3699.0,-4005.0,-2902.0,8.0,-7774.0,-8932.0,-10157.0,-6479.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Lithuania,1323.7,1498.2,1744.8,1760.5,2174.1,3021.7,3699.9,4940.6,4968.2,5422.9,5932.3,7429.5
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Luxembourg,16969.0,17614.0,18914.0,22013.0,22705.0,20540.0,20208.0,20838.0,23557.0,29165.0,27900.0,26373.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Latvia,1590.0,1735.0,2032.0,2059.0,2195.0,2344.0,2397.0,2558.0,1974.0,1740.0,2360.0,2188.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Montenegro,:,653.0,690.0,789.0,771.0,852.0,935.0,1019.0,176.0,956.0,1317.0,1688.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,North Macedonia,309.4,375.0,383.9,348.8,340.7,374.7,370.9,335.7,423.7,497.9,748.5,735.5
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Malta,1472.9,1618.5,2226.5,2911.0,3155.0,3992.6,3557.6,4614.3,4587.4,5223.5,5245.0,6153.2
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Netherlands,3018.0,1534.0,9577.0,-14199.0,7198.0,5309.0,6499.0,18827.0,21773.0,21928.0,32258.0,34129.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Norway,-4724.3,-5814.2,-6127.8,-5062.7,-6219.9,-8207.6,-7438.8,-8701.2,-4773.5,-691.2,-4031.0,-8591.3
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Poland,6430.5,8100.7,9576.6,11052.5,13934.0,18043.1,21456.2,23985.7,22777.4,26431.3,35992.4,39461.3
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Portugal,9377.0,11111.0,11174.0,12397.0,13231.0,16313.0,17806.0,18277.0,8982.0,10625.0,21639.0,28765.0
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Romania,2245.7,4776.9,6053.5,6817.2,7880.4,8185.7,8126.1,8386.4,9231.9,9427.6,12639.9,13306.2
Annual,Million euro,Services,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Serbia,111.0,312.0,464.0,725.0,896.0,966.0,1093.0,1012.0,1101.0,1399.0,2315.0,3017.0
