Time frequency,Currency,Stock or flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,Currency in circulation and overnight deposits,Armenia,379.5,616.9,1022.7,955.5,696.3,899.3,1030.2,1025.5,1042.6,920.0,1050.9,1280.2,1359.8,1617.0,1855.5,1929.1,2519.9,3994.3
Annual,Million euro,Currency in circulation and overnight deposits,Azerbaijan,635.8,1638.0,3077.3,4218.9,4669.1,6416.8,8000.0,11009.8,12221.2,12301.4,6060.3,5074.1,5428.7,6108.9,8088.4,9207.6,10222.4,14147.9
Annual,Million euro,Currency in circulation and overnight deposits,Belarus,1673.3 d,2754.7 d,3107.8 d,3384.7 d,3673.8 d,3439.3 d,1883.4 d,3036.9 d,2836.3 d,2904.4 d,2105.1 d,2603.7 d,3100.6 d,3483.3 d,4367.8 d,3246.0 d,:,:
Annual,Million euro,Currency in circulation and overnight deposits,Georgia,484.5,592.9,835.3,741.1,834.6,1068.1,1451.8,1529.0,1803.0,1968.9,2105.5,2458.1,3069.2,2621.5,2900.6,2825.9,2970.3,4346.1
Annual,Million euro,Currency in circulation and overnight deposits,Moldova,482.6 d,487.1 d,656.3 d,787.6 d,749.3 d,976.1 d,1153.4 d,1288.2 d,1509.2 d,1395.7 d,1097.0 d,1344.8 d,1697.6 d,2006.5 d,2213.3 d,2617.3 d,3027.9 d,3115.9 d
Annual,Million euro,Currency in circulation and overnight deposits,Ukraine,16506.8 d,18535.3 d,24485.0 d,20738.6 d,20416.7 d,27417.9 d,30204.4 d,30674.8 d,34761.6 d,22642.2 d,18007.7 d,18644.6 d,17961.6 d,21166.7 d,29144.0 d,30226.3 d,41433.7 d,40342.0 d
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,Armenia,686.6,1014.6,1257.0,1236.7,832.0,1084.1,1322.3,1386.6,1515.6,1417.0,1627.6,2096.3,2385.6,2830.0,3542.3,3406.4,4538.9,6642.2
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,Azerbaijan,675.0,1901.4,3740.0,5025.6,5506.2,7786.0,10002.0,13667.0,15769.3,16717.0,7625.3,6538.5,6418.4,7287.9,9580.6,10465.7,11863.3,16490.4
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,Belarus,2864.3 d,4832.7 d,5594.2 d,6264.0 d,6561.8 d,6393.6 d,3811.6 d,5785.0 d,5923.7 d,6269.2 d,4390.9 d,5202.8 d,5811.0 d,6466.5 d,8567.0 d,6144.0 d,:,:
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,Georgia,519.7,652.9,970.6,845.4,963.2,1259.7,1750.3,1864.4,2268.0,2609.2,2515.7,2887.8,3694.7,3234.2,3644.3,3845.8,4223.3,6427.3
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,Moldova,732.2 d,735.6 d,1105.3 d,1477.1 d,1188.2 d,1538.1 d,1875.2 d,2182.6 d,2510.7 d,2275.1 d,1828.0 d,2222.5 d,2598.9 d,2989.0 d,3278.1 d,3592.2 d,4135.3 d,4467.3 d
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,Ukraine,32343.8 d,39004.5 d,52736.0 d,47213.7 d,42342.3 d,56448.8 d,66206.8 d,73181.5 d,82075.3 d,49672.6 d,37898.3 d,38785.7 d,36081.3 d,40164.2 d,54319.2 d,53177.5 d,66928.6 d,64196.1 d
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months (M2) plus repurchase agreements and money market fund (MMF) shares/units and debt securities up to 2 years,Azerbaijan,1558.3,3058.5,5010.8,7020.0,7559.1,9878.5,12645.0,16605.9,18508.4,20677.2,18703.9,11829.4,11724.3,11974.5,15163.3,15042.7,17215.7,23885.8
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months (M2) plus repurchase agreements and money market fund (MMF) shares/units and debt securities up to 2 years,Belarus,4253.1 d,6866.2 d,8713.9 d,9777.0 d,12383.9 d,12651.7 d,10295.9 d,14223.4 d,14778.8 d,16651.1 d,16105.4 d,16594.1 d,16918.7 d,17479.1 d,20621.4 d,16035.6 d,:,:
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months (M2) plus repurchase agreements and money market fund (MMF) shares/units and debt securities up to 2 years,Georgia,923.3,1240.9,1758.0,1869.8,1968.8,2637.9,3283.9,3621.4,4117.3,4939.0,5805.2,7029.2,8054.7,6932.0,7729.1,8553.1,8874.2,12205.2
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months (M2) plus repurchase agreements and money market fund (MMF) shares/units and debt securities up to 2 years,Moldova,1041.6 d,1152.2 d,1642.9 d,2149.2 d,1854.4 d,2300.7 d,2718.5 d,3095.2 d,3485.4 d,3472.9 d,2980.1 d,3375.3 d,3778.1 d,4261.7 d,4670.2 d,5094.3 d,5960.7 d,6187.0 d
Annual,Million euro,Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months (M2) plus repurchase agreements and money market fund (MMF) shares/units and debt securities up to 2 years,Ukraine,32498.8 d,39252.6 d,53394.2 d,47508.5 d,42562.9 d,56546.3 d,66567.4 d,73378.2 d,82325.0 d,49744.3 d,37907.8 d,38796.0 d,36090.3 d,40286.0 d,54436.1 d,53253.6 d,66985.2 d,64224.8 d
Annual,Million euro,Reserve assets including monetary gold,Armenia,611.7,855.7,1211.6,956.0,1434.7,1405.5,1387.7,1399.9,1695.1,1122.0,1599.0,1991.3,2048.7,1912.0,2544.8,2290.9,2727.8,3887.4
Annual,Million euro,Reserve assets including monetary gold,Azerbaijan,943.3,1991.7,3119.2,4391.6,3605.0,5230.7,8099.5,8846.9,10299.0,11167.0,4589.4,3774.7,4466.1,4912.5,5589.0,5183.3,6243.2,8442.5
Annual,Million euro,Reserve assets including monetary gold,Belarus,1095.7 d,1050.4 d,2839.4 d,2188.5 d,3941.2 d,3799.0 d,6120.2 d,6117.6 d,4835.6 d,4169.0 d,3819.7 d,4718.8 d,6127.0 d,6250.1 d,8400.0 d,6079.7 d,:,:
Annual,Million euro,Reserve assets including monetary gold,Georgia,403.7,706.9,929.2,1043.4,1470.4,1707.9,2177.9,2180.8,2051.9,2220.3,2306.9,2611.2,2537.8,2867.3,3132.6,3184.9,3777.0,4591.6
Annual,Million euro,Reserve assets including monetary gold,Moldova,504.5 d,589.4 d,907.0 d,1179.9 d,1033.2 d,1296.3 d,1527.5 d,1896.6 d,2049.5 d,1772.7 d,1608.0 d,2110.0 d,2348.7 d,2630.2 d,2733.8 d,3082.9 d,3445.8 d,4206.0 d
Annual,Million euro,Reserve assets including monetary gold,Ukraine,16398.3 d,16899.0 d,22095.7 d,22374.1 d,18485.8 d,26036.1 d,24668.3 d,18619.4 d,14779.2 d,6176.1 d,12172.8 d,14865.6 d,15760.9 d,18177.1 d,22682.2 d,23711.1 d,27294.4 d,26751.2 d
