Annual,Total,Netherlands,226.0,222.0,222.0,236.0,241.0,235.0,245.0,248.0,263.0,255.0,247.0,244.0,247.0,249.0,252.0,244.0,245.0,245.0,259.0,257.0,231.0,245.0,243.0,280.0
Annual,Total,Norway,87.0,89.0,95.0,99.0,99.0,110.0,120.0,126.0,130.0,107.0,119.0,124.0,133.0,151.0,156.0,142.0,131.0,140.0,146.0,103.0,66.0,83.0,109.0,98.0
Annual,Total,Poland,63.0,72.0,71.0,71.0,69.0,76.0,86.0,92.0,86.0,94.0,91.0,99.0,107.0,103.0,102.0,103.0,109.0,130.0,160.0,203.0,188.0,204.0,213.0,224.0
Annual,Total,Portugal,104.0,113.0,127.0,135.0,155.0,190.0,211.0,237.0,273.0,261.0,265.0,250.0,246.0,235.0,227.0,234.0,229.0,236.0,239.0,256.0,226.0,238.0,240.0,260.0
Annual,Total,Romania,31.0,24.0,27.0,31.0,33.0,42.0,44.0,52.0,56.0,63.0,65.0,64.0,57.0,50.0,47.0,44.0,55.0,61.0,63.0,62.0,41.0,46.0,38.0,44.0
Annual,Total,Serbia,12.0,16.0,19.0,20.0,29.0,26.0,21.0,29.0,31.0,34.0,27.0,28.0,27.0,33.0,36.0,35.0,40.0,39.0,39.0,45.0,41.0,41.0,47.0,66.0
Annual,Total,Sweden,306.0,297.0,286.0,292.0,315.0,291.0,290.0,285.0,296.0,314.0,313.0,296.0,275.0,281.0,285.0,290.0,298.0,287.0,272.0,295.0,195.0,244.0,239.0,240.0
Annual,Total,Slovenia,10.0,10.0,10.0,12.0,14.0,16.0,16.0,19.0,33.0,32.0,31.0,34.0,37.0,35.0,34.0,37.0,35.0,42.0,38.0,28.0,21.0,13.0,18.0,19.0
Annual,Total,Slovakia,7.0,9.0,13.0,12.0,20.0,20.0,21.0,26.0,34.0,21.0,21.0,23.0,23.0,18.0,22.0,18.0,19.0,21.0,19.0,19.0,17.0,16.0,16.0,24.0
Annual,Total,Türkiye,155.0,154.0,154.0,158.0,191.0,226.0,235.0,224.0,261.0,311.0,372.0,414.0,449.0,484.0,522.0,574.0,591.0,596.0,594.0,586.0,463.0,591.0,665.0,753.0
