Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Austria,4224.06,4266.24,4291.97,4348.16,4420.12,4498.65,4549.87,4475.28,4565.57,4683.76,4722.98,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Belgium,4552.8,4569.3,4607.6,4665.3,4734.9,4804.5,4880.4,4875.1,4957.4,5052.9,5092.40 p,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Bulgaria,3421.58,3434.17,3446.21,3463.35,3525.35,3521.64,3467.68,3406.13,3408.42,3444.4,3481.41,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Switzerland,4736.05,4825.25,4899.15,4967.27,5012.55,5064.55,5101.73,5076.21,5108.49,5185.38,5301.5,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Cyprus,370.85,363.41,369.12,386.31,407.14,431.45,452.13,450.45,463.73,482.51,489.42,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Czechia,5076.92,5103.97,5175.09,5228.53,5298.12,5359.13,5351.37,5227.23,5279.24,5333.08,5387.92,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Germany,42378.0,42756.0,43137.0,43686.0,44290.0,44878.0,45291.0,44966.0,45053.00 p,45675.00 p,46011.00 p,46083.00 p
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Denmark,2768.25,2786.2,2827.15,2873.41,2916.64,2961.81,3004.19,2970.85,3039.23,3160.32,3202.37,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Euro area - 19 countries  (2015-2022),149295.76,150376.27,151784.67,153985.48,156401.22,158972.96,161129.42,158813.93,161288.13,165181.58,167530.3,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Euro area – 20 countries (from 2023),150798.37,151918.6,153346.41,155551.0,158005.1,160618.3,162756.64,160424.97,162918.69,166847.43,169233.34,:
Annual,Thousand persons,Total - all NACE activities,Total employment domestic concept,Estonia,600.9,605.5,622.9,624.7,641.5,647.36,655.64,637.87,638.75,668.08,689.52,:
