Time frequency,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Single person,Albania,:,:,:,:,:,13.7,14.3,11.7,9.3,9.0,:,:
Annual,Percentage,Single person,Austria,13.2,12.7,14.5,13.5,12.9,14.5,13.5,13.7,12.6,12.3,12.2,12.1
Annual,Percentage,Single person,Belgium,2.7,2.9,3.0,1.6,2.7 b,4.1,5.5,5.1 b,5.2,4.8,4.9,4.9
Annual,Percentage,Single person,Bulgaria,14.8,12.7,14.3,13.8,11.8 b,12.2,12.0,11.8,10.5,9.8,8.9,7.9
Annual,Percentage,Single person,Switzerland,6.8,8.4,7.6 b,8.7,8.2,9.1,8.3,7.3,7.9,8.1,7.9,8.4
Annual,Percentage,Single person,Cyprus,2.4,1.0,1.3,1.2,1.1,1.4,1.2,1.8,1.5,1.9,1.1,2.1
Annual,Percentage,Single person,Czechia,12.0,12.4,12.9,12.6,13.1,12.2,11.8,10.5,9.5,10.1,10.2,11.5
Annual,Percentage,Single person,Germany,11.3,11.2,10.6,11.1,11.4,11.4,11.3,11.9,12.8 b,12.1,12.1,12.6
Annual,Percentage,Single person,Denmark,8.9,10.8,9.8,11.2,10.4,9.4,10.6,10.0,10.8,10.8,10.3,9.5
Annual,Percentage,Single person,Euro area - 19 countries  (2015-2022),9.1,9.0,9.1,8.6,8.7,8.7,8.7,9.1,9.6,9.5,:,:
Annual,Percentage,Single person,Euro area – 20 countries (from 2023),:,:,9.1,8.6,8.8,8.8,8.8,9.1,9.7,9.7,9.2,9.4
Annual,Percentage,Single person,Estonia,6.1,4.5,6.6 b,5.6,5.5,7.0,6.5,7.9,8.5,12.3,13.3,14.3
Annual,Percentage,Single person,Greece,12.3,10.7,10.7,9.2,6.7,5.4,5.3,6.2,6.0,6.4,6.0,7.2
Annual,Percentage,Single person,Spain,0.9,1.9,1.5,1.8,1.6,1.2,1.7,1.3,1.5,2.0,2.1,2.4
Annual,Percentage,Single person,European Union - 27 countries (2007-2013),10.2,10.1,10.2,9.7,9.9,8.8,8.9,9.0 e,:,:,:,:
Annual,Percentage,Single person,European Union - 27 countries (from 2020),10.7 e,10.7 e,10.7 e,10.2 e,10.2 e,10.0 e,10.0 e,10.1 e,10.4,10.5,10.0,10.1
Annual,Percentage,Single person,European Union - 28 countries (2013-2020),10.2,10.1,10.3,9.7,9.9,8.9,8.9,9.0 e,:,:,:,:
Annual,Percentage,Single person,Finland,16.1,17.0,17.2,16.6,17.2,14.6,15.7,15.3,15.8,15.8,17.0,19.5
Annual,Percentage,Single person,France,11.1,8.9,9.6,8.1,8.0,8.8,8.2,9.1,10.8 b,10.7,9.6 b,9.5
Annual,Percentage,Single person,Croatia,17.4,17.3,16.2,17.2,16.1,15.8,15.2,16.6,14.1,13.9,12.4,12.3
Annual,Percentage,Single person,Hungary,17.7,15.4,14.6,13.9,12.2,11.6,6.1 b,5.2,5.0,4.7,4.1,4.1
Annual,Percentage,Single person,Ireland,0.7,0.8,2.4,1.4,1.2,1.1,0.6,0.8 b,1.3 b,2.3,1.2,1.3
Annual,Percentage,Single person,Iceland,10.2,10.6,6.3,6.6,7.1,6.7,11.2,5.7,:,:,:,:
Annual,Percentage,Single person,Italy,8.0,9.6,9.8,8.3,8.5,8.2,8.3,8.8,8.5,9.6,8.7,8.3
Annual,Percentage,Single person,Lithuania,4.4,10.9 b,12.0,10.8,10.8,8.4,8.4,7.9,8.5,10.8,11.7,13.3
Annual,Percentage,Single person,Luxembourg,10.7,9.1,9.1,11.6,11.7 b,13.4,11.5,11.6,10.8 b,10.7 b,6.0 b,7.3
Annual,Percentage,Single person,Latvia,15.8,19.0,21.2,24.8,24.9,24.0,27.6,26.8,26.9,26.6,24.7,26.6
Annual,Percentage,Single person,Montenegro,:,11.4,17.9,18.8,17.3,21.8,21.0,21.3,20.6,16.6,14.8,:
Annual,Percentage,Single person,North Macedonia,9.3,3.5,17.5 b,12.9,11.1,9.0,10.0,6.8,9.2,:,:,:
Annual,Percentage,Single person,Malta,1.4,1.5,0.7,1.0,0.6,0.1,0.1,0.1,0.1,0.1,0.0,0.0
Annual,Percentage,Single person,Netherlands,4.7,5.5,6.6,5.7,7.2 b,7.2,7.1,6.6,7.1,6.8,6.6,6.9
Annual,Percentage,Single person,Norway,9.6,11.3,9.5,10.3,9.1,9.8,12.4,12.2,11.6,9.0 b,6.5,6.9
Annual,Percentage,Single person,Poland,25.7,25.4,25.3,23.8,24.1,23.3,24.3,22.8,20.0 b,19.4,20.4,18.6 b
Annual,Percentage,Single person,Portugal,1.7,1.4,1.6,1.2,1.1,0.9,0.9,0.9,1.1,1.2 b,0.6,0.9
Annual,Percentage,Single person,Romania,11.2,11.3,10.7,10.5,8.5,7.5,8.5,8.8,8.1,9.6,8.3,7.8
Annual,Percentage,Single person,Serbia,:,26.9,23.5,28.3,31.7,34.2,27.9,25.8,24.2,21.3,23.8,:
