Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Year,Total,Less than 1 year,Albania,78.2,77.9,78.5,78.5,78.9,79.1,77.4,75.5,79.1,:
Annual,Year,Total,Less than 1 year,Armenia,:,75.1,75.1,75.8,76.7,76.6,:,:,:,:
Annual,Year,Total,Less than 1 year,Austria,81.6,81.3,81.8,81.7,81.8,82.0,81.3,81.3,81.4,81.6 ip
Annual,Year,Total,Less than 1 year,Azerbaijan,74.8,75.3,:,75.6,76.0,76.6,:,:,:,:
Annual,Year,Total,Less than 1 year,Belgium,81.4,81.1,81.5,81.6,81.7,82.1,80.8,81.9,81.8,82.5 ip
Annual,Year,Total,Less than 1 year,Bulgaria,74.5,74.7,74.9,74.8,75.0,75.1,73.3,71.2,74.2 b,75.8 ip
Annual,Year,Total,Less than 1 year,Belarus,73.3,74.0,74.2,74.5,74.5,:,:,:,:,:
Annual,Year,Total,Less than 1 year,Switzerland,83.3,83.0,83.7,83.7,83.8,84.0,83.1,83.9,83.7,84.2 ip
Annual,Year,Total,Less than 1 year,Cyprus,82.3,81.8,82.7,82.2,82.9,82.3,82.4,81.3,81.6,82.5 ip
Annual,Year,Total,Less than 1 year,Czechia,78.9,78.7,79.1,79.1,79.1,79.3,78.3,77.2 b,79.0,80.0 ip
Annual,Year,Total,Less than 1 year,Germany,81.2,80.7,81.0,81.1,81.0,81.3,81.1,80.8,80.7,81.2 ip
Annual,Year,Total,Less than 1 year,Germany including former GDR,81.2,80.7,81.0,81.1,81.0,81.3,81.1,80.8,80.7,:
Annual,Year,Total,Less than 1 year,Denmark,80.7,80.8,80.9,81.1,81.0,81.5,81.6,81.5,81.3,81.9 ip
Annual,Year,Total,Less than 1 year,Euro area - 19 countries  (2015-2022),82.0 b,81.6 b,82.0,82.0 b,82.1 ep,82.4 bep,81.6 bp,81.6 bp,81.7 bp,:
Annual,Year,Total,Less than 1 year,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,81.6 bp,81.6 bp,:
Annual,Year,Total,Less than 1 year,Estonia,77.4,78.0 b,78.0,78.4,78.5,79.0,78.9,77.2,78.1,78.8 ip
Annual,Year,Total,Less than 1 year,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",80.9 b,80.6 b,81.0,81.0 b,81.1 ep,:,:,:,:,:
Annual,Year,Total,Less than 1 year,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",80.9 b,80.6 b,81.0,81.0 b,81.0 ep,:,:,:,:,:
Annual,Year,Total,Less than 1 year,European Free Trade Association,82.9,82.8,83.2,83.3,83.4,83.7,83.1,83.6,83.2,:
Annual,Year,Total,Less than 1 year,Greece,81.5,81.1,81.5,81.4,81.9,81.7,81.4,80.2,80.8,81.6 ip
Annual,Year,Total,Less than 1 year,Spain,83.3,83.0,83.5,83.4,83.5,84.0,82.3 b,83.3,83.2,84.0 ip
Annual,Year,Total,Less than 1 year,European Union - 27 countries (2007-2013),80.9 b,80.6 b,81.0,81.0 b,81.0 ep,:,:,:,:,:
Annual,Year,Total,Less than 1 year,European Union - 27 countries (from 2020),80.8 b,80.5 b,80.9,80.9 b,81.0 ep,81.3 bep,80.4 bep,80.1 bep,80.6 bep,81.5 ip
