Time frequency,National accounts indicator (ESA 2010),Sector,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Government consolidated gross debt,General government,Million euro,Austria,334713.3,349277.8,355292.2,356297.3,351128.7,368357.8,366445.0,369770.6,371728.7,383712.8 p,394819.5 p,398403.6 p
Quarterly,Government consolidated gross debt,General government,Million euro,Belgium,548775.0,562336.0,573411.0,574685.0,578336.0,599986.0,604353.0,623073.0,614991.0,638811.0 p,643419.0 p,643091.0 p
Quarterly,Government consolidated gross debt,General government,Million euro,Bulgaria,17013.2,16235.6,16445.7,18709.7,19353.1,19767.5,19623.6,19457.5,21673.6,21556.2 p,21887.9 p,24918.7 p
Quarterly,Government consolidated gross debt,General government,Million euro,Cyprus,24776.2,25632.1,24647.9,24470.7,23813.3,23527.9,24510.4,23178.8,23075.8,23086.6 p,22852.0 p,22885.9 p
Quarterly,Government consolidated gross debt,General government,Million euro,Czechia,103256.6,110119.0,112925.4,121524.3,124300.6,131936.8,132707.4,132053.7,130804.2,131899.8 p,132719.5 p,136989.2 p
Quarterly,Government consolidated gross debt,General government,Million euro,Germany,2502817.4 p,2504867.1 p,2542827.0 p,2556374.7 p,2569897.0 p,2597355.6 p,2595555.3 p,2637724.1 p,2631777.2 p,2637991.7 p,2634221.0 p,2671296.8 p
Quarterly,Government consolidated gross debt,General government,Million euro,Denmark,139787.7,131394.1,130776.6,130249.6,130333.2,130034.5,132151.8,129926.5,126403.5,126497.7 p,128412.9 p,129617.8 p
Quarterly,Government consolidated gross debt,General government,Million euro,Euro area - 19 countries  (2015-2022),11791646.4 p,12026199.6 p,12149676.8 p,12194530.5 p,12239485.9 p,12445784.2 p,12579047.6 p,12689345.1 p,12704685.2 p,12889681.4 p,13049571.0 p,13178679.4 p
Quarterly,Government consolidated gross debt,General government,Million euro,Euro area – 20 countries (from 2023),11837387.6 p,12071442.0 p,12195326.2 p,12240404.1 p,12285818.6 p,12494192.3 p,12626986.4 p,12737312.0 p,12752945.4 p,12939269.1 p,13098686.8 p,13228655.8 p
Quarterly,Government consolidated gross debt,General government,Million euro,Estonia,5793.8,5912.2,5986.9,5876.4,6965.0,6620.0,7167.2,7091.9,7707.7,9233.4 p,9161.9 p,9339.8 p
Quarterly,Government consolidated gross debt,General government,Million euro,Greece,364141.0,368392.0,369817.0,368156.0,368005.0,366941.0,369346.0,371483.0,369099.0,368365.0 p,369416.0 p,370865.0 p
Quarterly,Government consolidated gross debt,General government,Million euro,Spain,1429404.0,1456014.0,1477522.0,1505975.0,1504105.0,1536723.0,1570119.0,1578812.0,1575372.0,1614709.0 p,1626063.0 p,1636116.0 p
Quarterly,Government consolidated gross debt,General government,Million euro,European Union - 27 countries (from 2020),12831063.4,13062499.9,13187339.6,13242721.3,13316603.9,13555453.1,13715902.3,13823260.9,13899158.0,14115854.3 p,14304750.8 p,14479047.5 p
Quarterly,Government consolidated gross debt,General government,Million euro,Finland,181914.0,185325.0,189048.0,190304.0,196876.0,198466.0,203471.0,204421.0,211156.0,213854.0 p,219549.0 p,224790.0 p
Quarterly,Government consolidated gross debt,General government,Million euro,France,2828928.3,2915608.7,2922460.4,2963621.2,2956043.3,3021832.3,3055723.9,3097310.7,3104081.3,3162318.2 p,3231282.1 p,3302983.9 p
Quarterly,Government consolidated gross debt,General government,Million euro,Croatia,45743.6,45244.8,45651.7,45875.9,46335.0,48410.3,47940.9,47969.1,48262.4,49589.8 p,49117.9 p,49978.5 p
Quarterly,Government consolidated gross debt,General government,Million euro,Hungary,114697.6,119876.9,116517.8,113429.7,121881.5,134994.3,141890.3,139595.4,144049.4,147468.4 p,150739.3 p,152717.6 p
Quarterly,Government consolidated gross debt,General government,Million euro,Ireland,236127.3,235181.8,236610.3,236110.1,224779.7,223626.5,223081.3,222597.7,220724.1,215719.9 p,216681.4 p,217426.7 p
Quarterly,Government consolidated gross debt,General government,Million euro,Italy,2685173.3,2764319.9,2777098.0,2745116.0,2762908.3,2795988.8,2854203.0,2849722.5,2868410.6,2899178.0 p,2952897.2 p,2961375.1 p
Quarterly,Government consolidated gross debt,General government,Million euro,Lithuania,24535.5,23308.0,24224.8,24036.1,25672.4,26231.6,26791.6,26556.9,27557.9,29226.5 p,28343.1 p,29513.3 p
Quarterly,Government consolidated gross debt,General government,Million euro,Luxembourg,17664.3,16707.0,19207.3,19081.9,19107.4,22155.9,22241.4,20292.8,20295.3,21674.0 p,21753.4 p,21842.3 p
Quarterly,Government consolidated gross debt,General government,Million euro,Latvia,14809.8,14696.1,15252.1,15184.5,16038.9,17192.4,15985.0,16833.2,17578.5,18045.7 p,18192.5 p,18852.3 p
Quarterly,Government consolidated gross debt,General government,Million euro,Malta,8271.8,8659.4,8603.7,8703.5,9009.8,9260.3,9170.9,9419.7,9790.3,10000.2 p,10083.7 p,10035.0 p
Quarterly,Government consolidated gross debt,General government,Million euro,Netherlands,450239.0,447671.0,458820.0,451646.0,481145.0,475134.0 p,470879.0 p,468102.0 p,482228.0 p,476583.0 p,475965.0 p,470273.0 p
Quarterly,Government consolidated gross debt,General government,Million euro,Norway,178943.6,167558.7,168261.2,180234.9,198184.2,165859.8,153123.1,164630.0,201999.8,182233.1 p,195558.7 p,186537.1 p
Quarterly,Government consolidated gross debt,General government,Million euro,Poland,306938.6,304343.1,309978.9,305274.4,323187.9,328139.6,356360.1,350984.6,389726.0,410930.6 p,423409.1 p,443376.9 p
Quarterly,Government consolidated gross debt,General government,Million euro,Portugal,268188.5,274942.2,279631.5,278818.9,271357.6,278104.0,278905.5,278795.3,261848.8,269637.8 p,276718.7 p,272175.7 p
Quarterly,Government consolidated gross debt,General government,Million euro,Romania,116455.6,119905.0,125529.5,130764.2,134456.2,144445.6,145979.0,152740.6,157648.6,170006.6 p,172864.3 p,184190.7 p
Quarterly,Government consolidated gross debt,General government,Million euro,Sweden,195540.2,189198.0,179852.9,182378.8,177286.0,171955.7,160216.7,161203.6,175919.7,168238.1 p,176042.4 p,178592.1 p
Quarterly,Government consolidated gross debt,General government,Million euro,Slovenia,38929.6,40343.6,41153.7,41905.8,41394.7,42369.8,42628.6,44212.2,43738.9,45472.2 p,45467.9 p,44245.2 p
Quarterly,Government consolidated gross debt,General government,Million euro,Slovakia,61346.3,61964.4,62103.4,61795.4,63499.0,65388.0,69008.4,69750.1,68897.8,75939.1 p,76906.1 p,77469.4 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Austria,82.4,83.4,82.5,81.0,78.4,79.9,78.5,78.6,78.6,80.9 p,82.9 p,83.2 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Belgium,108.4,108.3,107.3,104.6,102.6,104.0,103.2,105.3,103.1,106.6 p,106.6 p,105.6 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Bulgaria,23.8,21.9,21.2,23.0,22.5,22.2,21.5,20.9,22.9,22.4 p,22.1 p,24.6 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Cyprus,96.5,96.1,89.4,85.3,81.0,78.5,80.5,75.1,73.6,72.6 p,70.5 p,69.7 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Czechia,40.7,41.4,41.9,43.5,42.5,42.9,42.6,42.8,42.4,43.4 p,42.7 p,43.6 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Germany,68.1 p,66.7 p,66.5 p,65.7 p,65.0 p,64.5 p,63.6 p,63.8 p,62.9 p,62.6 p,61.9 p,62.4 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Denmark,40.5,37.0,35.8,34.6,34.1,33.7,34.4,34.3,33.6,33.8 p,33.9 p,33.6 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Euro area - 19 countries  (2015-2022),93.9 p,93.6 p,92.4 p,91.0 p,89.6 p,89.4 p,88.9 p,88.5 p,87.5 p,88.0 p,88.3 p,88.3 p
Quarterly,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),Euro area – 20 countries (from 2023),93.9 p,93.5 p,92.3 p,90.9 p,89.5 p,89.3 p,88.8 p,88.4 p,87.4 p,87.9 p,88.2 p,88.2 p
