Time frequency,Sex,Unit of measure,Control over working time,Geopolitical entity (reporting)\Time,2017.0
Annual,Females,Thousand persons,Clients,Austria,31.2
Annual,Females,Thousand persons,Clients,Belgium,20.4
Annual,Females,Thousand persons,Clients,Bulgaria,5.9 u
Annual,Females,Thousand persons,Clients,Switzerland,9.9
Annual,Females,Thousand persons,Clients,Cyprus,4.9
Annual,Females,Thousand persons,Clients,Czechia,56.0
Annual,Females,Thousand persons,Clients,Germany,126.4
Annual,Females,Thousand persons,Clients,Denmark,13.1
Annual,Females,Thousand persons,Clients,Euro area - 19 countries  (2015-2022),809.3
Annual,Females,Thousand persons,Clients,Estonia,: u
Annual,Females,Thousand persons,Clients,Greece,30.6
Annual,Females,Thousand persons,Clients,Spain,109.6
Annual,Females,Thousand persons,Clients,European Union - 27 countries (from 2020),1016.9
Annual,Females,Thousand persons,Clients,European Union - 28 countries (2013-2020),1223.3
Annual,Females,Thousand persons,Clients,Finland,6.0
Annual,Females,Thousand persons,Clients,France,97.0 u
Annual,Females,Thousand persons,Clients,Croatia,: u
Annual,Females,Thousand persons,Clients,Hungary,12.5
Annual,Females,Thousand persons,Clients,Ireland,7.0
Annual,Females,Thousand persons,Clients,Iceland,: u
Annual,Females,Thousand persons,Clients,Italy,183.3
Annual,Females,Thousand persons,Clients,Lithuania,: u
Annual,Females,Thousand persons,Clients,Luxembourg,: u
Annual,Females,Thousand persons,Clients,Latvia,3.3 u
Annual,Females,Thousand persons,Clients,Malta,: u
Annual,Females,Thousand persons,Clients,Netherlands,127.6
Annual,Females,Thousand persons,Clients,Norway,: u
Annual,Females,Thousand persons,Clients,Poland,66.4
Annual,Females,Thousand persons,Clients,Portugal,21.1
Annual,Females,Thousand persons,Clients,Romania,39.1
Annual,Females,Thousand persons,Clients,Sweden,10.8
Annual,Females,Thousand persons,Clients,Slovenia,4.9 u
Annual,Females,Thousand persons,Clients,Slovakia,30.9
Annual,Females,Thousand persons,Clients,Türkiye,181.6
Annual,Females,Thousand persons,Clients,United Kingdom,206.5
Annual,Females,Thousand persons,No response,Bulgaria,: u
Annual,Females,Thousand persons,No response,Switzerland,: @C
Annual,Females,Thousand persons,No response,Czechia,1.4 u
Annual,Females,Thousand persons,No response,Germany,102.6
Annual,Females,Thousand persons,No response,Euro area - 19 countries  (2015-2022),301.2
Annual,Females,Thousand persons,No response,Greece,14.7
Annual,Females,Thousand persons,No response,Spain,7.0 u
Annual,Females,Thousand persons,No response,European Union - 27 countries (from 2020),317.7
Annual,Females,Thousand persons,No response,European Union - 28 countries (2013-2020),325.5
Annual,Females,Thousand persons,No response,Finland,15.6
Annual,Females,Thousand persons,No response,France,52.1 u
Annual,Females,Thousand persons,No response,Hungary,5.9
Annual,Females,Thousand persons,No response,Ireland,12.7
Annual,Females,Thousand persons,No response,Iceland,: @C
Annual,Females,Thousand persons,No response,Italy,7.3 u
Annual,Females,Thousand persons,No response,Luxembourg,2.9 u
Annual,Females,Thousand persons,No response,Netherlands,13.2
Annual,Females,Thousand persons,No response,Norway,5.9 u
Annual,Females,Thousand persons,No response,Poland,7.8 u
Annual,Females,Thousand persons,No response,Portugal,72.8
Annual,Females,Thousand persons,No response,Romania,: @C
Annual,Females,Thousand persons,No response,Slovakia,: @C
Annual,Females,Thousand persons,No response,United Kingdom,: u
Annual,Females,Thousand persons,Others,Austria,6.4 u
Annual,Females,Thousand persons,Others,Belgium,7.8 u
Annual,Females,Thousand persons,Others,Bulgaria,: u
Annual,Females,Thousand persons,Others,Switzerland,10.6
Annual,Females,Thousand persons,Others,Cyprus,1.1 u
Annual,Females,Thousand persons,Others,Czechia,19.6
Annual,Females,Thousand persons,Others,Germany,: u
Annual,Females,Thousand persons,Others,Denmark,: u
Annual,Females,Thousand persons,Others,Euro area - 19 countries  (2015-2022),349.8
Annual,Females,Thousand persons,Others,Estonia,: u
Annual,Females,Thousand persons,Others,Greece,46.9
Annual,Females,Thousand persons,Others,Spain,119.2
Annual,Females,Thousand persons,Others,European Union - 27 countries (from 2020),407.8
Annual,Females,Thousand persons,Others,European Union - 28 countries (2013-2020),452.4
Annual,Females,Thousand persons,Others,Finland,: u
Annual,Females,Thousand persons,Others,France,: u
Annual,Females,Thousand persons,Others,Croatia,: u
Annual,Females,Thousand persons,Others,Hungary,4.5 u
Annual,Females,Thousand persons,Others,Ireland,2.2 u
