Time frequency,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,One adult,Percentage of disposable income,Austria,8.3 i,12.8 i,12.4 i
Annual,One adult,Percentage of disposable income,Belgium,-0.3 i,7.4 i,15.3 i
Annual,One adult,Percentage of disposable income,Bulgaria,15.9 e,2.8 i,8 i
Annual,One adult,Percentage of disposable income,Cyprus,21.8 i,4.7 i,25.6 i
Annual,One adult,Percentage of disposable income,Czechia,13.4 i,15.6 i,22.4 i
Annual,One adult,Percentage of disposable income,Germany,5.6 i,4.8 i,9.7 i
Annual,One adult,Percentage of disposable income,Denmark,-4.1 i,12.1 i,25 i
Annual,One adult,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,14.7 i,16.2 i
Annual,One adult,Percentage of disposable income,Euro area – 20 countries (from 2023),:,14.5 i,16.1 i
Annual,One adult,Percentage of disposable income,Estonia,28.2 i,31.8 i,32.1 i
Annual,One adult,Percentage of disposable income,Greece,-22.9 i,-9.2 i,8.1 i
Annual,One adult,Percentage of disposable income,Spain,16.5 i,23 i,30.2 i
Annual,One adult,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,13.2 i,15.6 i
Annual,One adult,Percentage of disposable income,European Union - 27 countries (from 2020),:,13.8 i,15.6 i
Annual,One adult,Percentage of disposable income,Finland,21.2 i,15.7 i,:
Annual,One adult,Percentage of disposable income,France,29.8 i,34.2 i,25.3 i
Annual,One adult,Percentage of disposable income,Croatia,-11.5 i,-5.6 i,4.5 i
Annual,One adult,Percentage of disposable income,Hungary,5.8 i,5.8 i,12.2 i
Annual,One adult,Percentage of disposable income,Ireland,22.6 i,23.7 i,:
Annual,One adult,Percentage of disposable income,Italy,22.5 i,:,:
Annual,One adult,Percentage of disposable income,Lithuania,11.6 i,19.4 i,34.8 i
Annual,One adult,Percentage of disposable income,Luxembourg,24.3 i,17.4 i,17.8 i
Annual,One adult,Percentage of disposable income,Latvia,1.2 i,8.7 i,17.6 i
Annual,One adult,Percentage of disposable income,Malta,7.2 i,19.4 i,28.4 i
Annual,One adult,Percentage of disposable income,Netherlands,:,-0.9 i,-3.8 i
Annual,One adult,Percentage of disposable income,Poland,15.8 i,19.3 i,40.8 i
Annual,One adult,Percentage of disposable income,Portugal,12.7 i,16.9 i,:
Annual,One adult,Percentage of disposable income,Romania,-14.5 i,2.5 i,-30.6 i
Annual,One adult,Percentage of disposable income,Sweden,8.9 i,10.8 i,:
Annual,One adult,Percentage of disposable income,Slovenia,1 i,18.1 i,10.5 i
Annual,One adult,Percentage of disposable income,Slovakia,11 i,-2 i,16.1 i
Annual,One adult,Percentage of disposable income,United Kingdom,19.8 i,9.7 i,:
Annual,One adult with dependent children,Percentage of disposable income,Austria,2.8 i,6.2 i,8.6 i
Annual,One adult with dependent children,Percentage of disposable income,Belgium,-0.4 i,13 i,28.9 i
Annual,One adult with dependent children,Percentage of disposable income,Bulgaria,23.6 e,5.4 i,21.4 i
Annual,One adult with dependent children,Percentage of disposable income,Cyprus,-19.6 i,1.3 i,16.9 i
Annual,One adult with dependent children,Percentage of disposable income,Czechia,11.8 i,12.4 i,6.7 i
Annual,One adult with dependent children,Percentage of disposable income,Germany,4.8 i,9.4 i,11.9 i
Annual,One adult with dependent children,Percentage of disposable income,Denmark,-17.5 i,13.4 i,18.2 i
Annual,One adult with dependent children,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,9.3 i,15.1 i
Annual,One adult with dependent children,Percentage of disposable income,Euro area – 20 countries (from 2023),:,9.2 i,15.1 i
Annual,One adult with dependent children,Percentage of disposable income,Estonia,23.7 i,18 i,25.6 i
Annual,One adult with dependent children,Percentage of disposable income,Greece,-53.8 i,-28.4 i,-6.1 i
Annual,One adult with dependent children,Percentage of disposable income,Spain,-11.8 i,-6.8 i,6.6 i
Annual,One adult with dependent children,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,3.9 i,15.1 i
Annual,One adult with dependent children,Percentage of disposable income,European Union - 27 countries (from 2020),:,9.2 i,15.1 i
Annual,One adult with dependent children,Percentage of disposable income,Finland,6.2 i,10.3 i,:
Annual,One adult with dependent children,Percentage of disposable income,France,12.5 i,18.1 i,18.3 i
Annual,One adult with dependent children,Percentage of disposable income,Croatia,-5.8 i,-19.7 i,11.7 i
Annual,One adult with dependent children,Percentage of disposable income,Hungary,8.7 i,5.7 i,7.8 i
Annual,One adult with dependent children,Percentage of disposable income,Ireland,1.5 i,14.6 i,:
Annual,One adult with dependent children,Percentage of disposable income,Italy,-17.7 i,:,:
Annual,One adult with dependent children,Percentage of disposable income,Lithuania,-6.4 i,15.8 i,39.1 i
Annual,One adult with dependent children,Percentage of disposable income,Luxembourg,0.6 i,13.6 i,18.9 i
Annual,One adult with dependent children,Percentage of disposable income,Latvia,-7.4 i,15.5 i,20.8 i
Annual,One adult with dependent children,Percentage of disposable income,Malta,-28.4 i,-1.4 i,-5.3 i
Annual,One adult with dependent children,Percentage of disposable income,Netherlands,:,8.9 i,17.1 i
Annual,One adult with dependent children,Percentage of disposable income,Poland,12.2 i,10.2 i,40.4 i
Annual,One adult with dependent children,Percentage of disposable income,Portugal,-15.1 i,-1.2 i,:
Annual,One adult with dependent children,Percentage of disposable income,Romania,-20.4 i,-5.9 i,-7 i
Annual,One adult with dependent children,Percentage of disposable income,Sweden,1.4 i,15.4 i,:
Annual,One adult with dependent children,Percentage of disposable income,Slovenia,-4.4 i,-1.8 i,16.8 i
Annual,One adult with dependent children,Percentage of disposable income,Slovakia,15.4 i,-2.6 i,1.7 i
Annual,One adult with dependent children,Percentage of disposable income,United Kingdom,-5.9 i,-16.7 i,:
Annual,Two adults,Percentage of disposable income,Austria,22.1 i,25.7 i,26.8 i
Annual,Two adults,Percentage of disposable income,Belgium,8.4 i,18 i,37.3 i
Annual,Two adults,Percentage of disposable income,Bulgaria,36.9 e,20.9 i,29.1 i
Annual,Two adults,Percentage of disposable income,Cyprus,18.1 i,11.6 i,27.2 i
Annual,Two adults,Percentage of disposable income,Czechia,24.7 i,27 i,35 i
Annual,Two adults,Percentage of disposable income,Germany,15.2 i,18.8 i,21.7 i
Annual,Two adults,Percentage of disposable income,Denmark,13.7 i,29.6 i,44.3 i
Annual,Two adults,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,24.5 i,29.4 i
Annual,Two adults,Percentage of disposable income,Euro area – 20 countries (from 2023),:,24.4 i,29.3 i
Annual,Two adults,Percentage of disposable income,Estonia,39.4 i,39.4 i,46.8 i
Annual,Two adults,Percentage of disposable income,Greece,1.8 i,3.6 i,23.3 i
Annual,Two adults,Percentage of disposable income,Spain,20.7 i,23.1 i,38.2 i
Annual,Two adults,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,24 i,30.1 i
Annual,Two adults,Percentage of disposable income,European Union - 27 countries (from 2020),:,24.9 i,30.1 i
Annual,Two adults,Percentage of disposable income,Finland,26.8 i,26.6 i,:
Annual,Two adults,Percentage of disposable income,France,32.7 i,38 i,34.9 i
Annual,Two adults,Percentage of disposable income,Croatia,6 i,5.5 i,16.4 i
Annual,Two adults,Percentage of disposable income,Hungary,20.8 i,17.1 i,24.2 i
Annual,Two adults,Percentage of disposable income,Ireland,23.5 i,27.7 i,:
Annual,Two adults,Percentage of disposable income,Italy,31.7 i,:,:
Annual,Two adults,Percentage of disposable income,Lithuania,28.4 i,41.5 i,50.6 i
Annual,Two adults,Percentage of disposable income,Luxembourg,32.2 i,29.3 i,32.8 i
Annual,Two adults,Percentage of disposable income,Latvia,14.5 i,30.9 i,32.4 i
Annual,Two adults,Percentage of disposable income,Malta,12.8 i,18.2 i,31 i
Annual,Two adults,Percentage of disposable income,Netherlands,:,18.9 i,24.9 i
Annual,Two adults,Percentage of disposable income,Poland,27 i,33.5 i,50.1 i
Annual,Two adults,Percentage of disposable income,Portugal,21.8 i,23.3 i,:
Annual,Two adults,Percentage of disposable income,Romania,3.4 i,16.3 i,3.2 i
Annual,Two adults,Percentage of disposable income,Sweden,27 i,33.5 i,:
Annual,Two adults,Percentage of disposable income,Slovenia,22.1 i,29.9 i,27.6 i
Annual,Two adults,Percentage of disposable income,Slovakia,25 i,18.3 i,30.7 i
Annual,Two adults,Percentage of disposable income,United Kingdom,25.9 i,19.5 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Austria,19.2 i,21.4 i,28.9 i
Annual,Two adults with dependent children,Percentage of disposable income,Belgium,16.5 i,29.8 i,43.3 i
Annual,Two adults with dependent children,Percentage of disposable income,Bulgaria,39.5 e,19.6 i,37.1 i
Annual,Two adults with dependent children,Percentage of disposable income,Cyprus,0.4 i,10.9 i,22.8 i
Annual,Two adults with dependent children,Percentage of disposable income,Czechia,27.1 i,31.5 i,30.5 i
Annual,Two adults with dependent children,Percentage of disposable income,Germany,22.2 i,24.4 i,27.3 i
Annual,Two adults with dependent children,Percentage of disposable income,Denmark,15.2 i,41 i,44.3 i
Annual,Two adults with dependent children,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,22.3 i,29.4 i
Annual,Two adults with dependent children,Percentage of disposable income,Euro area – 20 countries (from 2023),:,22.1 i,29.3 i
Annual,Two adults with dependent children,Percentage of disposable income,Estonia,36.7 i,31.6 i,47.9 i
Annual,Two adults with dependent children,Percentage of disposable income,Greece,-26.3 i,-19 i,5.5 i
Annual,Two adults with dependent children,Percentage of disposable income,Spain,7.5 i,12.2 i,26.7 i
Annual,Two adults with dependent children,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,21.8 i,30.6 i
Annual,Two adults with dependent children,Percentage of disposable income,European Union - 27 countries (from 2020),:,22.7 i,30.6 i
Annual,Two adults with dependent children,Percentage of disposable income,Finland,17 i,16.8 i,:
Annual,Two adults with dependent children,Percentage of disposable income,France,25.5 i,32.1 i,33 i
Annual,Two adults with dependent children,Percentage of disposable income,Croatia,2.5 i,-1.7 i,23.1 i
Annual,Two adults with dependent children,Percentage of disposable income,Hungary,17.2 i,17 i,26.5 i
Annual,Two adults with dependent children,Percentage of disposable income,Ireland,18.6 i,25.9 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Italy,19.6 i,:,:
Annual,Two adults with dependent children,Percentage of disposable income,Lithuania,23.6 i,33.3 i,53.1 i
Annual,Two adults with dependent children,Percentage of disposable income,Luxembourg,27.2 i,29.1 i,35.3 i
Annual,Two adults with dependent children,Percentage of disposable income,Latvia,12.6 i,28.4 i,34.8 i
Annual,Two adults with dependent children,Percentage of disposable income,Malta,2.2 i,9.4 i,23.1 i
Annual,Two adults with dependent children,Percentage of disposable income,Netherlands,:,29.7 i,36.8 i
Annual,Two adults with dependent children,Percentage of disposable income,Poland,22.9 i,27.9 i,51.8 i
Annual,Two adults with dependent children,Percentage of disposable income,Portugal,2.7 i,14.1 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Romania,-9.8 i,9 i,9.2 i
Annual,Two adults with dependent children,Percentage of disposable income,Sweden,24.5 i,35.8 i,:
Annual,Two adults with dependent children,Percentage of disposable income,Slovenia,18.8 i,18.1 i,23.9 i
Annual,Two adults with dependent children,Percentage of disposable income,Slovakia,26.3 i,17.5 i,16.4 i
Annual,Two adults with dependent children,Percentage of disposable income,United Kingdom,25.4 i,15.9 i,:
Annual,Three or more adults,Percentage of disposable income,Austria,34.3 i,35.4 i,40 i
Annual,Three or more adults,Percentage of disposable income,Belgium,29.7 i,37.1 i,45.5 i
Annual,Three or more adults,Percentage of disposable income,Bulgaria,51.2 e,31.3 i,43 i
Annual,Three or more adults,Percentage of disposable income,Cyprus,22.3 i,18.6 i,29.1 i
Annual,Three or more adults,Percentage of disposable income,Czechia,32.6 i,36.4 i,49 i
Annual,Three or more adults,Percentage of disposable income,Germany,24.7 i,29.3 i,27.4 i
Annual,Three or more adults,Percentage of disposable income,Denmark,21.2 i,47.1 i,52.1 i
Annual,Three or more adults,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,30.5 i,38.6 i
Annual,Three or more adults,Percentage of disposable income,Euro area – 20 countries (from 2023),:,30.1 i,38.4 i
Annual,Three or more adults,Percentage of disposable income,Estonia,42 i,45.7 i,62.6 i
Annual,Three or more adults,Percentage of disposable income,Greece,6.8 i,6.3 i,27.4 i
Annual,Three or more adults,Percentage of disposable income,Spain,26 i,28.4 i,43.6 i
Annual,Three or more adults,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,30.2 i,40.6 i
Annual,Three or more adults,Percentage of disposable income,European Union - 27 countries (from 2020),:,30.9 i,40.6 i
Annual,Three or more adults,Percentage of disposable income,Finland,40.1 i,30.5 i,:
Annual,Three or more adults,Percentage of disposable income,France,40.4 i,44.9 i,43.7 i
Annual,Three or more adults,Percentage of disposable income,Croatia,17.5 i,17.5 i,31.7 i
Annual,Three or more adults,Percentage of disposable income,Hungary,29.8 i,24.1 i,30.2 i
Annual,Three or more adults,Percentage of disposable income,Ireland,14.8 i,27.8 i,:
Annual,Three or more adults,Percentage of disposable income,Italy,43.6 i,:,:
Annual,Three or more adults,Percentage of disposable income,Lithuania,39.4 i,44.9 i,60.3 i
Annual,Three or more adults,Percentage of disposable income,Luxembourg,43.1 i,45.8 i,38.7 i
Annual,Three or more adults,Percentage of disposable income,Latvia,27.2 i,41.4 i,46.1 i
Annual,Three or more adults,Percentage of disposable income,Malta,30.4 i,33.3 i,43.9 i
Annual,Three or more adults,Percentage of disposable income,Netherlands,:,31.9 i,43.4 i
Annual,Three or more adults,Percentage of disposable income,Poland,37 i,38.3 i,55.7 i
Annual,Three or more adults,Percentage of disposable income,Portugal,25.3 i,30.9 i,:
Annual,Three or more adults,Percentage of disposable income,Romania,9.6 i,22.8 i,17.7 i
Annual,Three or more adults,Percentage of disposable income,Sweden,31.1 i,35.9 i,:
Annual,Three or more adults,Percentage of disposable income,Slovenia,35.1 i,33 i,35.2 i
Annual,Three or more adults,Percentage of disposable income,Slovakia,33.7 i,32.7 i,44.7 i
Annual,Three or more adults,Percentage of disposable income,United Kingdom,32 i,26.2 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Austria,30.1 i,35.8 i,40.4 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Belgium,14 i,35.9 i,45.8 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Bulgaria,44.2 e,27.8 i,42.7 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Cyprus,6.1 i,12.3 i,22.7 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Czechia,31.9 i,37.5 i,40.6 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Germany,23.3 i,32.1 i,32.5 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Denmark,17.2 i,41.3 i,43.3 i
Annual,Three or more adults with dependent children,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,25.6 i,34.5 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Euro area – 20 countries (from 2023),:,25 i,34.4 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Estonia,45.5 i,43.4 i,55 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Greece,-12.2 i,-6.9 i,20 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Spain,16.6 i,14.8 i,29.4 i
Annual,Three or more adults with dependent children,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,25.7 i,39.6 i
Annual,Three or more adults with dependent children,Percentage of disposable income,European Union - 27 countries (from 2020),:,27 i,39.6 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Finland,25.2 i,30.4 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,France,30.2 i,38.8 i,39.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Croatia,14.9 i,12.8 i,31.4 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Hungary,28.3 i,27 i,31.2 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Ireland,15 i,25.8 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Italy,27.8 i,:,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Lithuania,34.7 i,39.2 i,67.9 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Luxembourg,36.1 i,34.4 i,40.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Latvia,25.7 i,39 i,46.3 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Malta,23.6 i,20.1 i,35.2 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Netherlands,:,34.3 i,46 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Poland,32.7 i,35.6 i,57.9 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Portugal,13.1 i,22.1 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Romania,-2.2 i,13.9 i,19.1 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Sweden,30.7 i,42 i,:
Annual,Three or more adults with dependent children,Percentage of disposable income,Slovenia,30.9 i,27.2 i,38.7 i
Annual,Three or more adults with dependent children,Percentage of disposable income,Slovakia,35.2 i,32.3 i,38.7 i
Annual,Three or more adults with dependent children,Percentage of disposable income,United Kingdom,27.2 i,16.2 i,:
Annual,Total,Percentage of disposable income,Austria,18 i,21.1 i,23.8 i
Annual,Total,Percentage of disposable income,Belgium,8.9 i,19 i,32.8 i
Annual,Total,Percentage of disposable income,Bulgaria,38 e,17.4 i,26.8 i
Annual,Total,Percentage of disposable income,Cyprus,12.2 i,10.5 i,25.1 i
Annual,Total,Percentage of disposable income,Czechia,23.9 i,25.5 i,31.2 i
Annual,Total,Percentage of disposable income,Germany,13.5 i,14.9 i,18.3 i
Annual,Total,Percentage of disposable income,Denmark,4.3 i,25.6 i,35 i
Annual,Total,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,20.7 i,25.5 i
Annual,Total,Percentage of disposable income,Euro area – 20 countries (from 2023),:,20.5 i,25.4 i
