Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Migration status,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Austria,12.1
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Belgium,10.2
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Bulgaria,31.4
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Switzerland,21.3
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Cyprus,39.6
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Czechia,21.2
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Germany,10.4
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Estonia,13.4
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Greece,12.4
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Spain,50.3
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Finland,13.3
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,France,18.7
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Croatia,11.4
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Hungary,8.6
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Italy,15.1
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Lithuania,12.5
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Luxembourg,17.1
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Latvia,18.6
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Malta,19.5
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Norway,14.2
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Poland,19.9
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Portugal,27.5
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Romania,9.3
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Sweden,20.0
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Slovenia,12.2
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,Slovakia,42.5
Annual,Percentage,All ISCED 2011 levels,Total,From 15 to 64 years,Total,United Kingdom,20.7
