Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand,Armenia,268.7,337.1,467.6,515.5,551.7,715.5,830.5,965.4,1080.0,1198.1,1187.4,1262.7,1481.8,1622.8,1867.9,301.3,430.7,:
Annual,Thousand,Azerbaijan,886.9,889.9,790.7,1048.1,1145.1,1819.6,2308.2,2828.9,3306.7,3319.4,3256.2,3592.1,3447.4,4096.7,4347.3,746.6,557.9,918.1
Annual,Thousand,Belarus,572.4 d,525.4 d,516.8 d,380.3 d,316.3 d,414.7 d,319.8 d,492.8 d,708.4 d,740.5 d,671.1 d,467.6 d,706.3 d,835.7 d,963.4 d,253.9 d,:,:
Annual,Thousand,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1357.2 d,398.1 d,473.5 d,944.2 d
Annual,Thousand,Moldova,57.2,67.8,81.8,85.1,93.3,117.2,136.1,146.8,157.6,180.6,189.8,177.3,229.3,264.1,310.6,74.7,217.7,324.6
Annual,Thousand,Ukraine,16454.0,16875.0,17335.0,15499.0,15334.0,17180.0,19773.0,21433.0,23761.0,22438.0 d,23142.0 d,24668.0 d,26437.0 d,27811.0 d,28880.0 d,11018.0 d,14352.0 d,15183.6 d
