Time frequency,Unit of measure,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,European Union - 27 countries (from 2020),Armenia,-115.8 i,-206.2 i,-390.4 i,-534.8 i,-421.2 i,-401.1 i,-340.2 i,-322.9 i,-464.2 i,-462.9 i,-330.6 i,-211.8 i,-212.7 i,-373.0 i,-444.9 i,-375.7 i,-231.8 i,-658.0 i
Annual,Million euro,European Union - 27 countries (from 2020),Belarus,2055.5 i,2202.6 i,2229.1 i,3096.0 i,1576.7 i,-421.1 i,5014.2 i,6262.8 i,-504.1 i,-1042.5 i,-43.9 i,-708.5 i,-838.9 i,218.0 i,-867.7 i,-892.5 i,:,:
Annual,Million euro,European Union - 27 countries (from 2020),Georgia,-421.5 di,-645.4 di,-835.0 di,-992.6 di,-726.8 di,-832.5 di,-1202.2 di,-1503.9 di,-1158.5 di,-1381.8 di,-1256.4 di,-1455.0 di,-1237.4 di,-1473.4 di,-1338.2 di,-1005.6 di,-1345.0 di,-2087.3 di
Annual,Million euro,European Union - 27 countries (from 2020),Moldova,-478.7 i,-537.0 i,-726.4 i,-866.6 i,-545.8 i,-765.7 i,-868.0 i,-1038.7 i,-1038.5 i,-1025.2 i,-744.6 i,-624.8 i,-773.2 i,-853.3 i,-939.4 i,-726.2 i,-1036.4 i,-1759.1 i
Annual,Million euro,All countries of the world,Armenia,-664.3 i,-963.1 i,-1546.9 i,-2289.5 i,-1869.5 i,-2039.9 i,-1956.1 i,-2116.4 i,-2188.6 i,-2167.4 i,-1579.8 i,-1338.7 i,-1646.1 i,-2169.7 i,-2569.7 i,-1778.3 i,-1959.3 i,-3128.3 i
Annual,Million euro,All countries of the world,Azerbaijan,109.3 i,880.4 i,251.5 i,27594.5 i,6150.2 i,11133.4 i,12079.7 i,11095.2 i,9986.4 i,9515.2 i,3165.8 i,4488.7 i,5721.2 i,6787.8 i,5329.2 i,2629.1 i,8873.6 i,22383.6 ip
Annual,Million euro,All countries of the world,Belarus,-585.3 i,-2085.1 i,-3228.0 i,-4641.4 i,-5221.2 i,-7239.0 i,-3119.8 i,-268.1 i,-4383.9 i,-3327.9 i,-3271.2 i,-3680.3 i,-4429.7 i,-3838.9 i,-5824.4 i,-3147.3 i,:,:
Annual,Million euro,All countries of the world,Georgia,-1375.0 di,-2079.3 di,-2703.6 di,-3453.5 di,-2319.9 di,-2663.3 di,-3776.1 di,-4304.8 di,-3706.9 di,-4728.4 di,-4684.5 di,-4956.4 di,-4428.8 di,-5064.8 di,-5109.7 di,-4122.1 di,-4951.4 di,-7563.4 di
Annual,Million euro,All countries of the world,Moldova,-972.6 i,-1302.3 i,-1705.1 i,-2255.5 i,-1432.3 i,-1754.7 i,-2140.8 i,-2371.0 i,-2307.7 i,-2255.4 i,-1829.7 i,-1786.1 i,-2128.1 i,-2592.0 i,-2739.0 i,-2572.0 i,-3415.0 i,-4673.2 i
Annual,Million euro,All countries of the world,Ukraine,-1533.6 i,-5312.7 i,-8261.1 i,-12624.5 i,-4311.1 di,-7247.3 di,-9659.8 di,-11951.7 di,-10186.5 di,-396.7 di,550.4 di,-2609.2 di,-5614.3 i,-8342.6 di,-9598.6 di,-4437.6 di,-4106.1 di,-10842.8 i
