Time frequency,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage based on head count (HC),Business enterprise sector,Austria,:,17.56,:,17.09,:,17.66,:,17.7,:,18.72,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Bosnia and Herzegovina,33.33,58.64,54.05,:,:,:,:,54.31,51.55,47.43,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Belgium,:,24.93,:,27.15,:,28.65,:,25.0,:,27.66 b,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Bulgaria,42.8,42.84,39.58,37.54,39.26,36.0,34.41,35.59,35.23,37.63,35.81,:
Annual,Percentage based on head count (HC),Business enterprise sector,Switzerland,23.33,:,:,23.33,:,27.01,:,25.67,:,29.7,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Cyprus,29.59,31.27,32.92,32.41,29.0,30.52,29.68,28.9,29.54,32.36,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Czechia,13.66,13.92,13.85,12.81,12.61,12.47,12.48,13.17,13.72,14.12,15.14,15.49 p
Annual,Percentage based on head count (HC),Business enterprise sector,Germany,:,14.08,:,14.72,:,14.71,:,14.84,:,15.63,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Denmark,27.87,26.6,:,24.47,:,27.61,:,25.55 p,:,:,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Euro area - 19 countries  (2015-2022),:,19.55 e,:,19.97 e,:,20.54 e,:,21.06 e,:,22.11 e,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Euro area – 20 countries (from 2023),:,19.58 e,:,20.01 e,:,20.57 e,:,21.08 e,:,22.14 e,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Estonia,30.21,30.06,29.89,27.95,26.6,25.14,27.96,27.05,26.8,24.95,22.31,:
Annual,Percentage based on head count (HC),Business enterprise sector,Greece,:,26.5,:,27.61,:,29.28,:,31.18,31.61,28.98,31.44,:
Annual,Percentage based on head count (HC),Business enterprise sector,Spain,29.37,30.43,30.62,30.67,30.45,30.92,30.96,31.61,31.24,31.06,30.59,:
Annual,Percentage based on head count (HC),Business enterprise sector,European Union - 27 countries (from 2020),:,20.04 e,:,20.22 e,:,21.04 e,:,21.42 e,:,22.43 e,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Finland,16.33,15.96,16.59,17.33,17.61,17.39,18.12,18.26,18.37,18.26 d,18.4 d,:
Annual,Percentage based on head count (HC),Business enterprise sector,France,19.82,19.86,20.0,:,20.47,21.32 p,:,:,22.4,22.86,22.6,:
Annual,Percentage based on head count (HC),Business enterprise sector,Croatia,42.9,39.09,42.19,42.15,36.4,35.58,35.61,32.1,31.99,30.52,32.34,:
Annual,Percentage based on head count (HC),Business enterprise sector,Hungary,19.16,17.89,17.67,18.08,17.73,17.79,17.68 b,17.61,17.27,18.46,18.45,:
Annual,Percentage based on head count (HC),Business enterprise sector,Ireland,:,22.62,:,24.06,:,25.33,:,27.33,:,24.49,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Iceland,:,33.96 b,:,:,:,35.82 u,35.82 u,:,:,35.28,34.82 u,:
Annual,Percentage based on head count (HC),Business enterprise sector,Italy,21.61,21.47,22.33,23.06,22.3 b,21.53,21.79,22.57,23.23,24.4,24.4,:
Annual,Percentage based on head count (HC),Business enterprise sector,Japan,8 d,8.1 d,8.13 d,8.56 d,9.06 d,9.61 d,9.99 d,10.19 d,10.95 d,11.56 d,12.22 d,:
Annual,Percentage based on head count (HC),Business enterprise sector,South Korea,13.19,13.77,14.2,14.85,15.5,15.95,16.29,16.92,17.47,18.44,19.19,:
Annual,Percentage based on head count (HC),Business enterprise sector,Lithuania,30.96,31.01,32.17,29.25,33.6,30.57,29.29,34.13,29.17,29.51,31.08,:
Annual,Percentage based on head count (HC),Business enterprise sector,Luxembourg,:,10.48,:,11.89,:,15.74,:,13.41,:,14.49,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Latvia,47.45,41.72,:,40.65,38.07,41.48,37.86,37.09,36.52,32.98,34.89,:
Annual,Percentage based on head count (HC),Business enterprise sector,Montenegro,:,35.29,36.59,36.44 d,:,32.76,35.29,41.77,:,:,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,North Macedonia,77.5,:,:,57.22,60.7,61.18,58.3,57.3,55.24,:,60.78,:
Annual,Percentage based on head count (HC),Business enterprise sector,Malta,26.66,26.45,23.04,20.97,22.26,24.87,25.75,28.19,25.27,23.08,23.45,:
Annual,Percentage based on head count (HC),Business enterprise sector,Netherlands,15.36 b,18.19 b,18.62,18.8,20.08,20.32,21.27,22.25,22.64,24.21,24.49 b,:
Annual,Percentage based on head count (HC),Business enterprise sector,Norway,22.17 u,22.67 u,23.52 u,22.81,23.12,23.91,24.3,23.43,23.47,22.85 bd,22.85 d,:
Annual,Percentage based on head count (HC),Business enterprise sector,Poland,19.69,20.19,19.47,20.28,22.65,24.67,23.82,23.73,23.22,24.1,23.8,:
Annual,Percentage based on head count (HC),Business enterprise sector,Portugal,32.95,35.03 b,32.01,31.15,29.26,29.83,28.49,28.54,29.24,30.19,29.76,:
Annual,Percentage based on head count (HC),Business enterprise sector,Romania,37.85,39.54,40.1,34.57,34.02,35.7,32.55,33.87,36.1,32.56,31.52,:
Annual,Percentage based on head count (HC),Business enterprise sector,Serbia,45.58,46.42,34.63,33.79,30.52,33.04,39.97,39.11,35.44,37.09,34.96,37.33
Annual,Percentage based on head count (HC),Business enterprise sector,Russia,38.14 e,37.44 e,36.7 e,36.39,:,35.46,34.65,34.47,:,:,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Sweden,:,23.12 b,:,21.55,:,22.15,:,23.93,:,25.18 b,:,:
Annual,Percentage based on head count (HC),Business enterprise sector,Slovenia,25.93,26.27,26.02,26.04,24.33,22.73,23.17,23.58,23.61,24.54,24.78,:
Annual,Percentage based on head count (HC),Business enterprise sector,Slovakia,20.98,20.15,18.48,17.65,15.36,17.0,15.92,15.93,16.42,16.47,16.98,:
Annual,Percentage based on head count (HC),Business enterprise sector,Türkiye,23.26,23.9,23.72,24.37,24.63,25.76,26.11,26.29,26.91,27.23,27.7,:
Annual,Percentage based on head count (HC),Business enterprise sector,United Kingdom,19.4,20.68,20.26,21.12,21.1,21.99,21.58,:,:,:,:,:
Annual,Percentage based on head count (HC),Government sector,Austria,:,45.74,:,46.49,:,40.97,:,42.18,:,43.04,:,:
Annual,Percentage based on head count (HC),Government sector,Bosnia and Herzegovina,22.39,29.9,34.78,:,:,:,:,50.94,30.77,63.57,:,:
Annual,Percentage based on head count (HC),Government sector,Belgium,35.84 b,36.47,36.72,37.21,36.36,36.57,35.78,35.49,36.06,36.13,:,:
Annual,Percentage based on head count (HC),Government sector,Bulgaria,55.17,56.87,58.4,55.67,58.51,57.77,56.65,55.98,56.92,57.33,57.5,:
Annual,Percentage based on head count (HC),Government sector,Switzerland,33.27,:,34.8 d,35.98,:,35.97,:,39.22,:,39.39,41.25,:
Annual,Percentage based on head count (HC),Government sector,Cyprus,48.51,51.06,56.32,55.93,57.95,59.16,58.46,58.29,58.95,59.73,:,:
Annual,Percentage based on head count (HC),Government sector,Czechia,39.0,39.62,38.12,38.84,40.2,40.76,39.97,40.24,40.47,40.68,41.7,41.78 p
Annual,Percentage based on head count (HC),Government sector,Germany,34.4,34.92,34.94 b,35.43 d,35.69 d,36.38 d,36.91 d,37.23 d,37.85 d,38.25 d,:,:
Annual,Percentage based on head count (HC),Government sector,Denmark,43.83,45.35,48.5,49.67,51.66,51.81,50.56,50.23 p,:,:,:,:
Annual,Percentage based on head count (HC),Government sector,Euro area - 19 countries  (2015-2022),41.15 e,41.39 e,41.36 e,41.99 e,42.32 e,42.47 e,42.91 e,43.42 e,43.87 e,44.48 e,45.29 e,:
Annual,Percentage based on head count (HC),Government sector,Euro area – 20 countries (from 2023),41.3 e,41.53 e,41.51 e,42.11 e,42.44 e,42.62 e,43.06 e,43.57 e,44.03 e,44.62 e,45.45 e,:
Annual,Percentage based on head count (HC),Government sector,Estonia,61.71,59.28,60.43,61.23,60.83,61.37,65.51,65.95,68.45,67.58,63.75,:
Annual,Percentage based on head count (HC),Government sector,Greece,:,49.88,:,42.97,:,41.64,:,41.22,42.17,42.23,43.2,:
Annual,Percentage based on head count (HC),Government sector,Spain,48.46,48.73,48.54,50.22,50.96,51.28,51.85,53.36,53.8,54.76,54.62,:
Annual,Percentage based on head count (HC),Government sector,European Union - 27 countries (from 2020),41.73 e,41.77 e,41.98 e,42.66 e,43.44 e,43.8 e,43.69 e,44.29 e,44.57 e,45.15 e,45.83 e,:
Annual,Percentage based on head count (HC),Government sector,Finland,44.2,44.36,43.91,44.19,41.27,43.31,42.96,42.49,43.7,43.9 d,44.22 d,:
Annual,Percentage based on head count (HC),Government sector,France,35.39 e,35.72 e,34.95 e,:,36.91,37.03 p,:,:,38.03,38.24,38.66,:
Annual,Percentage based on head count (HC),Government sector,Croatia,51.61 d,51.76 d,52.36 d,52.36 d,52.5 d,54.18 d,55.33 d,55.2 d,56.76 d,57.15,57.37,:
Annual,Percentage based on head count (HC),Government sector,Hungary,41.51,41.65,42.96,42.89,42.37,43.19,34.72 b,42.0,38.53,40.35,38.72,:
Annual,Percentage based on head count (HC),Government sector,Ireland,36.2,37.79,38.42,41.01,:,44.17,:,45.0,:,49.6,47.9,:
Annual,Percentage based on head count (HC),Government sector,Iceland,:,36.31 b,:,:,:,45.1,41.37,:,:,56.45,60.71 u,:
Annual,Percentage based on head count (HC),Government sector,Italy,45.91,46.5,46.89,47.62,47.67,47.84,48.31,48.81,49.26,49.76,50.38,:
Annual,Percentage based on head count (HC),Government sector,Japan,15.89 d,16.23 d,16.85 d,17.75 d,18.16 d,18.48 d,18.84 d,19.49 d,20.31 d,20.92 d,21.25 d,:
Annual,Percentage based on head count (HC),Government sector,South Korea,23.08,24.2,25.03,24.92,25.54,26.07,26.49,27.17,26.24,27.8,28.68,:
Annual,Percentage based on head count (HC),Government sector,Lithuania,51.18,51.36,52.7,51.06,51.34,52.48,51.79,49.89,50.43,50.74,50.66,:
Annual,Percentage based on head count (HC),Government sector,Luxembourg,37.53,39.09,38.98,39.82,:,37.39,:,37.83,:,37.97,:,:
Annual,Percentage based on head count (HC),Government sector,Latvia,57.78,55.19,56.75,57.97,57.99,55.47,57.91,55.49,55.02,57.39,57.21,:
Annual,Percentage based on head count (HC),Government sector,Montenegro,:,60.83,61.3,54.97 d,:,63.75,64.06,60.49,:,:,:,:
Annual,Percentage based on head count (HC),Government sector,North Macedonia,60.26,:,:,49.76,51.72,56.37,64.1,64.58,60.35,:,55.95,:
Annual,Percentage based on head count (HC),Government sector,Malta,30.3,32.0,33.33,26.47,30.3,21.88,34.38,29.41,48.28,54.29,59.13,:
Annual,Percentage based on head count (HC),Government sector,Netherlands,40.54 bd,39.81 bd,38.96 d,38.5 d,40.59 d,36.87 d,40.85 d,41.38 d,43.19 d,45.47 d,45.8 bd,:
Annual,Percentage based on head count (HC),Government sector,Norway,44.77,45.35,45.77,46.46,46.68,47.08,48.12,48.83,49.73,50.16,50.88,:
Annual,Percentage based on head count (HC),Government sector,Poland,41.6,42.2,41.86,41.82,58.19,53.44,53.68,59.48,55.95,55.47,53.78,:
Annual,Percentage based on head count (HC),Government sector,Portugal,60.83,59.28 b,58.65,58.94,60.9,60.33,61.08,60.49,60.72,60.88,61.41,:
Annual,Percentage based on head count (HC),Government sector,Romania,47.19,48.58,48.73,49.37,49.14,48.89,47.57,48.47,49.33,49.2,49.19,:
Annual,Percentage based on head count (HC),Government sector,Serbia,55.56,57.71,58.18,57.2,57.36,59.95,61.25,61.0,62.13,61.74,61.35,61.6
Annual,Percentage based on head count (HC),Government sector,Russia,44.36 e,44.24 e,44.36 e,43.99,:,43.16,42.75,44.02,:,:,:,:
Annual,Percentage based on head count (HC),Government sector,Sweden,:,34.5 be,:,45.57 e,:,52.44,:,49.43 e,:,49.82 b,:,:
Annual,Percentage based on head count (HC),Government sector,Slovenia,48.04,48.41,50.12,50.03,49.54,46.27,46.87,48.36,49.76,49.65,49.13,:
Annual,Percentage based on head count (HC),Government sector,Slovakia,46.84 d,47.2 d,48.73 d,49.48,48.85,49.16,50.28,51.0,51.53,51.39,51.29,:
Annual,Percentage based on head count (HC),Government sector,Türkiye,30.19,30.31,30.42,30.39,32.29,33.22,33.08,32.93,33.36,34.32,34.94,:
Annual,Percentage based on head count (HC),Government sector,United Kingdom,35.63,36.93,35.74,37.8,38.09,38.21,39.61,:,:,:,:,:
Annual,Percentage based on head count (HC),Higher education sector,Austria,:,39.7,:,39.93,:,40.79,:,41.7,:,42.85,:,:
Annual,Percentage based on head count (HC),Higher education sector,Bosnia and Herzegovina,35.96,36.51,44.24,:,:,:,:,49.55,46.17,48.21,:,:
Annual,Percentage based on head count (HC),Higher education sector,Belgium,40.63,40.96,40.46,41.59,41.75,42.07,42.43,42.47,43.04,43.42,:,:
Annual,Percentage based on head count (HC),Higher education sector,Bulgaria,45.62,47.98,48.75,51.71,51.87,52.41,52.39,53.91,53.88,54.92,54.42,:
Annual,Percentage based on head count (HC),Higher education sector,Switzerland,36.33,:,:,38.78,:,39.15 d,:,40.61 d,:,41.59 d,42.23 d,:
Annual,Percentage based on head count (HC),Higher education sector,Cyprus,38.0,38.84,37.85,37.57,37.62,38.37,38.37,38.69,39.0,39.22,:,:
Annual,Percentage based on head count (HC),Higher education sector,Czechia,34.19,35.57,34.86,35.17,34.4,34.46,34.69,35.26,35.71,35.57,36.04,36.89 p
Annual,Percentage based on head count (HC),Higher education sector,Germany,36.9,37.92,38.18,38.7,38.92 b,39.14,39.56,40.0,40.64,41.44 d,:,:
Annual,Percentage based on head count (HC),Higher education sector,Denmark,42.96,43.2,42.01,42.03,44.52,43.73,43.66,44.55 p,:,:,:,:
Annual,Percentage based on head count (HC),Higher education sector,Euro area - 19 countries  (2015-2022),39.61 e,39.98 e,40.28 e,40.86 e,41.41 e,41.76 e,42.18 e,42.66 e,42.98 e,43.5 e,:,:
Annual,Percentage based on head count (HC),Higher education sector,Euro area – 20 countries (from 2023),39.68 e,40.05 e,40.35 e,40.93 e,41.48 e,41.84 e,42.26 e,42.75 e,43.07 e,43.6 e,:,:
Annual,Percentage based on head count (HC),Higher education sector,Estonia,46.88,47.43,47.31,47.35,47.84,47.66,48.2,47.68,48.54,48.4,49.76,:
Annual,Percentage based on head count (HC),Higher education sector,Greece,:,38.93,:,37.73,:,40.07,:,41.24,40.32,41.7,43.45,:
Annual,Percentage based on head count (HC),Higher education sector,Spain,40.81,41.32,41.67,41.91,42.09,42.49,43.11,43.36,43.79,44.03,44.58,:
Annual,Percentage based on head count (HC),Higher education sector,European Union - 27 countries (from 2020),40.13 e,40.52 e,40.78 e,41.33 e,41.8 e,42.29 e,42.65 e,43.13 e,43.35 e,43.89 e,:,:
Annual,Percentage based on head count (HC),Higher education sector,Finland,47.31,46.81,47.59,47.73,48.45,48.68,49.19,49.78,50.13,49.98 d,50.05 d,:
Annual,Percentage based on head count (HC),Higher education sector,France,33.3 e,33.21 e,35.44 be,:,39.59,39.87 p,:,:,41.82,41.9,42.02,:
Annual,Percentage based on head count (HC),Higher education sector,Croatia,47.06,47.71,48.77,48.94,49.01,49.41,50.13,50.42,51.13,51.83,51.46,:
Annual,Percentage based on head count (HC),Higher education sector,Hungary,37.77,38.66,38.96,39.44,39.89,40.13,36.14 b,38.9,38.17,39.14,37.23,:
Annual,Percentage based on head count (HC),Higher education sector,Ireland,44.62,44.93,45.23,45.17,45.1,45.31,:,47.61,:,48.18 e,:,:
Annual,Percentage based on head count (HC),Higher education sector,Iceland,:,51.1 b,:,:,:,52.53,53.07,:,:,51.36,54.46 u,:
Annual,Percentage based on head count (HC),Higher education sector,Italy,39.91,40.3,40.33,40.83 e,41.05 e,41.24 e,41.43 e,41.76 e,41.69 e,42.01 e,42.35 e,:
Annual,Percentage based on head count (HC),Higher education sector,Japan,25.02 d,25.41 d,25.94 d,26.27 d,26.62 d,27.05 d,27.45 d,27.85 d,28.26 d,28.57 d,28.87 d,:
Annual,Percentage based on head count (HC),Higher education sector,South Korea,28.83,29.0,29.36,29.48,30.37,31.66,31.98,33.13,33.13,33.84,35.21,:
Annual,Percentage based on head count (HC),Higher education sector,Lithuania,55.63,54.76,55.38,55.48,55.77,54.95,55.4,54.8,56.05,55.74,56.43,:
Annual,Percentage based on head count (HC),Higher education sector,Luxembourg,37.85,38.29,39.2,38.14,:,37.1,:,36.22,:,36.82,:,:
