Time frequency,Unit of measure,Age class,Vehicles,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand,Total,Passenger cars,Algeria,1906.0,2043.0,2228.0,2462.0,2593.0,2691.0,2856.0,3050.0,3268.0,3483.0,3655.2,3872.7,3984.2,4151.0
Annual,Thousand,Total,Passenger cars,Israel,1652.0,1711.0,1805.0,1902.0,1971.0,2077.0,2188.0,2269.0,2362.0,2480.0,2607.0,2751.0,2881.3,3003.5
Annual,Thousand,Total,Passenger cars,Jordan,496.0 d,560.2 d,626.7 d,693.5 d,765.0 d,844.1 d,911.8 d,982.2 d,1007.0 d,1079.2 d,1148.6 d,1225.5 d,1295.6,1339.3
Annual,Thousand,Total,Passenger cars,Lebanon,:,:,1029.3,1101.5,1203.7,1367.1,1446.9,1479.7 e,1513.3 e,1547.6 e,:,:,:,:
Annual,Thousand,Total,Passenger cars,Libya,:,:,:,:,:,86.0,:,:,:,:,:,:,:,:
Annual,Thousand,Total,Passenger cars,Morocco,1477.3 de,1551.5 de,1642.3 de,1741.2 de,1864.8 de,1976.2 de,2083.7 de,2202.7 de,2314.8 de,2423.6 de,2531.8 dp,2670.6 dp,2808.8 dp,2950.1 dp
Annual,Thousand,Total,Passenger cars,Palestine*,104.8 d,90.2 d,59.8 d,74.7 d,100.4 d,143.5 d,110.0 d,176.8 d,115.7 d,131.0 d,143.1 d,167.0 d,190.5 d,221.0 d
Annual,Thousand,Total,Passenger cars,Tunisia,671.3,707.1,746.7,786.8,828.0,884.5,924.6,983.5,1038.1,1095.0,1153.2,1209.8,:,:
Annual,Thousand,Total,Lorries,Algeria,966.0,1010.0,1064.0,1141.0,1184.0,1217.0,1275.0,1332.0,1410.0,1480.3,1542.7,1592.0,1607.9,1626.2
Annual,Thousand,Total,Lorries,Egypt,668.2,705.5,724.8,761.0,832.1,866.3,906.7,942.8,985.5,1046.0,1136.0,1210.0,1259.0,:
Annual,Thousand,Total,Lorries,Israel,347.0,350.2,353.9,354.0,345.7,342.2,342.7,336.4,329.2,321.6,316.1,313.9,310.6,304.6
Annual,Thousand,Total,Lorries,Jordan,106.9 d,113.7 d,120.2 d,125.5 d,135.5 d,131.4 d,133.7 d,140.2 d,139.2 d,144.6 d,151.7 d,159.6 d,165.5,170.2
Annual,Thousand,Total,Lorries,Lebanon,:,:,:,121.3,135.4,124.4,133.5,110.6 e,91.6 e,75.9 e,:,:,:,:
Annual,Thousand,Total,Lorries,Palestine*,26.3 d,22.8 d,15.8 d,19.8 d,20.3 d,34.3 d,25.0 d,34.3 d,21.5 d,24.3 d,24.7 d,29.2 d,30.3 d,25.3 d
Annual,Thousand,Total,Lorries,Tunisia,299.6,310.6,322.3,334.2,348.2,364.3,378.8,398.2,415.2,436.4,457.1,481.3,:,:
Annual,Thousand,Total,Road tractors,Algeria,51.0,53.0,56.0,60.0,63.0,66.0,68.0,70.0,72.0,74.7,82.3,82.8,85.5,87.2
Annual,Thousand,Total,Road tractors,Israel,4.1,4.2,4.4,4.7,4.7,5.0,5.2,5.4,5.8,6.1,6.5,7.1,7.7,8.1
Annual,Thousand,Total,Road tractors,Jordan,12.6 d,14.4 d,15.3 d,19.1 d,21.8 d,19.4 d,20.4 d,22.6 d,20.5 d,21.1 d,21.3 d,21.7 d,21.9,22.0
Annual,Thousand,Total,Road tractors,Libya,:,:,:,:,:,41.0,:,:,:,:,:,:,:,:
Annual,Thousand,Total,Road tractors,Palestine*,2.5 d,2.0 d,0.1 d,0.8 d,0.6 d,1.9 d,1.2 d,1.8 d,1.4 d,1.0 d,1.0 d,1.0 d,1.0 d,1.0 d
Annual,Thousand,Total,Road tractors,Tunisia,10.7,11.0,11.6,12.2,13.0,14.1,14.8,16.2,16.9,17.6,18.2,18.6,:,:
