Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Third quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,86.6 i,81.4 i
Annual,Third quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,86.9 i,81.5 i
Annual,Third quintile,Percentage of disposable income,Estonia,72.3 i,77.5 i,69.9 i
Annual,Third quintile,Percentage of disposable income,Greece,128.2 i,118.1 i,101.5 i
Annual,Third quintile,Percentage of disposable income,Spain,95.1 i,91.7 i,76 i
Annual,Third quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,88 i,79.9 i
Annual,Third quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,86.4 i,79.9 i
Annual,Third quintile,Percentage of disposable income,Finland,83.5 i,86.2 i,:
Annual,Third quintile,Percentage of disposable income,France,80.8 i,73.8 i,78.7 i
Annual,Third quintile,Percentage of disposable income,Croatia,108.2 i,109.1 i,88.4 i
Annual,Third quintile,Percentage of disposable income,Hungary,90 i,91.7 i,83.3 i
Annual,Third quintile,Percentage of disposable income,Ireland,88.4 i,81.5 i,:
Annual,Third quintile,Percentage of disposable income,Lithuania,93.9 i,74.3 i,69.5 i
Annual,Third quintile,Percentage of disposable income,Luxembourg,78.4 i,80.6 i,80.4 i
Annual,Third quintile,Percentage of disposable income,Latvia,99.4 i,82.6 i,78 i
Annual,Third quintile,Percentage of disposable income,Malta,106.8 i,101.3 i,87.6 i
Annual,Third quintile,Percentage of disposable income,Netherlands,:,90.2 i,83.6 i
Annual,Third quintile,Percentage of disposable income,Poland,79.8 i,73.3 i,53.5 i
Annual,Third quintile,Percentage of disposable income,Portugal,99.4 i,90.4 i,:
Annual,Third quintile,Percentage of disposable income,Romania,109.3 i,108.6 i,104.1 i
Annual,Third quintile,Percentage of disposable income,Sweden,89.6 i,83.6 i,:
Annual,Third quintile,Percentage of disposable income,Slovenia,89.2 i,85.9 i,87 i
Annual,Third quintile,Percentage of disposable income,Slovakia,78.6 i,91.6 i,79.6 i
Annual,Third quintile,Percentage of disposable income,United Kingdom,88.7 e,97.6 i,:
Annual,Fourth quintile,Percentage of disposable income,Austria,85.4 i,76.9 i,75.9 i
Annual,Fourth quintile,Percentage of disposable income,Belgium,88.2 i,80.8 i,63.3 i
Annual,Fourth quintile,Percentage of disposable income,Bulgaria,54.5 e,74.4 i,62.2 i
Annual,Fourth quintile,Percentage of disposable income,Cyprus,100 i,96.4 i,82.6 i
Annual,Fourth quintile,Percentage of disposable income,Czechia,70.7 e,68 i,66 i
Annual,Fourth quintile,Percentage of disposable income,Germany,82.2 i,79.9 i,77.5 i
Annual,Fourth quintile,Percentage of disposable income,Denmark,92.8 i,69.9 i,62.3 i
Annual,Fourth quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,77.5 i,72.7 i
Annual,Fourth quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,77.7 i,72.8 i
Annual,Fourth quintile,Percentage of disposable income,Estonia,66.7 i,65.6 i,54 i
Annual,Fourth quintile,Percentage of disposable income,Greece,113.5 i,109.6 i,88.6 i
Annual,Fourth quintile,Percentage of disposable income,Spain,83.8 i,78.7 i,65.8 i
Annual,Fourth quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,77.8 i,70.7 i
Annual,Fourth quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,76.9 i,70.7 i
Annual,Fourth quintile,Percentage of disposable income,Finland,80.5 i,80.5 i,:
Annual,Fourth quintile,Percentage of disposable income,France,73.9 i,69.1 i,72.1 i
Annual,Fourth quintile,Percentage of disposable income,Croatia,92.4 i,92.5 i,80 i
Annual,Fourth quintile,Percentage of disposable income,Hungary,80.6 i,85.5 i,74.8 i
Annual,Fourth quintile,Percentage of disposable income,Ireland,80.2 i,74.6 i,:
Annual,Fourth quintile,Percentage of disposable income,Lithuania,77 i,63.3 i,51.8 i
Annual,Fourth quintile,Percentage of disposable income,Luxembourg,69.2 i,74 i,63.8 i
Annual,Fourth quintile,Percentage of disposable income,Latvia,85.4 i,69.9 i,72.4 i
Annual,Fourth quintile,Percentage of disposable income,Malta,92.3 i,87.5 i,74.4 i
Annual,Fourth quintile,Percentage of disposable income,Netherlands,:,73.4 i,68.3 i
Annual,Fourth quintile,Percentage of disposable income,Poland,71 i,65.7 i,47.2 i
Annual,Fourth quintile,Percentage of disposable income,Portugal,91.6 i,82.9 i,:
Annual,Fourth quintile,Percentage of disposable income,Romania,97 i,92 i,86 i
Annual,Fourth quintile,Percentage of disposable income,Sweden,80.6 i,69.3 i,:
Annual,Fourth quintile,Percentage of disposable income,Slovenia,79.8 i,77.5 i,78.2 i
Annual,Fourth quintile,Percentage of disposable income,Slovakia,70 i,78.7 i,71.3 i
Annual,Fourth quintile,Percentage of disposable income,United Kingdom,75.7 e,83.5 i,:
Annual,Fifth quintile,Percentage of disposable income,Austria,66.2 i,63.4 i,59.4 i
