Time frequency,National accounts indicator (ESA 2010),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Austria,52035.5,54666.0,56234.9,57899.6,59111.9,60624.4,61207.4,61793.1,62435.1,63169.7,63182.4,62830.4
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,66996.6,68831.7,70868.7,73439.2,75378.9,76219.0 p,76430.8 p,77333.6 p,77661.5 p,78565.0 p,78622.8 p,80150.9 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,10647.5,11385.3,11374.3,13332.2,13519.5,13216.0,13820.4,13739.1,13903.8,14529.1 p,14761.0 p,15043.3 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,90499.5,93559.1,95985.4,102932.5,102179.3,102498.5,104414.4,106854.3,108306.6,109841.0,107725.7,111121.2
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Cyprus,3622.6,4044.5,4226.4,4336.8,4422.5,4549.8,4570.9,4743.8,4838.2,4827.4,4890.8,4944.7
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Czechia,30616.6,33634.0,34712.5,35348.7,35666.4,37357.5,38032.1,37301.5,37356.4,37142.6,37405.7,37568.5
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Germany,483547.0 p,502163.0 p,511922.0 p,526243.0 p,531368.0 p,542680.0 p,551274.0 p,554072.0 p,558121.0 p,563158.0 p,564755.0 p,567806.0 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Denmark,42193.0,40672.6,41631.8,42323.9,42807.5,43457.2,43461.3,43468.0,44018.3,44285.4,44402.3,44563.1
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1680539.0,1723800.7,1775904.9,1827058.9,1857432.4,1899902.6,1928074.6,1949038.7,1960539.5,1981292.0,1989545.0,2008812.3
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Euro area - 19 countries  (2015-2022),1680539.0,1723800.7,1775904.9,1827058.9,1857432.4,1889339.7,1917026.3,1937524.1,1948971.3,1969487.8,1977484.2,1996627.7
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Euro area – 20 countries (from 2023),1689289.7,1733041.7,1785796.1,1837613.0,1867662.8,1899902.6,1928074.6,1949038.7,1960539.5,1981292.0,1989545.0,2008812.3
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Estonia,4239.2,4538.0,4731.5,4858.8,4955.1,5046.9,5131.2,5121.1,5198.8,5197.5,5198.1,5212.4
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Greece,33624.3,35342.1 p,36052.0 p,36452.0 p,37443.5 p,38082.9 p,38467.8 p,38731.3 p,39394.6 p,40012.2 p,40523.8 p,41073.6 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Spain,182142.0,187011.0 p,191902.0 p,197653.0 p,197931.0 p,202171.0 p,205682.0 p,209200.0 p,213397.0 p,217456.0 p,220692.0 p,223682.0 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),European Union - 27 countries (from 2020),1981638.8,2033360.9,2100070.8,2154775.2,2190797.1,2228700.8,2265620.2,2288177.9,2307500.6,2336843.6,2350404.6,2371592.5
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Finland,32110.0,32283.0,33630.0,34115.0,34477.0,34990.0,35417.0,35452.0,35451.0,35585.0,35366.0,35360.0
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),France,343976.0,345901.3,355486.4,362886.6,368686.7,377853.5,384764.1,390947.0,394061.1,397274.4,396815.8,399514.9
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Croatia,8838.1,9318.1,9914.8,10260.4,10374.0,10661.0 p,10994.6 p,11373.5 p,11619.5 p,11804.9 p,12007.8 p,12141.8 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Hungary,19922.7,20835.1,20871.1,20815.3,21380.5,23277.4 p,24680.7 p,24477.4 p,25017.8 p,25174.7 p,25549.4 p,25935.0 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Ireland,28482.1,29591.0,30862.4,32152.8,33115.7,33887.8,35335.5,36127.6,37032.6,37473.1,37812.4,37927.0
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Italy,270649.8,274737.4,287370.4,298374.5,303421.7,305594.9,308748.2,312556.1,308325.5,310134.3,311975.3,317114.1
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Lithuania,8482.3,8989.0,9417.0,9910.6,10169.1,10400.9,10326.2,10454.0,10622.0,10826.8,10744.3,10818.0
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Luxembourg,5701.8,5789.2,5862.8,5985.3,6058.4,6268.1,6404.5,6366.3,6508.0,6441.7 p,6592.9 p,6739.9 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Latvia,4772.7,5044.0,5274.6,5452.8,5682.5,5742.5,5785.3,5830.1,5856.1,5933.5,5995.9,6075.2
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Montenegro,948.6,1014.1,1083.2,1129.4,1177.5,1232.6,1242.9,1283.0,1326.5,1348.5,1398.5,1430.0 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),North Macedonia,2090.7,2141.7,2237.7,2346.5,2438.9,2443.9 p,2460.2 p,2538.1 p,2526.2 p,2554.8 e,2596.4 e,2637.9 e
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Malta,1830.2,1878.4,1980.0,2058.7,2126.7,2246.2,2365.9,2449.7,2524.5,2566.7,2606.1,2643.0
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Netherlands,99572.1,102804.4,108278.3,111218.3,115278.4,116828.9,117439.6,118001.9,119117.2,121196.6,121340.3,122995.8
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Norway,43367.3,42866.4,44609.3,45545.1,46528.5,42616.6,41151.9,42368.5,42213.7,42974.2,43296.6,:
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Poland,87336.1,91388.8,96590.7,96382.8,100467.4,101940.7,106798.0,111057.3,113345.7,118031.0,120498.7,122162.8
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Portugal,35957.2,37296.0,38212.9,39347.6,40358.8,40939.3 e,41028.6 e,41277.5 e,41954.3 e,42575.7 e,43260.0 e,44020.1 e
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Romania,39479.3,40822.0,44003.1,45865.3,47390.3,48756.9 p,49710.5 p,50279.3 p,51926.0 p,53947.9 p,55780.6 p,55718.6 p
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Serbia,9359.2,9730.2,10278.6,10620.4,10985.8,11302.9,11570.3,11965.1,12170.4,12449.0,12752.4,13085.0
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Sweden,62633.7,61155.8,63997.5,63461.0,62880.2,61072.2,60796.6,59574.8,61534.4,63171.1,62307.0,62873.6
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Slovenia,7209.3,7199.3,7759.2,7899.0,8092.7,8215.6,8321.0,8418.8,8487.4,8532.3,8578.3,8589.8
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Slovakia,15266.5,15899.9,16699.1,17205.0,17933.6,17645.9,17950.1,18280.9,18450.5,18697.5,18898.5,19131.3
Quarterly,Household and NPISH final consumption expenditure,Seasonally and calendar adjusted data,Million euro (SCA),Türkiye,96275.6,103693.4,122174.4,125263.1,139687.3,153467.8,157066.1,143815.0,158248.0,165739.2,178627.0,181831.5
