Time frequency,Unit of measure,Activity and employment status,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Austria,8.3
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Belgium,15.4
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Bulgaria,4.1 u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Switzerland,8.7
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Cyprus,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Czechia,12.7
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Germany,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Denmark,9.1
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Euro area - 19 countries  (2015-2022),4.3
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Estonia,8.3
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Greece,6.3
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Spain,0.5 u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,European Union - 27 countries (from 2020),5.5
Annual,Percentage,Employed persons,From 55 to 69 years,Females,European Union - 28 countries (2013-2020),6.7
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Finland,18.5
Annual,Percentage,Employed persons,From 55 to 69 years,Females,France,6.1
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Hungary,4.4
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Iceland,8.9
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Italy,3.3
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Lithuania,6.5 u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Luxembourg,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Latvia,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Malta,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Netherlands,13.9
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Norway,4.3
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Poland,14.5
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Portugal,8.2
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Romania,4.3
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Sweden,10.7
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Slovenia,4.1 u
Annual,Percentage,Employed persons,From 55 to 69 years,Females,Slovakia,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Austria,4.8
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Belgium,11.0
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Bulgaria,3.5 u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Switzerland,9.5
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Cyprus,3.6 u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Czechia,6.8
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Germany,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Denmark,10.2
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Euro area - 19 countries  (2015-2022),4.5
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Estonia,5.2 u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Greece,5.3
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Spain,1.0
Annual,Percentage,Employed persons,From 55 to 69 years,Males,European Union - 27 countries (from 2020),5.3
Annual,Percentage,Employed persons,From 55 to 69 years,Males,European Union - 28 countries (2013-2020),6.2
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Finland,16.4
Annual,Percentage,Employed persons,From 55 to 69 years,Males,France,5.4
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Hungary,4.4
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Iceland,6.0
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Italy,3.7
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Lithuania,7.0 u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Luxembourg,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Latvia,: @C
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Malta,17.1
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Netherlands,19.2
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Norway,6.0
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Poland,9.4
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Portugal,10.7
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Romania,3.2
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Sweden,17.5
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Slovenia,4.3 u
Annual,Percentage,Employed persons,From 55 to 69 years,Males,Slovakia,: u
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Austria,6.2
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Belgium,12.8
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Bulgaria,3.8
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Switzerland,9.1
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Cyprus,3.1
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Czechia,9.2
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Germany,0.8
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Denmark,9.7
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Euro area - 19 countries  (2015-2022),4.4
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Estonia,6.9
Annual,Percentage,Employed persons,From 55 to 69 years,Total,Greece,5.7
