Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Early childhood education,Rate,Austria,:,:,8.6,8.4,:,8.3,7.9,7.8,7.6,7.3
Annual,Early childhood education,Rate,Belgium,:,:,:,14.8 d,:,:,:,:,:,:
Annual,Early childhood education,Rate,Bulgaria,:,:,12.7,12.3,:,12.3,12.1,11.6,11.9,11.5
Annual,Early childhood education,Rate,Czechia,:,:,12.9,12.7,:,11.9,11.7,11.0,10.5,10.4
Annual,Early childhood education,Rate,Germany,:,:,7.2,7.1,7.0,6.8,6.8,6.7,6.5,6.5
Annual,Early childhood education,Rate,Denmark,:,:,:,:,:,5.0,4.8,4.8,4.6,4.6
Annual,Early childhood education,Rate,France,16.4 d,16.2 d,16.2 d,16.0 d,15.5 d,15.5 d,15.0 d,14.4 d,13.6 d,13.3 d
Annual,Early childhood education,Rate,Hungary,:,:,12.4,12.3,:,12.4,12.7,13.0,12.7,12.6
Annual,Early childhood education,Rate,Ireland,:,:,:,:,:,3.9,3.7 d,3.3,3.8,2.7
Annual,Early childhood education,Rate,Iceland,:,:,4.5,4.3,:,4.2,4.1,3.9,3.7,3.6
Annual,Early childhood education,Rate,Italy,:,:,13.2,12.9,:,12.2,12.0,11.8,11.2,11.1
Annual,Early childhood education,Rate,Liechtenstein,:,:,:,:,10.3,11.4,10.6,10.4,10.1,10.4
Annual,Early childhood education,Rate,Lithuania,:,:,7.0,6.8,:,6.7,6.3,6.2,6.0,5.8
Annual,Early childhood education,Rate,Luxembourg,:,:,10.8,11.5,:,12.1,11.8,11.6,9.2,8.6
Annual,Early childhood education,Rate,North Macedonia,:,:,10.7,11.5,:,7.4,5.7,4.0,4.5,5.1
Annual,Early childhood education,Rate,Malta,8.4,8.0,7.5 d,7.1 d,6.9 d,6.8 d,6.5 d,6.3 d,5.9 d,:
Annual,Early childhood education,Rate,Netherlands,:,:,14.1,14.3,:,14.0,14.0,13.1,13.1,12.5
Annual,Early childhood education,Rate,Norway,:,:,5.2,4.6,:,4.5,4.3,3.7,3.6,3.7
Annual,Early childhood education,Rate,Romania,:,:,14.9,14.5,:,14.6,14.7,14.6,13.8,13.8
Annual,Early childhood education,Rate,Sweden,:,:,6.1,6.0,:,5.8,5.8,5.9,5.9,5.8
Annual,Early childhood education,Rate,Slovenia,8.1 d,8.1 d,8.1 d,8.0,8.0 d,7.8 d,7.8,7.7,7.4,7.0
Annual,Early childhood education,Rate,Slovakia,:,:,12.2,11.9,:,11.6,11.4,11.2,11.0,10.8
Annual,Early childhood education,Rate,United Kingdom,:,:,:,7.0,:,3.8 bd,3.7 d,:,:,:
Annual,Early childhood educational development,Rate,Austria,:,:,6.4,6.5,:,6.4,6.1,6.0,5.3,5.3
Annual,Early childhood educational development,Rate,Belgium,:,:,:,:,:,:,:,:,:,: m
Annual,Early childhood educational development,Rate,Bulgaria,:,:,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Switzerland,: m,: m,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Czechia,:,:,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Germany,:,:,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2
Annual,Early childhood educational development,Rate,Denmark,:,:,:,:,:,3.4,3.3,3.3,3.1,3.1
Annual,Early childhood educational development,Rate,France,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Hungary,:,:,10.0,9.8,:,13.9,14.7,13.6,12.5,11.4
Annual,Early childhood educational development,Rate,Ireland,:,:,: m,: m,:,: d,: d,: d,: d,: d
Annual,Early childhood educational development,Rate,Iceland,:,:,3.2,3.2,:,3.0,2.9,2.8,2.7,2.8
Annual,Early childhood educational development,Rate,Italy,:,:,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Lithuania,:,:,6.9,6.6,:,6.5,6.1,6.0,6.5,6.2
Annual,Early childhood educational development,Rate,Luxembourg,:,:,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Montenegro,:,:,:,: d,:,:,:,:,:,:
Annual,Early childhood educational development,Rate,North Macedonia,:,:,: d,: d,:,: d,: d,: d,: d,: d
Annual,Early childhood educational development,Rate,Malta,: m,: m,:,:,:,:,:,:,:,:
Annual,Early childhood educational development,Rate,Netherlands,:,:,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Norway,:,:,3.7,3.3,:,3.3,3.1,2.6,2.6,2.6
Annual,Early childhood educational development,Rate,Poland,:,:,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,Romania,:,:,10.3,11.1,:,22.2,21.2,21.2,16.5,19.1
Annual,Early childhood educational development,Rate,Sweden,:,:,5.3,5.2,:,5.1,5.1,5.2,5.1,5.1
Annual,Early childhood educational development,Rate,Slovenia,6.2 d,6.1 d,6.1 d,6.0,6.1 d,5.7 d,5.4,5.4,5.2,4.8
Annual,Early childhood educational development,Rate,Slovakia,:,:,: m,: m,:,: m,: m,: m,: m,: m
Annual,Early childhood educational development,Rate,United Kingdom,:,:,:,2.3,:,2.7 bd,2.7 d,:,:,:
Annual,Pre-primary education,Rate,Austria,:,:,9.1,9.0,:,8.9,8.5,8.4,8.4,7.9
Annual,Pre-primary education,Rate,Belgium,:,:,: d,14.8 d,:,14.5,14.0,13.8,13.4,:
Annual,Pre-primary education,Rate,Bulgaria,:,:,12.7,12.3,:,12.3,12.1,11.6,11.9,11.5
Annual,Pre-primary education,Rate,Czechia,:,:,: d,12.7 d,:,11.9 d,11.7,11.0,10.5,10.4
Annual,Pre-primary education,Rate,Germany,:,:,8.9 d,8.8 d,8.7 d,8.5 d,8.5 d,8.3 d,8.1 d,8.0 d
Annual,Pre-primary education,Rate,Denmark,:,:,:,:,:,6.8,6.6,6.6,6.2,6.3
Annual,Pre-primary education,Rate,Greece,11.9,:,:,10.7,10.4,10.2,10.1,9.9,9.6,9.1
Annual,Pre-primary education,Rate,France,16.4 d,16.2 d,16.2 d,16.0 d,15.5 d,15.5 d,15.0 d,14.4 d,13.6 d,13.3 d
Annual,Pre-primary education,Rate,Hungary,11.2 d,13.0,12.5,12.4,:,12.4,12.7,13.0,12.7,12.6
Annual,Pre-primary education,Rate,Ireland,:,:,:,:,:,: d,: d,: d,: d,: d
Annual,Pre-primary education,Rate,Iceland,:,:,5.4,5.2,:,5.1,5.0,4.8,4.5,4.4
Annual,Pre-primary education,Rate,Italy,:,:,13.2,12.9,:,12.2,12.0,11.8,11.2,11.1
Annual,Pre-primary education,Rate,Liechtenstein,:,:,11.2,10.8,10.3,11.4,10.6,10.4,10.1,10.4
Annual,Pre-primary education,Rate,Lithuania,:,:,7.0,6.9,:,6.7,6.4,6.2,5.9,5.7
Annual,Pre-primary education,Rate,Luxembourg,:,:,10.8,11.5,:,12.1,11.8,11.6,9.2,8.6
Annual,Pre-primary education,Rate,Montenegro,:,:,:,: d,:,:,:,:,:,:
Annual,Pre-primary education,Rate,North Macedonia,:,:,: d,: d,:,: d,: d,3.3,: d,: d
Annual,Pre-primary education,Rate,Malta,8.4,8.0,7.5,7.1,6.9,6.8,6.5,6.3,5.9,5.6
Annual,Pre-primary education,Rate,Netherlands,:,:,14.1,14.3,:,14.0,14.0,13.1,13.1,12.5
Annual,Pre-primary education,Rate,Norway,:,:,6.6,5.9,:,5.6,5.5,4.7,4.7,4.7
Annual,Pre-primary education,Rate,Portugal,16.6 d,17.3 d,17.4 d,17.2 d,16.8 d,15.9 d,:,:,:,:
Annual,Pre-primary education,Rate,Romania,15.6,:,15.1,14.6,:,14.4,14.6,14.4,13.8,13.6
Annual,Pre-primary education,Rate,Sweden,:,:,6.4,6.4,:,6.1,6.1,6.2,6.2,6.1
Annual,Pre-primary education,Rate,Slovenia,9.4 d,9.3 d,9.3 d,9.3,9.1 d,9.3 d,9.7,9.5,9.2,8.8
Annual,Pre-primary education,Rate,Slovakia,:,:,12.2,11.9,:,11.6,11.4,11.2,11.0,10.8
Annual,Pre-primary education,Rate,United Kingdom,:,:,: d,10.8,:,4.7 bd,4.6 d,:,:,:
Annual,Primary education,Rate,Belgium,:,:,: d,12.8 d,:,12.8,12.7,12.5,12.1,:
Annual,Primary education,Rate,Bulgaria,:,:,17.7,17.6,:,13.7,12.4,11.1,10.3,10.0
Annual,Primary education,Rate,Czechia,:,:,: d,17.8 d,:,16.9 d,16.1,15.3,14.9,14.6
Annual,Primary education,Rate,Germany,:,:,15.4,15.3,15.4,:,:,:,:,:
Annual,Primary education,Rate,Denmark,:,:,12.3,12.0,12.0,11.9,11.9,12.1,11.9,12.0
Annual,Primary education,Rate,Greece,9.5,:,:,:,:,9.2,8.7,8.4,8.0,7.9
Annual,Primary education,Rate,Finland,:,:,10.7,10.8,:,10.9,10.8,10.1,10.1,9.5
Annual,Primary education,Rate,France,19.1 d,19.0 d,19.1 d,19.0 d,18.6 d,18.0 d,17.2 d,16.5 d,16.2 d,16.1 d
Annual,Primary education,Rate,Hungary,10.6 d,11.5,11.2,11.0,:,10.2,10.0,10.0,10.3,10.5
Annual,Primary education,Rate,Ireland,:,:,:,:,:,:,:,:,10.7,10.1
Annual,Primary education,Rate,Iceland,:,:,9.2,9.3,:,9.2,8.9,8.7,8.5,8.2
Annual,Primary education,Rate,Italy,:,:,12.4,11.6,:,11.5,11.4,11.2,11.0,10.8
Annual,Primary education,Rate,Liechtenstein,:,:,10.5,10.4,10.6,10.5,10.2,9.8,9.6,9.6
Annual,Primary education,Rate,Lithuania,:,:,9.9,10.1,:,10.6,13.3,12.9,12.5,12.4
Annual,Primary education,Rate,Luxembourg,:,:,10.7,10.5,:,9.0,9.0,10.0,9.0,8.0
Annual,Primary education,Rate,Montenegro,:,:,:,: d,:,:,:,:,:,:
Annual,Primary education,Rate,North Macedonia,:,:,14.7,14.6,:,15.0,14.8,14.8,14.7,14.1
Annual,Primary education,Rate,Malta,8.6,7.8,7.7,7.4,13.0,7.1,6.9,6.7,6.7,6.5
Annual,Primary education,Rate,Netherlands,:,:,14.2,14.4,:,14.0,14.0,13.3,13.1,12.4
Annual,Primary education,Rate,Norway,:,:,8.9,:,:,8.6,8.8,8.3,8.2,8.1
Annual,Primary education,Rate,Romania,: d,:,18.6,19.0,:,19.0,19.0,18.6,18.2,17.9
Annual,Primary education,Rate,Serbia,:,:,:,:,:,:,:,14.9 d,:,:
Annual,Primary education,Rate,Sweden,:,:,11.5,11.3,:,11.1,10.6,10.5,10.4,10.2
Annual,Primary education,Rate,Slovenia,11.9,12.0,12.0,14.3,14.4,10.3 d,10.6 d,10.3 d,10.3 d,10.3 d
Annual,Primary education,Rate,Slovakia,:,:,: d,14.3 d,:,14.6,13.4,12.9,12.4,9.7
Annual,Primary education,Rate,Türkiye,:,:,18.4,17.7,:,17.2,17.5,17.1,17.4,17.5
Annual,Primary education,Rate,United Kingdom,:,:,10.5 d,9.8,:,10.8,10.8,:,:,:
Annual,Primary and secondary education (levels 1-3),Rate,Belgium,:,:,: d,10.7 d,:,10.6,10.6,10.4,9.3,:
Annual,Primary and secondary education (levels 1-3),Rate,Bulgaria,:,:,13.9,13.9,:,12.7 b,12.1,11.4,11.0,10.9
Annual,Primary and secondary education (levels 1-3),Rate,Czechia,:,:,: d,13.1 d,:,12.9 d,12.3,11.9,11.7,11.6
Annual,Primary and secondary education (levels 1-3),Rate,Germany,:,:,13.8,13.7,13.7,:,:,:,:,:
Annual,Primary and secondary education (levels 1-3),Rate,Denmark,:,:,12.0,11.6,11.5,11.5,11.5,11.9,11.8,11.9
Annual,Primary and secondary education (levels 1-3),Rate,Greece,8.5,:,:,:,:,8.9,8.7,8.5,8.2,8.3
Annual,Primary and secondary education (levels 1-3),Rate,Finland,:,:,11.5,11.7,:,12.0,11.4,10.8,10.8,10.6
Annual,Primary and secondary education (levels 1-3),Rate,France,14.7 d,14.7 d,14.7 d,14.8 d,14.6 d,14.3 d,14.1 d,13.8 d,13.6 d,13.6 d
Annual,Primary and secondary education (levels 1-3),Rate,Hungary,11.1 d,11.6,11.1,10.8,:,11.0,10.9,10.9,10.6,10.8
Annual,Primary and secondary education (levels 1-3),Rate,Ireland,:,:,:,:,:,:,:,:,11.0 d,10.6 d
Annual,Primary and secondary education (levels 1-3),Rate,Italy,:,:,11.8,8.1,:,10.7 d,10.6 d,10.4 d,10.3 d,10.1 d
Annual,Primary and secondary education (levels 1-3),Rate,Liechtenstein,:,:,9.1,9.0,9.2,9.1,9.2,9.1,9.0,8.8
Annual,Primary and secondary education (levels 1-3),Rate,Lithuania,:,:,8.0,8.0,:,8.4,10.4,10.4,10.3,10.6
Annual,Primary and secondary education (levels 1-3),Rate,Luxembourg,:,:,10.8,10.0 d,:,9.3,: d,9.2 d,9.3,8.5
Annual,Primary and secondary education (levels 1-3),Rate,Montenegro,:,:,:,12.2 d,:,:,:,:,:,:
Annual,Primary and secondary education (levels 1-3),Rate,North Macedonia,:,:,11.8,11.4 d,:,11.0,10.9,10.8,10.8,10.5
Annual,Primary and secondary education (levels 1-3),Rate,Malta,7.2,6.8,6.8,6.4,7.5,6.1,5.9,5.8,5.6,5.6
Annual,Primary and secondary education (levels 1-3),Rate,Netherlands,:,:,14.4,14.4,:,14.2,14.2,13.8,13.6,13.0
Annual,Primary and secondary education (levels 1-3),Rate,Norway,:,:,9.0,:,:,8.6,9.0,8.3,8.1,8.0
Annual,Primary and secondary education (levels 1-3),Rate,Romania,14.0 d,:,13.2,13.3,:,13.1,13.0,12.9,12.7,12.6
Annual,Primary and secondary education (levels 1-3),Rate,Serbia,:,:,:,:,:,:,:,: d,:,:
Annual,Primary and secondary education (levels 1-3),Rate,Sweden,:,:,11.9,11.5,:,11.0,10.6,10.6,10.6,10.6
Annual,Primary and secondary education (levels 1-3),Rate,Slovenia,11.3,11.4,11.4,11.2,11.2,11.2 d,11.4 d,: d,11.0 d,11.1 d
Annual,Primary and secondary education (levels 1-3),Rate,Slovakia,:,:,13.0 d,13.3 d,:,13.4,13.1,12.9,12.8,12.4
Annual,Primary and secondary education (levels 1-3),Rate,Türkiye,:,:,16.4,15.1,:,15.0,14.6,14.1,14.4,14.4
Annual,Primary and secondary education (levels 1-3),Rate,United Kingdom,:,:,12.0 d,14.5,:,12.2 d,12.3 d,:,:,:
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Belgium,:,:,: d,11.3 d,:,11.3,11.2,11.0,10.7,:
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Bulgaria,:,:,15.1,15.1,:,12.6 b,11.9,11.0,10.4,10.3
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Czechia,:,:,: d,14.6 d,:,14.1 d,13.7,13.2,12.9,12.7
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Germany,:,:,14.0,13.9,14.0,:,:,:,:,:
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Denmark,:,:,11.9,11.7,11.6,11.5,11.5,11.7,11.5,11.6
Annual,Primary and lower secondary education (levels 1 and 2),Rate,Greece,8.6,:,:,:,:,8.7,8.4,8.2,8.0,8.0
