Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Million euro,Austria,1466.7,1535.4,1562.6,1441.9,1304.6,1217.8,1246.6,1228.3,692.6 b,690.3,763.0,1202 b,1384.2,1457.3,:,:
Annual,Million euro,Belgium,:,:,:,:,:,:,:,:,2110.4,2079.7,2082.6,2451.9,2828.9,2748.5,:,:
Annual,Million euro,Bulgaria,311.2,323.6,427.4,278.8,278.9,261.7,211.5,380.2,833 be,941.8 e,282.1 e,235.2 e,255.1 e,232.5 e,:,:
Annual,Million euro,Switzerland,1366.9 e,1347.1 e,1384.2 be,1394.4,1647.2 e,1830.6 e,1836.6 e,1890.9,1887.6 e,2123.5 e,2102.0,2043.2 e,1933.7,2111.6 ep,2209.3 p,:
Annual,Million euro,Cyprus,:,:,:,:,169.0,130.9,117.1,114.5,43.9,76.2,58.1,61.7,33.4,101.8,:,:
Annual,Million euro,Czechia,:,:,:,:,:,:,1516.3,1405.2,1569.6,1911.4,1134.1,1369.2,1611.3,1621.9,:,:
Annual,Million euro,Germany,:,:,:,:,10279.5 e,11415.3 e,11700.8 e,11331.4 e,12079.8 e,11314 e,11730 e,12142 e,13449.6 e,13977.8 e,:,:
Annual,Million euro,Denmark,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:
Annual,Million euro,Estonia,: @C,:,:,:,: @C,:,:,:,231.6,234.3,104.1,129.8,182.7,111.2,:,:
Annual,Million euro,Greece,:,:,:,:,:,:,:,:,767.4,685.3,383.6,276.2,381.3,363.1 p,:,:
Annual,Million euro,Spain,:,:,:,:,4677.3,3157.3,2780.9,2309.6,2235.3,2369.6,2219.1,2427.4,2633.5,2831.2,2603.3,:
Annual,Million euro,European Union - 27 countries (from 2020),53678.3 i,54907.6 i,56887.1 i,54751.8 i,53915.3 i,53144.4 i,53823.3 i,52389.7 i,53252 i,56456.5 i,47334 i,49741.4 i,55289.8 i,58680.8 i,59654 i,59208.1 i
