Time frequency,Activity and employment status,Country of citizenship,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Austria,8.1,8.2,7.0,7.1,6.9,5.7,5.6,5.3,5.5,6.20 b,5.6,5.3
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,: bu,: u,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Belgium,6.9,6.1,7.4,8.0,8.2,7.20 b,7.4,6.8,8.3,7.20 b,6.1,8.2
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Bulgaria,:,:,:,:,:,:,:,:,:,:,: u,: u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Switzerland,4.4,4.8,4.7,4.1,4.7,5.0,4.8,5.1,4.7,6.10 b,7.5,7.5
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Cyprus,4.90 u,6.60 u,11.2,8.80 u,6.40 u,8.1,8.6,7.1,8.0,7.20 b,6.00 u,5.60 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Czechia,13.90 u,13.70 u,7.70 u,5.50 u,5.00 u,5.10 u,8.00 u,12.3,9.80 u,8.40 bu,8.00 u,10.8
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Germany,7.60 b,7.4,6.4,5.6,4.9,4.8,4.9,4.5,4.60 b,3.50 b,4.2,3.7
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Denmark,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: bu,: u,8.50 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Euro area – 20 countries (from 2023),7.4,7.5,6.9,6.8,6.1,5.8,6.1,6.5,6.9,6.30 b,6.7,6.0
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Estonia,: u,: u,: u,: u,:,: u,: u,: u,: u,:,:,:
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Greece,6.50 u,8.00 u,7.40 u,6.50 u,7.40 u,9.50 u,: u,7.90 u,13.80 u,14.00 bu,: u,19.10 u
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Spain,9.2,8.4,7.9,9.7,7.0,6.9,8.9,11.5,10.7,10.50 bd,11.80 d,9.80 d
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,European Union - 27 countries (from 2020),7.4,7.4,6.8,6.7,6.1,5.8,6.0,6.4,6.8,6.30 b,6.6,6.1
Annual,Self-employed persons without employees (own-account workers),EU27 countries (from 2020) except reporting country,From 15 to 64 years,Percentage,Females,Finland,: u,: u,: u,: u,: u,: u,: u,: u,: u,9.80 bu,: u,: u
