Time frequency,Direction of flow,Unit of measure\Time,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024
Quarterly,Inwards,Growth rate on previous period (t/t-1),:,2.0,-0.2,1.3,-0.9,3.0,1.3,3.0,-3.3,3.8,1.1,1.2,-1.2,2.6,-2.1,-5.4,-9.8,-4.0,3.1,0.5,0.6,5.3,0.7,-0.1,-1.8,5.4,-1.4,-2.9,-0.4,0.7,-1.2,-1.7,0.2,1.4,-0.4,-1.2,-0.3,3.5,0.4,-0.1,-0.5,0.7,1.1,-1.3,-0.2,1.3,1.4,-0.4,0.6,2.1,1.4,-0.3,-0.4,2.2,1.5,1.5,-0.4,2.3,-3.6,-2.2,-2.8,-5.5,0.9,1.6,-0.1,5.7,2.0,0.5,-0.9,7.2,-2.7,-1.7,-2.1,0.4,-2.1,-0.6,-2.8
Quarterly,Inwards,Rolling 4-quarter growth rate,:,:,:,:,:,:,:,4.1,4.5,4.9,4.8,3.9,4.2,3.9,2.9,0.7,-4.0,-9.9,-13.9,-15.0,-11.8,-4.7,1.4,5.9,6.9,5.5,4.2,2.3,1.5,-0.5,-2.0,-2.4,-3.0,-2.4,-1.6,-1.0,-0.6,0.1,0.8,1.6,2.6,2.3,2.0,1.1,0.4,0.5,0.6,1.1,1.8,2.5,3.1,3.5,3.5,3.3,3.1,3.4,3.9,4.4,3.5,1.3,-1.5,-6.1,-8.3,-8.8,-8.1,-2.8,2.0,5.6,8.3,8.5,7.1,5.4,3.7,-0.1,-2.5,-4.0,-5.2
Quarterly,Inwards,Growth rate on the same quarter in previous year,:,:,:,:,2.1,3.2,4.7,6.4,3.8,4.6,4.4,2.7,4.9,3.7,0.5,-6.1,-14.2,-19.7,-15.4,-10.2,0.2,9.9,7.3,6.6,4.0,4.1,2.0,-0.8,0.7,-3.8,-3.7,-2.6,-2.0,-1.4,-0.6,0.0,-0.6,1.5,2.3,3.4,3.2,0.4,1.1,-0.1,0.2,0.9,1.2,2.1,2.9,3.7,3.7,3.8,2.8,2.9,3.0,4.9,4.8,4.9,-0.3,-4.0,-6.4,-13.5,-9.4,-5.9,-3.2,8.3,9.5,8.2,7.4,8.9,3.9,1.6,0.3,-6.0,-5.5,-4.4,-5.0
Quarterly,Inwards,Thousand tonnes,475794.0,485289.0,484392.0,490562.0,485994.0,500592.0,506944.0,521983.0,504651.0,523831.0,529492.0,536063.0,529450.0,543376.0,531951.0,503473.0,454290.0,436233.0,449816.0,452142.0,455019.0,479293.0,482511.0,482106.0,473376.0,499077.0,492235.0,478159.0,476470.0,480035.0,474162.0,465900.0,466922.0,473342.0,471342.0,465881.0,464281.0,480319.0,482072.0,481528.0,479193.0,482309.0,487431.0,481109.0,480227.0,486599.0,493315.0,491332.0,494064.0,504365.0,511342.0,510061.0,508047.0,519184.0,526764.0,534923.0,532531.0,544591.0,525054.0,513304.0,498684.0,471279.0,475442.0,483242.0,482880.0,510343.0,520517.0,523005.0,518374.0,555732.0,540868.0,531468.0,520050.0,522150.0,511133.0,508321.0,494197.0
Quarterly,Inwards,Sum of the last 4 quarters (in thousand tonnes),:,:,:,1936036.0,1946236.0,1961540.0,1984092.0,2015513.0,2034170.0,2057409.0,2079957.0,2094036.0,2118836.0,2138381.0,2140840.0,2108250.0,2033090.0,1925947.0,1843812.0,1792481.0,1793210.0,1836270.0,1868965.0,1898929.0,1917286.0,1937071.0,1946795.0,1942848.0,1945941.0,1926899.0,1908826.0,1896567.0,1887019.0,1880327.0,1877506.0,1877487.0,1874846.0,1881822.0,1892552.0,1908199.0,1923111.0,1925102.0,1930461.0,1930043.0,1931077.0,1935366.0,1941250.0,1951472.0,1965309.0,1983075.0,2001102.0,2019831.0,2033814.0,2048633.0,2064056.0,2088918.0,2113402.0,2138809.0,2137099.0,2115481.0,2081634.0,2008322.0,1958710.0,1928647.0,1912843.0,1951907.0,1996981.0,2036744.0,2072238.0,2117628.0,2137979.0,2146442.0,2148118.0,2114536.0,2084802.0,2061655.0,2035801.0
Quarterly,Outwards,Growth rate on previous period (t/t-1),:,6.7,-0.1,2.6,-2.9,4.8,-2.3,-0.1,2.1,2.3,-1.7,-0.5,0.5,4.1,-3.3,-6.3,-5.3,5.6,-1.1,-0.1,0.9,8.0,-1.0,0.7,1.3,2.8,-1.5,2.4,-0.3,2.6,-1.7,-1.1,0.8,4.3,-2.3,-1.0,2.0,2.2,-0.9,2.0,1.2,3.7,-4.6,0.8,-0.9,5.2,-2.0,-0.3,-0.5,2.7,1.7,-0.4,-1.8,5.3,-0.7,-0.7,-3.9,5.5,-3.9,0.6,-3.8,-5.7,2.1,6.7,-3.1,0.7,0.8,0.1,-6.1,4.8,-2.3,-2.2,-2.4,1.7,-1.1,1.9,-2.6
Quarterly,Outwards,Rolling 4-quarter growth rate,:,:,:,:,:,:,:,2.8,2.5,1.9,2.1,2.8,1.9,1.9,1.4,-0.4,-3.2,-6.2,-8.1,-7.2,-3.5,1.0,4.9,7.4,8.3,7.2,6.1,5.3,3.9,3.8,3.7,2.2,1.5,1.3,0.9,1.5,2.0,1.6,1.8,2.7,3.2,4.5,4.5,3.3,1.9,0.4,0.7,0.9,1.8,1.7,1.9,2.3,2.3,3.5,3.2,2.8,2.2,1.0,-0.4,-1.3,-1.7,-4.9,-5.8,-5.7,-5.3,-0.7,2.3,2.2,1.2,-0.5,-2.7,-3.8,-3.3,-4.4,-4.4,-2.9,-2.4
Quarterly,Outwards,Growth rate on the same quarter in previous year,:,:,:,:,6.1,4.2,2.0,-0.7,4.5,2.0,2.6,2.2,0.6,2.3,0.6,-5.2,-10.7,-9.4,-7.3,-1.2,5.3,7.7,7.7,8.6,9.0,3.8,3.3,5.1,3.4,3.2,3.0,-0.6,0.5,2.2,1.5,1.6,2.8,0.7,2.2,5.3,4.5,6.0,2.0,0.8,-1.3,0.2,2.9,1.9,2.3,-0.1,3.6,3.5,2.2,4.7,2.3,2.0,-0.2,0.0,-3.2,-1.9,-1.9,-12.3,-6.9,-1.2,-0.5,6.3,5.1,-1.5,-4.6,-0.8,-3.9,-6.1,-2.3,-5.2,-4.0,0.0,-0.2
Quarterly,Outwards,Thousand tonnes,263485.0,281144.0,280879.0,288090.0,279615.0,293021.0,286366.0,286129.0,292253.0,298957.0,293908.0,292445.0,293961.0,305874.0,295773.0,277248.0,262484.0,277227.0,274297.0,274016.0,276400.0,298590.0,295490.0,297584.0,301397.0,309970.0,305367.0,312768.0,311760.0,319821.0,314404.0,310908.0,313438.0,326820.0,319141.0,315945.0,322155.0,329187.0,326163.0,332596.0,336700.0,349016.0,332814.0,335337.0,332413.0,349649.0,342578.0,341586.0,339906.0,349139.0,355029.0,353625.0,347320.0,365682.0,363104.0,360640.0,346575.0,365775.0,351466.0,353626.0,340047.0,320626.0,327220.0,349263.0,338499.0,340946.0,343768.0,344003.0,322895.0,338245.0,330459.0,323189.0,315477.0,320776.0,317382.0,323304.0,314936.0
Quarterly,Outwards,Sum of the last 4 quarters (in thousand tonnes),:,:,:,1113599.0,1129728.0,1141605.0,1147092.0,1145131.0,1157770.0,1163706.0,1171248.0,1177563.0,1179271.0,1186188.0,1188053.0,1172856.0,1141379.0,1112732.0,1091256.0,1088024.0,1101940.0,1123303.0,1144496.0,1168064.0,1193061.0,1204441.0,1214319.0,1229503.0,1239866.0,1249717.0,1258754.0,1256893.0,1258571.0,1265570.0,1270306.0,1275343.0,1284060.0,1286428.0,1293450.0,1310101.0,1324647.0,1344475.0,1351125.0,1353867.0,1349580.0,1350213.0,1359978.0,1366226.0,1373719.0,1373210.0,1385660.0,1397700.0,1405113.0,1421656.0,1429732.0,1436746.0,1436002.0,1436094.0,1424455.0,1417442.0,1410914.0,1365765.0,1341520.0,1337157.0,1335608.0,1355929.0,1372476.0,1367216.0,1351612.0,1348911.0,1335601.0,1314787.0,1307369.0,1289900.0,1276823.0,1276938.0,1276397.0
