Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Latvia,:,:,:,:,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.08,0.08,0.09,0.11,0.11,0.10 b,0.1,0.12,0.12,0.21
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Malta,:,:,:,:,:,:,:,:,:,0.18,0.18,0.25,0.23,0.2,0.2,0.17,0.2,0.21,0.25 b,0.3,0.4,0.32,0.28
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Netherlands,0.84,0.82,0.81,0.8,0.73,0.82,0.81,0.81,0.8,0.82,0.81,0.75,0.71,0.67,0.64,0.75,0.65,0.6,0.62 b,0.59,0.59,0.52,0.67
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Norway,0.76,0.8,0.89,0.92,0.87,0.94,0.89,0.95,0.89,1.06,1.05,0.96,0.93,1.07,1.0,1.05,1.12,0.99,0.94 b,1.03,1.11,0.93,0.86
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Poland,0.0,0.0,0.0,0.0,0.05,0.07,0.09,0.1,0.08,0.09,0.08,0.08,0.09,0.1,0.09,0.1,0.15,0.13,0.14 b,0.14,0.14,0.15,0.53
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Portugal,0.26,0.25,0.27,0.22,0.63,0.21,0.21,0.22,0.27,0.23,0.29,0.31,0.28,0.23,0.19,0.16,0.17,0.18,0.18 b,0.17,0.18,0.18,0.21
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Romania,:,:,:,:,:,:,:,:,0.09,0.08,0.07,0.09,0.09,0.07,0.11,0.09,0.11,0.11,0.11 b,0.1,0.13,0.15,0.14
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Sweden,0.8,0.77,0.84,0.79,0.78,0.94,1.02,0.93,0.98,1.12,0.97,1.02,0.97,1.01,1.09,1.4,0.94,1.02,1.07 b,0.96,1.14,0.91,0.89
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Slovenia,:,:,:,:,:,0.11,0.12,0.12,0.13,0.15,0.13,0.13,0.13,0.13,0.12,0.15,0.19,0.16,0.16 b,0.17,0.17,0.19,0.29
Annual,Development assistance committee (DAC),Percentage of gross national income (GNI),Slovakia,:,:,:,:,0.07,0.12,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.12,0.13,0.13 b,0.11,0.14,0.14,0.15
Annual,Least developed countries,Percentage of gross national income (GNI),Austria,0.06,0.08,0.09,0.07,0.06,0.08,0.08,0.07,0.07,0.09,0.12,0.07,0.06,0.08,0.08,0.06,0.06,0.07,0.07,0.07,0.07 b,0.07,0.07
Annual,Least developed countries,Percentage of gross national income (GNI),Belgium,0.11,0.14,0.15,0.36,0.19,0.16,0.18,0.17,0.19,0.2,0.31,0.2,0.14,0.16,0.16,0.13,0.14,0.13,0.14,0.14,0.16 b,0.14,0.13
Annual,Least developed countries,Percentage of gross national income (GNI),Bulgaria,:,:,:,:,:,:,:,:,:,:,:,0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03 b,0.02,0.01
Annual,Least developed countries,Percentage of gross national income (GNI),Switzerland,0.1,0.1,0.09,0.12,0.1,0.1,0.1,0.11,0.1,0.13,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14 b,0.14,0.12
Annual,Least developed countries,Percentage of gross national income (GNI),Cyprus,:,:,:,:,:,0.02,0.02,0.03,0.03,0.04,0.05,0.02,0.02,0.02,0.0,0.02,:,:,0.02,0.01,0.01 b,0.01,0.01
Annual,Least developed countries,Percentage of gross national income (GNI),Czechia,:,:,:,:,0.02,0.02,0.03,0.03,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03 b,0.03,0.02
Annual,Least developed countries,Percentage of gross national income (GNI),Germany,0.07,0.07,0.07,0.11,0.09,0.07,0.09,0.09,0.1,0.1,0.11,0.1,0.11,0.09,0.1,0.08,0.1,0.11,0.12,0.11,0.15 b,0.14,0.12
Annual,Least developed countries,Percentage of gross national income (GNI),Denmark,0.36,0.36,0.33,0.34,0.33,0.32,0.31,0.34,0.32,0.35,0.35,0.32,0.31,0.27,0.26,0.2,0.21,0.22,0.2,0.22,0.21 b,0.22,0.14
Annual,Least developed countries,Percentage of gross national income (GNI),Estonia,:,:,:,:,0.01,0.02,0.03,0.03,:,:,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03 b,0.03,0.02
Annual,Least developed countries,Percentage of gross national income (GNI),Greece,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.03 b,0.03,0.02
