Time frequency,Classification of activities for time use,Frequency,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Austria,83.5
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Belgium,82.1
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Bulgaria,97.2
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Switzerland,65.4
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Cyprus,94.7
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Czechia,81.9
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Denmark,57.0
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Estonia,79.0
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Greece,92.6
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Spain,76.4
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Finland,73.5
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,France,76.3
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Croatia,96.1
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Hungary,92.8
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Ireland,76.6
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Italy,87.3
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Lithuania,90.2
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Luxembourg,63.3
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Latvia,93.6
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Montenegro,98.2
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Malta,91.3
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Netherlands,70.4
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Norway,67.9
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Poland,81.9
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Portugal,87.5
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Romania,97.8
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Serbia,94.7
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Sweden,75.3
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovenia,90.6
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Slovakia,90.9
Annual,Cinema,Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Türkiye,95.0
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Austria,77.4
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Belgium,76.9
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Bulgaria,95.6
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Switzerland,59.0
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Cyprus,89.6
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Czechia,80.2
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Denmark,62.5
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Estonia,75.4
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Greece,88.2
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Spain,76.6
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Finland,71.3
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,France,86.7
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Croatia,93.3
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Hungary,90.0
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Ireland,79.2
Annual,"Live performances (theatre, concerts, ballet)",Not in the last 12 months,Some or severe,Total,16 years or over,Percentage,Italy,89.4
