Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Number,European Union - 27 countries (from 2020),88435.0,90267.0,89519.0,102626.0,93759.0
Annual,Number,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,101898.0,103740.0,101945.0,117074.0,107080.0
Annual,Number,Non-EU27 countries (from 2020),44564.0,47609.0,45931.0,53357.0,52668.0
Annual,Number,Non-EU27 countries (from 2020) nor EFTA countries,31101.0,34136.0,33505.0,38909.0,39347.0
Annual,Number,All countries of the world,132999.0,137876.0,135450.0,155983.0,146427.0
Annual,Percentage,European Union - 27 countries (from 2020),66.5,65.5,66.1,65.8,64.0
Annual,Percentage,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,76.6,75.2,75.3,75.1,73.1
Annual,Percentage,Non-EU27 countries (from 2020),33.5,34.5,33.9,34.2,36.0
Annual,Percentage,Non-EU27 countries (from 2020) nor EFTA countries,23.4,24.8,24.7,24.9,26.9
Annual,Percentage,All countries of the world,100.0,100.0,100.0,100.0,100.0
