Time frequency,Unit of measure,Type of activity,Tourism indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand,Collective tourist accommodation establishments,Arrivals of residents,Israel,6753.2,6743.1,6681.7,6448.3,6432.7,6588.1,6711.1,6997.0,7112.5,7233.0,7628.6,7850.8,8043.0,8070.6
Annual,Thousand,Collective tourist accommodation establishments,Arrivals of residents,Lebanon,:,:,:,159.0,172.0,171.0,145.0,98.0,88.0,82.0,100.0,113.0,:,:
Annual,Thousand,Collective tourist accommodation establishments,Arrivals of residents,Morocco,1400.0 dp,1403.0 dp,1502.0 dp,1588.0 dp,1702.0 dp,1859.0 dp,2061.0 dp,2265.0 dp,2399.0 dp,2403.0 dp,2645.0 dp,3685.0 dp,3119.6 dp,3247.4 dp
Annual,Thousand,Collective tourist accommodation establishments,Arrivals of non-residents,Israel,2233.5,2404.1,3074.7,3776.9,3027.9,3679.8,3700.0,3657.9,3634.8,3603.2,3265.4,3430.6,4481.0,4948.9
Annual,Thousand,Collective tourist accommodation establishments,Arrivals of non-residents,Lebanon,:,:,:,476.0,598.0,707.0,604.0,475.0,479.0,540.0,601.0,702.0,:,:
Annual,Thousand,Collective tourist accommodation establishments,Arrivals of non-residents,Morocco,3470.0 dp,3815.0 dp,3910.0 dp,3824.0 dp,3669.0 dp,4078.0 dp,3456.0 dp,3570.0 dp,4010.0 dp,4204.0 dp,3668.4 dp,2929.4 dp,4632.3 dp,5358.8 dp
Annual,Thousand,Collective tourist accommodation establishments,"Arrivals, total",Israel,8986.7,9147.2,9756.4,10225.2,9460.6,10267.9,10411.1,10654.9,10747.3,10836.2,10893.9,11281.5,12524.0,12974.3
Annual,Thousand,Collective tourist accommodation establishments,"Arrivals, total",Lebanon,:,:,:,635.0,770.0,878.0,749.0,573.0,567.0,622.0,701.0,815.0,:,:
Annual,Thousand,Collective tourist accommodation establishments,"Arrivals, total",Morocco,4870.0 dp,5218.0 dp,5412.0 dp,5412.0 dp,5371.0 dp,5936.0 dp,5517.0 dp,5835.0 dp,6409.0 dp,6607.0 dp,6313.0 dp,6614.4 dp,7751.9 dp,8606.2 dp
Annual,Thousand,Hotels and similar establishments,Arrivals of residents,Algeria,2526.7,2674.8,2790.5,2914.6,3063.9,3210.7,3411.6,3575.4,3717.3,3772.5,3772.9,3730.7,3633.5,3573.1
