Time frequency,Unit of measure,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Austria,21.8,23.19,21.6,21.58,22.4,20.39,20.4,20.97,22.21,25.03,22.03
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Belgium,30.26,32.7,31.52,29.11,32.86,29.1,29.37,29.7,29.4,28.2,28.97
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Bulgaria,10.83,11.47,10.09,12.83,13.19,11.34,13.21,12.07,11.8,11.24,11.49
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Switzerland,26.06,25.5,27.8,26.05,24.56,24.79,24.18,26.17,23.9,24.08,23.34
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Cyprus,17.01,26.94,22.71,30.08,24.26,23.21,26.73,25.84,27.92,25.23,25.53
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Czechia,29.69,27.77,25.93,27.32,28.83,26.55,24.93,26.32,24.76,24.52,21.54
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Germany,17.36,17.84,18.25,18.36,19.68,21.13,21.62,22.61,22.6,21.95,22.65
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Denmark,22.25,20.92,21.39,20.0,18.47,18.64,18.14,19.39,19.71,19.13,19.64
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Estonia,23.96,23.65,20.94,20.76,20.5,20.47,17.48,18.71,19.2,21.6,27.21
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Greece,10.76,10.09,11.37,9.23,12.37,13.71,14.46,14.86,15.36,17.38,18.4
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Spain,14.72,13.53,14.26,14.47,14.99,15.24,15.0,14.5,14.27,13.9,14.77
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,European Union - 27 countries (from 2020),21.64,21.73,21.31,20.77,21.9,21.79,22.08,22.11,21.75,21.61,23.02
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Finland,30.71,29.92,28.26,27.79,26.37,26.37,25.22,26.84,25.2,22.27,24.0
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,France,28.6,28.71,27.65,26.58,29.03,27.38,27.83,25.96,25.93,25.58,26.42
Annual,Rate,Total,"Accidents (V01-X59, Y85, Y86)",Females,Croatia,41.07,39.47 d,40.93 d,40.49,43.17,40.99,35.81,43.86,40.89,35.59,36.29
