Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,First quintile,Percentage,Albania,27.1
Annual,First quintile,Percentage,Austria,11.2
Annual,First quintile,Percentage,Belgium,5.3
Annual,First quintile,Percentage,Bulgaria,5.8
Annual,First quintile,Percentage,Switzerland,12.8
Annual,First quintile,Percentage,Cyprus,27.3
Annual,First quintile,Percentage,Czechia,14.2
Annual,First quintile,Percentage,Germany,: u
Annual,First quintile,Percentage,Denmark,9.0
Annual,First quintile,Percentage,Estonia,22.3
Annual,First quintile,Percentage,Greece,29.2
Annual,First quintile,Percentage,Spain,17.9
Annual,First quintile,Percentage,European Union - 27 countries (from 2020),12.7 u
Annual,First quintile,Percentage,Finland,25.5
Annual,First quintile,Percentage,France,11.3
Annual,First quintile,Percentage,Croatia,20.6
Annual,First quintile,Percentage,Hungary,6.0
Annual,First quintile,Percentage,Ireland,4.3
Annual,First quintile,Percentage,Italy,15.1
Annual,First quintile,Percentage,Lithuania,37.2
Annual,First quintile,Percentage,Luxembourg,10.3
Annual,First quintile,Percentage,Latvia,17.2
Annual,First quintile,Percentage,Montenegro,15.2
Annual,First quintile,Percentage,North Macedonia,10.9
Annual,First quintile,Percentage,Malta,14.0
Annual,First quintile,Percentage,Netherlands,4.9
Annual,First quintile,Percentage,Norway,10.9
Annual,First quintile,Percentage,Poland,11.8
Annual,First quintile,Percentage,Portugal,17.4
Annual,First quintile,Percentage,Romania,4.0
Annual,First quintile,Percentage,Serbia,23.3
Annual,First quintile,Percentage,Sweden,13.4
Annual,First quintile,Percentage,Slovenia,20.5
Annual,First quintile,Percentage,Slovakia,17.9
Annual,Second quintile,Percentage,Albania,21.3
Annual,Second quintile,Percentage,Austria,19.2
Annual,Second quintile,Percentage,Belgium,9.4
Annual,Second quintile,Percentage,Bulgaria,12.2
Annual,Second quintile,Percentage,Switzerland,15.2
Annual,Second quintile,Percentage,Cyprus,38.6
Annual,Second quintile,Percentage,Czechia,22.5
Annual,Second quintile,Percentage,Germany,: u
Annual,Second quintile,Percentage,Denmark,8.8
Annual,Second quintile,Percentage,Estonia,34.2
Annual,Second quintile,Percentage,Greece,33.5
Annual,Second quintile,Percentage,Spain,25.1
Annual,Second quintile,Percentage,European Union - 27 countries (from 2020),16.6 u
Annual,Second quintile,Percentage,Finland,36.8
Annual,Second quintile,Percentage,France,12.8
Annual,Second quintile,Percentage,Croatia,28.4
Annual,Second quintile,Percentage,Hungary,8.7
Annual,Second quintile,Percentage,Ireland,8.5
Annual,Second quintile,Percentage,Italy,20.8
Annual,Second quintile,Percentage,Lithuania,47.1
Annual,Second quintile,Percentage,Luxembourg,17.5
Annual,Second quintile,Percentage,Latvia,24.5
Annual,Second quintile,Percentage,Montenegro,21.5
Annual,Second quintile,Percentage,North Macedonia,14.5
Annual,Second quintile,Percentage,Malta,22.0
Annual,Second quintile,Percentage,Netherlands,6.0
Annual,Second quintile,Percentage,Norway,22.9
Annual,Second quintile,Percentage,Poland,11.2
Annual,Second quintile,Percentage,Portugal,18.5
Annual,Second quintile,Percentage,Romania,8.0
Annual,Second quintile,Percentage,Serbia,29.8
Annual,Second quintile,Percentage,Sweden,19.6
Annual,Second quintile,Percentage,Slovenia,25.8
Annual,Second quintile,Percentage,Slovakia,18.9
Annual,Third quintile,Percentage,Albania,19.4
Annual,Third quintile,Percentage,Austria,22.6
Annual,Third quintile,Percentage,Belgium,12.5
Annual,Third quintile,Percentage,Bulgaria,16.5
Annual,Third quintile,Percentage,Switzerland,19.1
Annual,Third quintile,Percentage,Cyprus,54.1
Annual,Third quintile,Percentage,Czechia,23.0
Annual,Third quintile,Percentage,Germany,: u
Annual,Third quintile,Percentage,Denmark,12.3
Annual,Third quintile,Percentage,Estonia,38.5
Annual,Third quintile,Percentage,Greece,42.4
Annual,Third quintile,Percentage,Spain,30.9
Annual,Third quintile,Percentage,European Union - 27 countries (from 2020),20.6 u
Annual,Third quintile,Percentage,Finland,41.8
Annual,Third quintile,Percentage,France,17.6
Annual,Third quintile,Percentage,Croatia,31.2
Annual,Third quintile,Percentage,Hungary,10.3
Annual,Third quintile,Percentage,Ireland,12.4
Annual,Third quintile,Percentage,Italy,27.5
Annual,Third quintile,Percentage,Lithuania,49.3
Annual,Third quintile,Percentage,Luxembourg,25.9
Annual,Third quintile,Percentage,Latvia,25.8
Annual,Third quintile,Percentage,Montenegro,18.7
Annual,Third quintile,Percentage,North Macedonia,17.6
Annual,Third quintile,Percentage,Malta,21.6
Annual,Third quintile,Percentage,Netherlands,8.9
Annual,Third quintile,Percentage,Norway,31.5
Annual,Third quintile,Percentage,Poland,13.7
Annual,Third quintile,Percentage,Portugal,23.3
Annual,Third quintile,Percentage,Romania,4.8
Annual,Third quintile,Percentage,Serbia,31.1
Annual,Third quintile,Percentage,Sweden,22.1
Annual,Third quintile,Percentage,Slovenia,27.2
Annual,Third quintile,Percentage,Slovakia,24.0
Annual,Fourth quintile,Percentage,Albania,17.7
Annual,Fourth quintile,Percentage,Austria,23.5
Annual,Fourth quintile,Percentage,Belgium,17.0
Annual,Fourth quintile,Percentage,Bulgaria,22.3
Annual,Fourth quintile,Percentage,Switzerland,24.9
Annual,Fourth quintile,Percentage,Cyprus,59.1
Annual,Fourth quintile,Percentage,Czechia,26.8
Annual,Fourth quintile,Percentage,Germany,: u
Annual,Fourth quintile,Percentage,Denmark,19.1
