Time frequency,Seasonal adjustment,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Austria,3.8,3.7,4.1,4.3,3.9,4.3,3.9,3.3,4.8,4.8,3.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Bosnia and Herzegovina,16.0,16.0,16.0,15.7,15.6,15.5,15.5,15.5,15.4,15.4,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Belgium,4.3,4.3,4.3,4.4,4.5,4.4,4.4,4.3,4.3,4.3,4.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Bulgaria,4.2,4.2,4.1,3.8,3.6,3.6,3.6,3.6,3.6,3.5,3.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Switzerland,3.7,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Cyprus,4.8,4.7,4.6,4.6,4.4,4.5,4.4,4.1,3.9,3.8,3.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Czechia,3.3,2.7,3.4,3.1,2.6,2.6,2.6,2.8,2.8,2.4,3.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Germany,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Denmark,4.7,4.8,4.3,5.0,5.5,5.4,5.3,4.3,5.4,4.7,5.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Euro area – 20 countries (from 2023),6.1,6.1,6.1,6.0,6.0,5.9,5.7,5.7,5.7,5.7,5.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Estonia,6.8,6.9,7.2,6.8,5.9,5.7,6.2,6.7,6.9,6.2,6.2,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Greece,13.5,13.5,12.9,12.2,12.2,11.1,11.6,11.1,11.5,11.3,11.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Females,Percentage of population in the labour force,Spain,12.3,12.2,12.2,12.1,12.0,11.8,11.6,11.4,11.2,11.2,11.2,:
