Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,First quintile,Percentage of disposable income,Austria,-20 i,-13.7 i,-15.2 i
Annual,First quintile,Percentage of disposable income,Belgium,-22.9 i,-8.2 i,-2.9 i
Annual,First quintile,Percentage of disposable income,Bulgaria,3.1 e,-15.5 i,-7 i
Annual,First quintile,Percentage of disposable income,Cyprus,4.7 i,-2.8 i,16.9 i
Annual,First quintile,Percentage of disposable income,Czechia,8.1 i,10.3 i,7.1 i
Annual,First quintile,Percentage of disposable income,Germany,-13.6 i,-14.3 i,-7.8 i
Annual,First quintile,Percentage of disposable income,Denmark,-34.7 i,-16.1 i,-5.2 i
Annual,First quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,-6.9 i,-3.7 i
Annual,First quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,-7.2 i,-3.7 i
Annual,First quintile,Percentage of disposable income,Estonia,14.8 i,11.7 i,14.4 i
Annual,First quintile,Percentage of disposable income,Greece,-55.5 i,-49.2 i,-14.8 i
Annual,First quintile,Percentage of disposable income,Spain,-20.3 i,-19.1 i,-6.7 i
Annual,First quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,-9.2 i,-3.2 i
Annual,First quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,-6.7 i,-3.2 i
Annual,First quintile,Percentage of disposable income,Finland,3.3 i,-0.7 i,:
Annual,First quintile,Percentage of disposable income,France,14.8 i,21.6 i,12.4 i
Annual,First quintile,Percentage of disposable income,Croatia,-36.4 i,-37.8 i,-8.3 i
Annual,First quintile,Percentage of disposable income,Hungary,-4.5 i,-7.1 i,0.8 i
Annual,First quintile,Percentage of disposable income,Ireland,-13.1 i,9.7 i,:
Annual,First quintile,Percentage of disposable income,Italy,-53.8 i,:,:
Annual,First quintile,Percentage of disposable income,Lithuania,-17.5 i,-8.2 i,11.8 i
Annual,First quintile,Percentage of disposable income,Luxembourg,5.3 i,-4.5 i,-4.5 i
Annual,First quintile,Percentage of disposable income,Latvia,-26.7 i,-5.5 i,2.4 i
Annual,First quintile,Percentage of disposable income,Malta,-13.6 i,-6.5 i,-0.4 i
Annual,First quintile,Percentage of disposable income,Netherlands,:,-24.5 i,-28.8 i
Annual,First quintile,Percentage of disposable income,Poland,0.6 i,3.6 i,30.8 i
Annual,First quintile,Percentage of disposable income,Portugal,-12.2 i,-9.3 i,:
Annual,First quintile,Percentage of disposable income,Romania,-43.2 i,-20.6 i,-62.3 i
Annual,First quintile,Percentage of disposable income,Sweden,-18.1 i,-6.5 i,:
Annual,First quintile,Percentage of disposable income,Slovenia,-11.7 i,-11.5 i,2.7 i
Annual,First quintile,Percentage of disposable income,Slovakia,5.6 i,-7.3 i,-3.4 i
Annual,First quintile,Percentage of disposable income,United Kingdom,-6.1 i,-22.9 i,:
Annual,Second quintile,Percentage of disposable income,Austria,5.9 i,17.1 i,14.2 i
Annual,Second quintile,Percentage of disposable income,Belgium,-6.2 i,6.4 i,20.2 i
Annual,Second quintile,Percentage of disposable income,Bulgaria,25.8 e,5.4 i,14.6 i
Annual,Second quintile,Percentage of disposable income,Cyprus,-0.2 i,1.1 i,19.5 i
Annual,Second quintile,Percentage of disposable income,Czechia,15.3 i,16.1 i,20.5 i
Annual,Second quintile,Percentage of disposable income,Germany,7.3 i,6 i,12.8 i
Annual,Second quintile,Percentage of disposable income,Denmark,-8.7 i,15.8 i,19.8 i
Annual,Second quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,12 i,17.5 i
Annual,Second quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,11.8 i,17.3 i
Annual,Second quintile,Percentage of disposable income,Estonia,27.2 i,21.9 i,31.8 i
Annual,Second quintile,Percentage of disposable income,Greece,-17.6 i,-11.8 i,9.1 i
Annual,Second quintile,Percentage of disposable income,Spain,3.3 i,6.4 i,22.3 i
Annual,Second quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,10.8 i,17.6 i
Annual,Second quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,11.8 i,17.6 i
Annual,Second quintile,Percentage of disposable income,Finland,21.3 i,12.7 i,:
Annual,Second quintile,Percentage of disposable income,France,22 i,30 i,24.9 i
Annual,Second quintile,Percentage of disposable income,Croatia,-7.4 i,-5.5 i,6.2 i
Annual,Second quintile,Percentage of disposable income,Hungary,9 i,7 i,12.5 i
Annual,Second quintile,Percentage of disposable income,Ireland,10.3 i,18.8 i,:
Annual,Second quintile,Percentage of disposable income,Italy,7.6 i,:,:
Annual,Second quintile,Percentage of disposable income,Lithuania,4.9 i,17.7 i,36.3 i
Annual,Second quintile,Percentage of disposable income,Luxembourg,18.1 i,20.6 i,21.2 i
Annual,Second quintile,Percentage of disposable income,Latvia,-3.8 i,13.3 i,19.7 i
Annual,Second quintile,Percentage of disposable income,Malta,0.6 i,11.9 i,18.3 i
Annual,Second quintile,Percentage of disposable income,Netherlands,:,0.8 i,2.1 i
Annual,Second quintile,Percentage of disposable income,Poland,17.1 i,20.6 i,43.1 i
Annual,Second quintile,Percentage of disposable income,Portugal,6.5 i,8.1 i,:
Annual,Second quintile,Percentage of disposable income,Romania,-18.9 i,0.3 i,-23.5 i
Annual,Second quintile,Percentage of disposable income,Sweden,8.2 i,9.2 i,:
Annual,Second quintile,Percentage of disposable income,Slovenia,9.4 i,17 i,18.5 i
Annual,Second quintile,Percentage of disposable income,Slovakia,12.7 i,5.6 i,17.1 i
Annual,Second quintile,Percentage of disposable income,United Kingdom,15.3 i,4.9 i,:
Annual,Third quintile,Percentage of disposable income,Austria,17.7 i,19.3 i,24 i
Annual,Third quintile,Percentage of disposable income,Belgium,11.3 i,19.5 i,32.9 i
Annual,Third quintile,Percentage of disposable income,Bulgaria,39.5 e,16.7 i,26.9 i
Annual,Third quintile,Percentage of disposable income,Cyprus,9.5 i,6.4 i,20.8 i
Annual,Third quintile,Percentage of disposable income,Czechia,24.8 i,25.9 i,29.2 i
Annual,Third quintile,Percentage of disposable income,Germany,15.9 i,16.6 i,20.4 i
Annual,Third quintile,Percentage of disposable income,Denmark,3.2 i,22.2 i,36.4 i
Annual,Third quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,20.6 i,26 i
Annual,Third quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,20.4 i,25.9 i
Annual,Third quintile,Percentage of disposable income,Estonia,36.5 i,37.1 i,39.8 i
Annual,Third quintile,Percentage of disposable income,Greece,-9.3 i,-6.4 i,14.3 i
Annual,Third quintile,Percentage of disposable income,Spain,15.2 i,18.1 i,32.6 i
Annual,Third quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,19.6 i,27 i
Annual,Third quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,20.9 i,27 i
Annual,Third quintile,Percentage of disposable income,Finland,26 i,19.8 i,:
Annual,Third quintile,Percentage of disposable income,France,28 i,33.1 i,30.4 i
Annual,Third quintile,Percentage of disposable income,Croatia,-0.3 i,0.3 i,18.8 i
Annual,Third quintile,Percentage of disposable income,Hungary,15.7 i,13.8 i,22.4 i
Annual,Third quintile,Percentage of disposable income,Ireland,16.3 i,22.5 i,:
Annual,Third quintile,Percentage of disposable income,Italy,24.3 i,:,:
Annual,Third quintile,Percentage of disposable income,Lithuania,20.1 i,30.3 i,43.4 i
Annual,Third quintile,Percentage of disposable income,Luxembourg,27.3 i,26.7 i,28.2 i
Annual,Third quintile,Percentage of disposable income,Latvia,9.5 i,23.3 i,32.8 i
Annual,Third quintile,Percentage of disposable income,Malta,6.6 i,11.9 i,26.4 i
Annual,Third quintile,Percentage of disposable income,Netherlands,:,16.8 i,19.5 i
Annual,Third quintile,Percentage of disposable income,Poland,25.1 i,30.7 i,50.5 i
Annual,Third quintile,Percentage of disposable income,Portugal,13.3 i,19.2 i,:
Annual,Third quintile,Percentage of disposable income,Romania,-5.7 i,10.7 i,-1.8 i
Annual,Third quintile,Percentage of disposable income,Sweden,19.4 i,25.7 i,:
Annual,Third quintile,Percentage of disposable income,Slovenia,18 i,23.8 i,22.9 i
Annual,Third quintile,Percentage of disposable income,Slovakia,23.8 i,16.1 i,27.1 i
Annual,Third quintile,Percentage of disposable income,United Kingdom,20.7 i,11.9 i,:
Annual,Fourth quintile,Percentage of disposable income,Austria,26.9 i,29.4 i,31.3 i
Annual,Fourth quintile,Percentage of disposable income,Belgium,19.5 i,30.3 i,44.2 i
Annual,Fourth quintile,Percentage of disposable income,Bulgaria,46.7 e,28.1 i,39.5 i
Annual,Fourth quintile,Percentage of disposable income,Cyprus,11.5 i,15.4 i,27.9 i
Annual,Fourth quintile,Percentage of disposable income,Czechia,30 i,32.6 i,38.1 i
Annual,Fourth quintile,Percentage of disposable income,Germany,23.1 i,24.8 i,26.9 i
Annual,Fourth quintile,Percentage of disposable income,Denmark,15 i,36.1 i,47.1 i
Annual,Fourth quintile,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,28.6 i,33.9 i
Annual,Fourth quintile,Percentage of disposable income,Euro area – 20 countries (from 2023),:,28.4 i,33.8 i
Annual,Fourth quintile,Percentage of disposable income,Estonia,41.4 i,42.8 i,53.4 i
Annual,Fourth quintile,Percentage of disposable income,Greece,0.5 i,2.1 i,23.6 i
Annual,Fourth quintile,Percentage of disposable income,Spain,24.7 i,27.3 i,42.3 i
Annual,Fourth quintile,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,28.3 i,35.4 i
Annual,Fourth quintile,Percentage of disposable income,European Union - 27 countries (from 2020),:,29.1 i,35.4 i
Annual,Fourth quintile,Percentage of disposable income,Finland,23.9 i,24.2 i,:
Annual,Fourth quintile,Percentage of disposable income,France,32.1 i,37.5 i,36.1 i
