Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2010.0
Annual,Females,Euro,Ostösterreich,13.3
Annual,Females,Euro,Südösterreich,11.63
Annual,Females,Euro,Westösterreich,11.94
Annual,Females,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,20.35
Annual,Females,Euro,Vlaams Gewest,16.91
Annual,Females,Euro,Région wallonne,18.14
Annual,Females,Euro,Severna i Yugoiztochna Bulgaria,1.64
Annual,Females,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,2.08
Annual,Females,Euro,Schweiz/Suisse/Svizzera,24.62
Annual,Females,Euro,Kýpros,10.91
Annual,Females,Euro,Czechia,4.73
Annual,Females,Euro,Baden-Württemberg,14.93
Annual,Females,Euro,Bayern,14.96
Annual,Females,Euro,Berlin,15.19
Annual,Females,Euro,Brandenburg,13.2
Annual,Females,Euro,Bremen,15.36
Annual,Females,Euro,Hamburg,17.05
Annual,Females,Euro,Hessen,15.91
Annual,Females,Euro,Mecklenburg-Vorpommern,12.45
Annual,Females,Euro,Niedersachsen,13.8
Annual,Females,Euro,Nordrhein-Westfalen,14.93
Annual,Females,Euro,Rheinland-Pfalz,14.56
Annual,Females,Euro,Saarland,13.74
Annual,Females,Euro,Sachsen,12.61
Annual,Females,Euro,Sachsen-Anhalt,12.97
Annual,Females,Euro,Schleswig-Holstein,13.87
Annual,Females,Euro,Thüringen,12.55
Annual,Females,Euro,Denmark,24.2
Annual,Females,Euro,Eesti,4.17
Annual,Females,Euro,Voreia Ellada (NUTS 2010),9.49
Annual,Females,Euro,Kentriki Ellada (NUTS 2010),10.53
Annual,Females,Euro,Attiki,10.22
Annual,Females,Euro,"Nisia Aigaiou, Kriti",9.43
Annual,Females,Euro,Noroeste,9.6
Annual,Females,Euro,Noreste,11.09
Annual,Females,Euro,Comunidad de Madrid,11.13
Annual,Females,Euro,Centro (ES),9.96
Annual,Females,Euro,Este,10.59
Annual,Females,Euro,Sur,9.55
Annual,Females,Euro,Canarias,9.46
Annual,Females,Euro,Manner-Suomi,16.22
Annual,Females,Euro,Åland,16.18
Annual,Females,Euro,Ile de France,17.79
Annual,Females,Euro,Bassin Parisien (NUTS 2013),13.81
Annual,Females,Euro,Nord-Pas-de-Calais (NUTS 2013),13.81
Annual,Females,Euro,Est (FR) (NUTS 2013),13.63
Annual,Females,Euro,Ouest (FR) (NUTS 2013),13.46
Annual,Females,Euro,Sud-Ouest (FR) (NUTS 2013),13.96
Annual,Females,Euro,Centre-Est (FR) (NUTS 2013),14.25
Annual,Females,Euro,Méditerranée (NUTS 2013),14.17
Annual,Females,Euro,Hrvatska,5.69
Annual,Females,Euro,Közép-Magyarország,4.92
Annual,Females,Euro,Dunántúl,3.52
Annual,Females,Euro,Alföld és Észak,3.39
Annual,Females,Euro,Ireland,20.62
Annual,Females,Euro,Ísland,11.29
Annual,Females,Euro,Nord-Ovest,13.89
Annual,Females,Euro,Sud,15.22
Annual,Females,Euro,Isole,15.64
Annual,Females,Euro,Nord-Est,13.14
Annual,Females,Euro,Centro (IT),14.05
Annual,Females,Euro,Lithuania,3.24
Annual,Females,Euro,Luxembourg,20.67
Annual,Females,Euro,Latvia,3.5
Annual,Females,Euro,Severna Makedonija,2.75
Annual,Females,Euro,Malta,8.08
Annual,Females,Euro,Noord-Nederland,15.06
Annual,Females,Euro,Oost-Nederland,15.38
Annual,Females,Euro,West-Nederland,16.01
Annual,Females,Euro,Zuid-Nederland,14.68
Annual,Females,Euro,Norway,25.51
Annual,Females,Euro,Region Centralny (NUTS 2013),5.83
Annual,Females,Euro,Makroregion południowy,4.89
Annual,Females,Euro,Region Wschodni (NUTS 2013),4.91
Annual,Females,Euro,Makroregion północno-zachodni,4.72
Annual,Females,Euro,Makroregion południowo-zachodni,4.83
Annual,Females,Euro,Makroregion północny,4.8
Annual,Females,Euro,Continente,7.23
Annual,Females,Euro,Região Autónoma dos Açores,5.63
Annual,Females,Euro,Região Autónoma da Madeira,5.75
Annual,Females,Euro,Macroregiunea Unu,2.17
Annual,Females,Euro,Macroregiunea Doi,2.05
Annual,Females,Euro,Macroregiunea Trei,3.19
Annual,Females,Euro,Macroregiunea Patru,2.06
Annual,Females,Euro,Östra Sverige,16.93
Annual,Females,Euro,Södra Sverige,15.85
Annual,Females,Euro,Norra Sverige,15.56
Annual,Females,Euro,Slovenia,9.07
Annual,Females,Euro,Slovakia,4.21
Annual,Females,Euro,Türkiye,3.98
Annual,Females,Euro,North East (UK) (NUTS 2021),13.64
Annual,Females,Euro,North West (UK) (NUTS 2021),13.77
Annual,Females,Euro,Yorkshire and The Humber (NUTS 2021),13.67
Annual,Females,Euro,East Midlands (UK) (NUTS 2021),13.12
Annual,Females,Euro,West Midlands (UK) (NUTS 2021),13.62
Annual,Females,Euro,East of England (NUTS 2021),13.96
Annual,Females,Euro,London (NUTS 2021),19.74
Annual,Females,Euro,South East (UK) (NUTS 2021),14.96
Annual,Females,Euro,South West (UK) (NUTS 2021),13.59
Annual,Females,Euro,Wales (NUTS 2021),13.52
Annual,Females,Euro,Scotland (NUTS 2021),14.36
Annual,Females,Euro,Northern Ireland (UK) (NUTS 2021),13.86
Annual,Females,Purchasing power standard (PPS),Ostösterreich,12.05
Annual,Females,Purchasing power standard (PPS),Südösterreich,10.54
Annual,Females,Purchasing power standard (PPS),Westösterreich,10.82
Annual,Females,Purchasing power standard (PPS),Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,18.33
Annual,Females,Purchasing power standard (PPS),Vlaams Gewest,15.23
Annual,Females,Purchasing power standard (PPS),Région wallonne,16.34
Annual,Females,Purchasing power standard (PPS),Severna i Yugoiztochna Bulgaria,3.69
Annual,Females,Purchasing power standard (PPS),Yugozapadna i Yuzhna tsentralna Bulgaria,4.68
Annual,Females,Purchasing power standard (PPS),Schweiz/Suisse/Svizzera,17.16
Annual,Females,Purchasing power standard (PPS),Kýpros,12.28
Annual,Females,Purchasing power standard (PPS),Czechia,6.54
Annual,Females,Purchasing power standard (PPS),Baden-Württemberg,14.3
Annual,Females,Purchasing power standard (PPS),Bayern,14.32
Annual,Females,Purchasing power standard (PPS),Berlin,14.55
Annual,Females,Purchasing power standard (PPS),Brandenburg,12.64
Annual,Females,Purchasing power standard (PPS),Bremen,14.71
Annual,Females,Purchasing power standard (PPS),Hamburg,16.33
Annual,Females,Purchasing power standard (PPS),Hessen,15.24
Annual,Females,Purchasing power standard (PPS),Mecklenburg-Vorpommern,11.92
Annual,Females,Purchasing power standard (PPS),Niedersachsen,13.21
Annual,Females,Purchasing power standard (PPS),Nordrhein-Westfalen,14.29
Annual,Females,Purchasing power standard (PPS),Rheinland-Pfalz,13.94
Annual,Females,Purchasing power standard (PPS),Saarland,13.16
Annual,Females,Purchasing power standard (PPS),Sachsen,12.08
Annual,Females,Purchasing power standard (PPS),Sachsen-Anhalt,12.42
Annual,Females,Purchasing power standard (PPS),Schleswig-Holstein,13.28
Annual,Females,Purchasing power standard (PPS),Thüringen,12.02
Annual,Females,Purchasing power standard (PPS),Denmark,25.77
Annual,Females,Purchasing power standard (PPS),Eesti,6.06
Annual,Females,Purchasing power standard (PPS),Voreia Ellada (NUTS 2010),10.31
Annual,Females,Purchasing power standard (PPS),Kentriki Ellada (NUTS 2010),11.44
Annual,Females,Purchasing power standard (PPS),Attiki,11.11
Annual,Females,Purchasing power standard (PPS),"Nisia Aigaiou, Kriti",10.24
Annual,Females,Purchasing power standard (PPS),Noroeste,10.2
Annual,Females,Purchasing power standard (PPS),Noreste,11.79
Annual,Females,Purchasing power standard (PPS),Comunidad de Madrid,11.83
Annual,Females,Purchasing power standard (PPS),Centro (ES),10.58
Annual,Females,Purchasing power standard (PPS),Este,11.26
Annual,Females,Purchasing power standard (PPS),Sur,10.15
Annual,Females,Purchasing power standard (PPS),Canarias,10.05
Annual,Females,Purchasing power standard (PPS),Manner-Suomi,13.58
Annual,Females,Purchasing power standard (PPS),Åland,13.55
Annual,Females,Purchasing power standard (PPS),Ile de France,15.83
Annual,Females,Purchasing power standard (PPS),Bassin Parisien (NUTS 2013),12.29
Annual,Females,Purchasing power standard (PPS),Nord-Pas-de-Calais (NUTS 2013),12.29
Annual,Females,Purchasing power standard (PPS),Est (FR) (NUTS 2013),12.13
Annual,Females,Purchasing power standard (PPS),Ouest (FR) (NUTS 2013),11.97
Annual,Females,Purchasing power standard (PPS),Sud-Ouest (FR) (NUTS 2013),12.42
Annual,Females,Purchasing power standard (PPS),Centre-Est (FR) (NUTS 2013),12.68
Annual,Females,Purchasing power standard (PPS),Méditerranée (NUTS 2013),12.61
Annual,Females,Purchasing power standard (PPS),Hrvatska,8.08
Annual,Females,Purchasing power standard (PPS),Közép-Magyarország,8.24
Annual,Females,Purchasing power standard (PPS),Dunántúl,5.9
Annual,Females,Purchasing power standard (PPS),Alföld és Észak,5.67
