Time frequency,Interest rate,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Day-to-day rate,Belarus,9.4,9.9,12.7,12.3,20.7,12.7,33.2,37.8,33.7,25.03,31.2,20.63,9.5,10.7,10.13,7.78,:,:
Annual,Day-to-day rate,Georgia,12.0,:,:,:,:,8.49,9.39,7.44,5.73,5.48,7.69,8.4,7.97,8.12,7.05 d,8.45 d,9.50 d,10.89 d
Annual,Day-to-day rate,Ukraine,4.3,3.78,3.51,10.17,12.28,1.72,4.7,8.58,3.79,11.11,21.02,15.4,11.6,16.3,15.0,7.1,6.78,11.11
Annual,12-month rate,Armenia,3.5,4.75,5.75,7.25,5.0,7.25,8.0,8.0,7.75,8.5,8.75,6.25,6.0,6.0,5.5,5.25,7.75,10.75
Annual,12-month rate,Azerbaijan,9.00 d,9.50 d,13.00 d,8.00 d,2.00 d,3.00 d,5.25 d,5.00 d,4.75 d,3.50 d,3.00 d,15.00 d,15.00 d,9.80 d,7.50 d,6.25 d,7.25 d,8.30 d
Annual,12-month rate,Belarus,11.00 d,10.00 d,10.00 d,12.00 d,13.50 d,10.50 d,45.00 d,30.00 d,23.50 d,20.00 d,25.00 d,18.0,11.0,10.0,9.0,7.75,:,:
Annual,12-month rate,Georgia,:,:,:,10.67,6.13,6.15,7.6,5.94,4.17,3.98,5.71,7.13,6.94,7.13,7.19,8.34,9.31,10.88
Annual,12-month rate,Moldova,12.50 d,16.00 d,16.00 d,14.00 d,5.00 d,7.00 d,9.50 d,4.50 d,3.50 d,6.50 d,19.50 d,9.00 d,6.50 d,6.50 d,5.50 d,2.65 d,6.50 d,20.00 d
Annual,12-month rate,Ukraine,9.50 d,8.50 d,8.00 d,12.00 d,10.25 d,7.75 d,7.75 d,7.50 d,6.50 d,14.00 d,22.00 d,14.00 d,14.50 d,18.00 d,13.50 d,6.00 d,9.00 d,25.00 d
