Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Public ownership,Switzerland,:,12.8 d,12.7 d,13.0,17.6,17.6,17.8,17.9,17.6,17.0,16.8,16.8,16.8 p,16.5 p,15.6 p,15.9 p
Annual,Percentage,Public ownership,Cyprus,:,0.0,0.1,0.3,-0.9,-2.1,-3.3,-4.7,-5.2,-3.4,-1.8,-0.3,-0.3 p,-0.3 p,-0.2 p,-0.2 p
Annual,Percentage,Public ownership,Czechia,:,23.3,22.1,20.0,21.4,21.5,21.3,20.7,20.8 d,20.3 d,20 d,19.3 d,17.2 d,13.8 d,12.2 d,15.1 dp
Annual,Percentage,Public ownership,Germany,:,16 p,14.4 p,13.9,13.9,14.1,13.4,13.8,13.3,12.7,12.3,12.1,10.9,9.9,9.2,12.1 b
Annual,Percentage,Public ownership,Denmark,:,15.1,14.5,17.8,12.9,13.6,12.6,12.1,12.0,11.7,11.9,12.1,11.3,11.2,10.8,11.2
Annual,Percentage,Public ownership,Estonia,:,:,:,:,:,:,:,:,:,:,:,20.8,:,:,:,:
Annual,Percentage,Public ownership,Greece,:,:,:,16.4,:,:,:,13.0,:,:,:,7.7,:,:,:,:
Annual,Percentage,Public ownership,Spain,12.4,11.6,11.4,12.3,13.0,14.3,13.6,13.3,12.4,14.3,10.7,10.3,8.2,8.4,8.2,8.2 p
Annual,Percentage,Public ownership,Finland,:,20.7,20.3,19.4,17.4,19.3,18.4,19.0,19.0,18.1,18.4,17.4,17.2,16.8,17.1,15.9 p
Annual,Percentage,Public ownership,France,:,:,:,13.2,:,:,:,20.1,:,:,:,17.2,:,:,:,:
Annual,Percentage,Public ownership,Croatia,:,:,:,12.6,:,:,13.3,13.8,:,11.7,11.4,11.4,11.1 p,12.4 p,10.7 p,10.6 p
Annual,Percentage,Public ownership,Hungary,15.9,17.5,17.9,20.0,20.5,24.4,22.4,11.0,13.5,11.8,13.8 b,12.3,14.4 b,11.6,17.2,16.1
Annual,Percentage,Public ownership,Ireland,:,12.5,13.2,12.1,11.3,10.4,7.3,9.6,:,:,:,6.1,:,:,:,3.7
Annual,Percentage,Public ownership,Iceland,20.6,19.0,15.6,14.2,14.2,13.6,12.0,10.2,12.1,12.1,12.4,10.0,9.8 p,11.3,10.4,9.4
Annual,Percentage,Public ownership,Italy,6.2,6.7,6.5,4.5,3.4,5.6,6.3,3.7,2.9 p,4.4 p,4.1 p,4.4,3.8 p,4.1 p,5.5 p,4.7 p
Annual,Percentage,Public ownership,Lithuania,13.7,17.3,13.1,17.3 b,11.6,12.4,12.6,13.7,13.8,12.5,12.5,11.8,14.0 p,11.0 p,9.7 p,8.9 p
Annual,Percentage,Public ownership,Luxembourg,10.2,9.8,9.3,9.3,:,:,:,-0.4,:,:,:,-3.3,:,:,:,:
Annual,Percentage,Public ownership,Latvia,12.7,13.3,13.7,16.8,18.3,19.1,20.5,20.2,20.8,19.7,17.8,19.0,19.7 p,18.4 p,15.6 p,15.3 p
Annual,Percentage,Public ownership,Montenegro,:,:,:,:,:,:,:,13.0,:,:,:,:,:,:,:,:
Annual,Percentage,Public ownership,Malta,-2.9,-3.6,-1.6,-1.3,:,:,:,:,:,:,:,8.8,:,:,:,:
Annual,Percentage,Public ownership,Netherlands,19.4,18.6,18.6,18.4,16.9,16.3,15.6,14.4,13.0,12.7,12.7,12.2,12.0 p,11.6 p,11.1 p,10.2 p
Annual,Percentage,Public ownership,Norway,:,12.8,12.1,11.3,12.3,16.1,19.2,15.5,11.0,12.0,13.8,15.1,6.7 dp,6.9 dp,6.8 dp,7.6 dp
Annual,Percentage,Public ownership,Poland,10.5,7.0,3.6,0.1,1.9,3.7,3.8 p,3.9,3.4,2.8,2.8,3.8,1.6,-0.6,0.2,1.0
Annual,Percentage,Public ownership,Portugal,10.8,10.0,12.1,10.1,11.4,13.3,12.0,13.6,14.7,15.6,16.4,17.8,16.3 p,15.6 p,15.1 p,14.2 p
Annual,Percentage,Public ownership,Romania,10.9 d,11.3 d,12.8 d,21.0,21.3,16.5,12.8,12.3,11.6 e,8.7 e,3.6 e,-1.4,-0.4 e,0.2 e,1.7 e,3.8 e
Annual,Percentage,Public ownership,Serbia,:,:,:,:,:,:,:,12.0,:,:,:,13.2,:,:,:,:
Annual,Percentage,Public ownership,Sweden,:,15.0,14.3,14.5,13.3,13.0,11.9,11.7,11.7,10.1,9.7,9.2,8.8,8.1,7.8,7.7
Annual,Percentage,Public ownership,Slovenia,4.5,4.8,1.7,2.3,8.2,8.9,11.4,12.7,11.6,12.3,12.5,13.9,12.4 p,7.9 p,5.1 p,11.5 p
Annual,Percentage,Public ownership,Slovakia,:,16.1,15.8,14.9,16.4,15.0,13.7,12.9,13.2,12.3,12.9,14.1,15.8,10.7,12.3,15.0
Annual,Percentage,Public ownership,United Kingdom,18.1,19.0,20.2,30 b,21.8,21.8,23.8,24.1,24.3,24.6,23.5,21.5,:,:,:,:
