Time frequency,International Standard Classification of Occupations 2008 (ISCO-08),Activity and employment status,Working time,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Austria,43.4,43.1,42.9,42.8,42.8,42.7,42.5,42.3,42.1,41.8 b,41.7,41.7
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,42.3 b,42.4,42.4
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Belgium,41.3,41.6,41.3,41.4,41.3,41.2 b,41.0,41.1,40.9,40.5 b,40.4,40.2
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Bulgaria,41.1,41.2,41.2,41.2,41.2,41.1,41.0,40.8 b,40.7,40.6 b,40.4,40.3
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Switzerland,43.1,43.0,42.9,42.9,42.9,42.9,42.9,42.8,42.7,43.6 b,43.3,43.3
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Cyprus,42.0,42.4,42.3,42.3,42.2,41.9,41.6,41.6,41.3,41.3 b,41.5,41.6
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Czechia,42.1,41.9,41.8,41.8,41.7,41.7,41.7,41.5,41.3,40.7 b,40.9,40.8
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Germany,41.8 b,41.6,41.5,41.4,41.3,41.1,41.0,40.9,40.5 b,40.5 b,40.5,40.2
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Denmark,38.8,38.7,38.8,38.9,38.7 b,38.7 b,38.5,38.3,38.3,39.3 b,39.1,38.9 b
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Euro area – 20 countries (from 2023),41.3,41.3,41.2,41.1,41.1,41.0,40.9,40.9,40.6,40.4 b,40.4,40.3
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Estonia,40.9,40.8,40.8,40.8,40.6,40.5,40.6,40.5,40.4,40.2 b,40.1,40.1
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Greece,43.8,44.1,44.2,44.4,44.6,44.3,44.1,43.8,43.7,43.2 b,42.7,42.4
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Spain,41.5,41.7,41.6,41.4,41.2,41.0,40.9,40.6,40.4,40.2 bd,40.4 d,40.3 d
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,European Union - 27 countries (from 2020),41.4,41.3,41.3,41.2,41.1,41.0,41.0,40.9,40.6,40.5 b,40.5,40.4
Annual,Total,Employed persons,Full-time,From 15 to 64 years,Total,Hour,Finland,40.1,40.0,40.0,40.0,40.1,40.1,40.2,40.2,39.9,38.9 b,38.7,38.8
