Time frequency,Frequency,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,10.8,12.3
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,2.7,3.6
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,3.1,10.4
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,7.5,8.2
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,3.4,4.1
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,7.7,7.4
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,10.7,: u
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,9.3,11.2
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,2.4,3.1
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,6.2,8.1
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,2.1,6.9
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),5.2,:
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,8.8,6.5
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,1.1,2.5
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,2.7,5.3
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Ireland,5.3 u,6.7
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Iceland,5.4,:
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Italy,1.4,1.2
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Lithuania,6.7,9.9
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Luxembourg,5.5,1.8
Annual,Once a month,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Latvia,5.9,7.6
