Time frequency,Unit of measure,Maritime entity (reporting)\Time,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024
Quarterly,Growth rate on previous period (t/t-1),Antwerp-Bruges,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.2,-7.7,-0.9,0.7,1.3,-6.8,2.9,5.1
Quarterly,Growth rate on previous period (t/t-1),Antwerpen,:,2.6,1.8,-0.2,-3.6,10.6,-5.0,4.7,3.0,-0.5,3.2,5.1,-4.0,7.7,-3.6,-5.6,-18.4,6.8,1.2,2.0,2.1,6.4,2.2,1.5,3.4,1.4,-3.6,-4.3,4.1,-1.5,-1.1,0.3,3.3,4.9,-4.6,2.5,1.5,2.8,0.6,1.0,1.2,4.3,-3.0,2.8,1.2,5.0,-3.2,-1.8,0.8,4.1,-1.9,0.5,4.6,3.1,-4.0,0.2,-2.2,10.5,-6.4,0.3,-0.5,-6.9,3.4,4.7,-0.7,4.1,-2.9,1.7,:,:,:,:,:,:,:,:,:
Quarterly,Growth rate on previous period (t/t-1),Hamburg,:,2.5,4.1,3.9,-1.2,1.9,1.6,0.3,-0.6,1.1,1.2,0.1,-1.5,3.9,0.8,-8.1,-18.7,1.2,6.4,-4.1,3.4,5.2,1.9,5.5,-2.6,4.3,6.5,-3.2,-2.9,2.6,-3.4,1.5,0.8,7.0,0.6,-0.6,0.5,5.1,-0.7,-4.1,0.5,0.0,-5.4,-1.1,4.2,2.7,-2.0,-5.3,6.8,-1.0,-2.7,-5.2,0.1,6.6,-1.8,2.8,-1.1,0.2,-0.7,-7.2,0.0,-8.4,8.5,5.6,-4.7,-1.9,4.1,0.6,-5.5,-2.1,-0.3,-7.6,1.9,6.1,-6.3,-0.4,-2.4
Quarterly,Growth rate on previous period (t/t-1),Algeciras,:,-4.3,6.3,-7.1,3.7,11.3,1.1,-1.4,-2.9,4.0,1.3,3.2,-2.8,4.5,-11.3,4.3,-13.5,-1.0,12.7,2.5,-5.6,-1.7,-2.2,22.9,-8.1,3.6,4.4,25.2,-13.4,0.2,3.7,-7.6,-6.1,16.9,1.5,-33.4,47.1,5.2,-8.1,0.5,2.9,4.1,3.6,-0.8,1.8,2.4,-1.8,0.8,-8.4,7.4,5.8,0.8,0.1,2.3,2.1,-7.1,3.7,7.0,-5.1,-2.9,2.8,-3.0,0.4,3.6,-11.4,6.5,-0.9,-2.6,-1.4,2.5,-1.9,-3.7,-0.7,3.2,-2.4,2.2,3.9
Quarterly,Growth rate on previous period (t/t-1),HAROPA (Le Havre and Rouen),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.3,2.7,-7.0,-6.8,1.2,11.2,-1.0,2.5
Quarterly,Growth rate on previous period (t/t-1),Le Havre,:,-7.5,7.4,-1.3,-1.1,-4.6,0.2,11.1,-6.5,7.4,-2.2,4.7,-1.6,-7.7,9.1,5.8,-10.2,-1.1,-10.7,7.3,-2.7,2.6,-1.3,-11.4,-3.1,7.7,3.1,6.2,-17.1,5.7,1.4,-2.5,3.5,8.7,-4.4,2.6,-11.4,3.7,4.7,2.4,-5.5,8.4,-3.2,-4.7,-3.5,-0.2,3.9,1.4,6.1,0.0,2.5,-1.7,-6.2,-1.4,13.7,-3.4,-7.7,2.3,-2.9,-12.5,-8.2,-14.0,20.9,2.6,-0.9,9.0,1.9,5.2,:,:,:,:,:,:,:,:,:
Quarterly,Growth rate on previous period (t/t-1),Marseille,:,3.7,0.4,0.4,2.2,-3.9,3.4,4.7,-17.3,21.8,-8.7,0.8,0.3,-3.6,7.8,-8.0,-9.8,-3.0,-0.1,5.8,0.5,5.7,-7.0,-5.0,8.8,3.4,-4.2,-0.2,0.7,-4.1,2.2,-1.0,-5.6,1.8,-2.1,-3.8,-2.9,2.8,5.4,-2.7,1.9,-0.1,0.6,3.1,-3.2,-7.6,13.4,-4.2,-4.3,3.0,-1.3,3.2,2.9,-8.1,1.0,2.1,0.8,-4.6,5.7,-8.1,-1.1,-1.0,4.5,4.2,-7.4,3.2,-3.8,0.5,4.2,-11.2,6.4,-8.3,-7.0,23.4,-4.9,2.4,-11.7
Quarterly,Growth rate on previous period (t/t-1),Amsterdam,:,4.1,-5.1,2.5,2.4,26.4,-13.7,-7.0,13.1,7.8,-9.7,8.9,13.0,9.6,-11.9,-3.5,-10.1,9.7,-6.1,1.8,3.5,-2.8,1.8,9.0,-15.8,14.5,-5.9,6.9,-4.4,4.9,-1.6,0.4,-1.7,6.8,-6.9,1.4,9.6,0.4,-13.0,10.1,16.2,-7.7,-15.2,4.8,5.7,-2.7,-2.5,10.2,4.0,-7.0,-6.6,7.2,6.2,-10.3,3.1,6.5,2.5,3.3,-6.3,-3.0,-2.0,-2.2,-15.0,9.2,-2.3,11.4,-13.4,5.7,2.7,16.5,-7.8,-7.1,-4.2,1.8,-18.3,8.7,-0.7
Quarterly,Growth rate on previous period (t/t-1),Rotterdam,:,3.8,-1.8,0.7,-2.4,5.6,-1.6,3.3,-3.4,4.2,6.4,-0.2,0.2,0.4,0.2,-7.3,-5.9,0.7,2.1,7.1,5.6,-1.4,1.4,-1.0,0.9,1.0,5.5,-6.8,4.7,0.4,-1.7,-1.1,0.9,2.5,0.3,-3.2,2.5,1.2,-0.2,0.4,3.5,3.2,-4.6,1.5,0.0,-3.3,3.4,0.8,1.7,-1.7,-3.1,0.1,5.1,-4.5,3.3,2.5,2.7,-6.1,-1.6,0.2,-3.1,-6.9,-2.7,9.5,2.9,-0.9,3.2,-0.2,-4.7,5.4,-0.8,-1.2,-4.0,-3.2,0.0,1.0,-0.4
Quarterly,Growth rate on previous period (t/t-1),Gdansk,:,-6.2,15.4,-16.6,15.9,-3.9,-8.3,-5.1,3.2,8.2,-12.4,-12.8,-11.7,24.4,5.0,-25.6,6.8,19.2,14.5,-10.1,20.0,20.0,0.9,-3.8,6.7,-16.5,-23.1,24.2,-18.9,1.3,56.2,4.4,-9.2,-17.6,29.5,-3.3,1.3,-11.1,7.9,15.0,-8.0,9.2,9.0,-15.4,0.2,5.3,5.9,-4.4,-7.6,7.9,1.0,33.6,5.8,-4.2,-10.8,10.3,1.4,20.2,-17.6,3.0,-11.2,3.4,5.8,-6.8,13.3,-10.1,4.7,21.7,0.6,9.5,15.6,17.5,5.7,-1.1,-1.6,-4.4,-7.2
