Time frequency,Interest rate,Geopolitical entity (reporting)\Time,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Annual,Day-to-day rate,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.19904,5.31688,4.34753,4.59432,7.47321,8.53677,9.1009,9.31943,7.20712,5.01271,4.35638,3.1894,3.26841,3.35726 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Belgium,6.26296,3.71271,2.5106,4.81348,9.25115,4.67564,8.31932,5.48455,5.23742,7.97956,11.22708,11.48455,11.43351,8.17077,9.48172,8.26696,6.62893,5.65734,5.0374,7.00638,8.30003,9.38238,9.36724,8.67964,5.49849,4.59329,3.20683,3.35921,3.51263 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,5.48529,6.11481,5.1551,3.52899,3.46233,4.20716,3.62101,2.9191,3.81,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Germany,:,:,:,10.23249,8.87666,4.40605,3.88861,4.13723,3.36066,5.88392,9.06391,11.26701,8.65762,5.36156,5.54538,5.18948,4.57318,3.72151,4.01219,6.59337,7.92438,8.84016,9.41557,7.48145,5.34153,4.50082,3.27352,3.18468,3.41321 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,4.58987,3.92751,3.0366,2.26386,2.0,1.97198,:,: m,: m,: m,: m,: m,:,:,:
Annual,Day-to-day rate,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.04,19.77,15.61,15.97,20.22,21.51,22.72,23.46,23.47,23.75,15.83,13.31,12.93,12.58,10.41,8.24 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Spain,:,:,:,:,9.61564,6.68052,9.96197,13.0995,20.88887,13.16394,15.46855,16.57942,17.21624,19.46405,12.57,11.60422,11.49699,16.0857,11.2927,14.4009,14.75685,13.19425,13.00956,12.24266,7.80715,8.98795,7.64423,5.48178,4.33315 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.18159,8.45251,10.27786,10.62792,14.87668,13.32254,7.7397,4.38729,5.24236,3.63068,2.85951,3.26115 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,France,:,:,:,8.7263,12.90756,7.91255,8.56014,9.05718,7.96882,9.00488,11.84358,15.32304,14.8709,12.53405,11.73814,9.93384,7.73712,7.97255,7.52503,9.07504,9.95293,9.4829,10.34995,8.73658,5.69195,6.36,3.72713,3.24121,3.35537 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Ireland,:,:,:,11.88504,13.91995,11.17345,11.31891,8.30121,9.42403,16.62553,16.9703,15.94756,17.27903,15.01553,12.37281,11.93581,11.82384,10.58082,7.70276,9.33847,11.53005,10.45625,15.63497,14.97666,5.32195,5.61025,5.22388,6.08195,5.77227 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.17221,11.96403,10.92071,11.81734,14.3835,10.24548,8.20019,10.08063,9.10003,7.01964,5.22649 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,7.02332,4.79172,4.10732,2.58129,2.10427,1.87904,2.12696,2.87984,4.37055,4.25954,1.35386,0.4866,0.94647,0.35314,0.18408,0.14707
Annual,Day-to-day rate,Luxembourg,6.26296,3.71271,2.5106,4.81348,9.25115,4.67564,8.31932,5.48455,5.23742,7.97956,11.22708,11.48455,11.43351,8.17077,9.48172,8.26696,6.62893,5.65734,5.0374,7.00638,8.30003,9.38238,9.36724,8.67964,5.49849,4.59329,3.20683,3.35921,3.51263 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,37.13,22.41,13.07,3.73,4.66,5.26,3.35,5.76,3.39,3.21,3.66,2.76,3.54,5.79,4.75,4.42,0.95,0.43,0.31,0.13,:
Annual,Day-to-day rate,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.1537,5.08096,4.8606,4.65719,4.44156,3.92616,3.34375,2.91738,3.11244,3.37482,4.10224,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Netherlands,:,:,:,4.94912,8.07474,3.61584,5.45779,3.55863,6.25044,9.04482,10.12314,11.02499,8.05142,5.28671,5.78642,6.3029,5.83159,5.16134,4.44497,6.99803,8.27433,9.00841,9.27011,7.08931,5.14008,4.21986,2.89158,3.06822,3.21123 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12.42074,12.34219,12.85033,13.73888,15.80923,17.54484,13.25033,10.84521,8.91058,7.37415,5.82545,4.33649 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.88252,5.50855,4.37399,3.70756,3.36696,: m,: m,: m,: m,: m,: m,:,:
Annual,Day-to-day rate,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,13.08455,5.69685,11.57426,20.10955,15.54984,11.70929,7.95538,7.34608,7.17726,5.94625,4.48404,2.73767,3.82748,3.82795,3.41131,: m,: m,: m,: m,:,:
