Time frequency,Thickness,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,From 15 to 49 microns,Number,Austria,97000000.0,69500000.0,1735996.0,:,:
Annual,From 15 to 49 microns,Number,Belgium,210362668.0,123676950.0,80911912.0,51026206.0,30432223.0
Annual,From 15 to 49 microns,Number,Cyprus,119575489.0,55997770.0,71463329.0,75433044.0,77598950.0
Annual,From 15 to 49 microns,Number,Czechia,182243000 de,129979000 de,98800026 d,87528361 d,95880307 d
Annual,From 15 to 49 microns,Number,Germany,991000000.0,878000000.0,674000000.0,453000000.0,389000000.0
Annual,From 15 to 49 microns,Number,Estonia,77107740.0,69344963.0,:,:,56992515.0
Annual,From 15 to 49 microns,Number,Greece,643720894.0,485331020.0,:,505175420.0,586255248.0
Annual,From 15 to 49 microns,Number,Spain,4206661267.0,2470152448.0,2776067445.0,1381246505.0,964794008.0
Annual,From 15 to 49 microns,Number,Finland,371034483.0,328904762.0,292910359.0,302401925.0,309606399.0
Annual,From 15 to 49 microns,Number,France,:,:,1412136396.0,:,267703360 b
Annual,From 15 to 49 microns,Number,Croatia,:,:,77401867 d,101964515 d,29884463 d
Annual,From 15 to 49 microns,Number,Hungary,877824217.0,646725405.0,548774024.0,724742856 b,56195470.0
Annual,From 15 to 49 microns,Number,Ireland,29407786.0,24827804.0,15938563.0,15255158.0,8327471.0
Annual,From 15 to 49 microns,Number,Liechtenstein,:,:,:,:,190758.0
Annual,From 15 to 49 microns,Number,Lithuania,148297983.0,144556317.0,123115349.0,120945275.0,115614103.0
Annual,From 15 to 49 microns,Number,Luxembourg,22025014.0,14091804.0,13084068.0,13225579.0,12879057.0
Annual,From 15 to 49 microns,Number,Latvia,157605333 e,136052533 e,108901133 e,89861863.0,79419268.0
Annual,From 15 to 49 microns,Number,Netherlands,:,:,:,:,260000000.0
Annual,From 15 to 49 microns,Number,Norway,:,:,:,:,922451690.0
Annual,From 15 to 49 microns,Number,Sweden,787542418.0,761260112.0,567534610.0,142922859.0,175599151.0
Annual,From 15 to 49 microns,Number,Slovenia,30092714.0,24145788.0,22702223.0,27298710.0,27798457.0
Annual,From 15 to 49 microns,Number,Slovakia,91147588.0,72094767.0,89585362.0,54509757.0,38057269.0
Annual,From 15 to 49 microns,Number per inhabitant,Austria,11.0,7.8,0.2,:,:
Annual,From 15 to 49 microns,Number per inhabitant,Belgium,18.4,10.8,7.0,4.4,2.6
Annual,From 15 to 49 microns,Number per inhabitant,Cyprus,137.4,63.5,80.1,83.8,85.0
Annual,From 15 to 49 microns,Number per inhabitant,Czechia,17.1 de,12.2 de,9.2 d,8.3 d,9 d
Annual,From 15 to 49 microns,Number per inhabitant,Germany,12.0,10.6,8.1,5.4,4.6
Annual,From 15 to 49 microns,Number per inhabitant,Estonia,58.3,52.3,:,:,42.3
Annual,From 15 to 49 microns,Number per inhabitant,Greece,60.0,45.3,:,47.8,56.2
Annual,From 15 to 49 microns,Number per inhabitant,Spain,89.9,52.4,58.6,29.1,20.2
Annual,From 15 to 49 microns,Number per inhabitant,Finland,67.3,59.6,53.0,54.6,55.7
Annual,From 15 to 49 microns,Number per inhabitant,France,:,:,20.9,:,3.9 b
Annual,From 15 to 49 microns,Number per inhabitant,Croatia,:,:,19.8 d,26.3 d,7.7 d
Annual,From 15 to 49 microns,Number per inhabitant,Hungary,90.4,66.7,56.7,75.3 b,5.9
Annual,From 15 to 49 microns,Number per inhabitant,Ireland,6.0,5.0,3.2,3.0,1.6
Annual,From 15 to 49 microns,Number per inhabitant,Liechtenstein,:,:,:,:,4.8
Annual,From 15 to 49 microns,Number per inhabitant,Lithuania,52.6,51.4,43.8,43.1,40.8
Annual,From 15 to 49 microns,Number per inhabitant,Luxembourg,36.2,22.7,20.8,20.7,19.7
Annual,From 15 to 49 microns,Number per inhabitant,Latvia,81.8 e,71.1 e,57.3 e,47.7,42.3
Annual,From 15 to 49 microns,Number per inhabitant,Netherlands,:,:,:,:,14.7
Annual,From 15 to 49 microns,Number per inhabitant,Norway,:,:,:,:,169.0
Annual,From 15 to 49 microns,Number per inhabitant,Sweden,77.4,74.1,54.8,13.7,16.7
Annual,From 15 to 49 microns,Number per inhabitant,Slovenia,14.5,11.6,10.8,12.9,13.2
Annual,From 15 to 49 microns,Number per inhabitant,Slovakia,16.7,13.2,16.4,10.0,7.0
Annual,50 microns or over,Number,Belgium,:,:,:,19231786 e,14006604 e
Annual,50 microns or over,Number,Cyprus,:,:,:,:,10593180.0
Annual,50 microns or over,Number,Czechia,:,:,:,:,: d
Annual,50 microns or over,Number,Germany,:,222000000.0,120000000.0,133000000.0,125000000.0
Annual,50 microns or over,Number,Greece,95986579.0,231184141.0,:,136634903.0,185432396.0
Annual,50 microns or over,Number,Spain,541663711.0,1137811334.0,1792779320.0,3266432756.0,3409884879.0
Annual,50 microns or over,Number,Croatia,:,:,8693081 d,26384243 d,81531684 d
Annual,50 microns or over,Number,Hungary,46961186.0,38363786.0,36970236.0,41745921.0,54595821.0
Annual,50 microns or over,Number,Latvia,:,2915400 e,2333600 e,20480000.0,28890000.0
Annual,50 microns or over,Number,Netherlands,:,:,:,:,33000000.0
Annual,50 microns or over,Number,Poland,:,630839715.0,643283041.0,607975839.0,623758535.0
Annual,50 microns or over,Number,Portugal,:,:,:,135855439.0,132751349.0
Annual,50 microns or over,Number,Romania,22871025.0,41811154.0,:,:,:
Annual,50 microns or over,Number,Sweden,62378293.0,37914671.0,26605696.0,8495586.0,10915165.0
Annual,50 microns or over,Number,Slovenia,10632698.0,8063972.0,2118818.0,3145175.0,2844658.0
Annual,50 microns or over,Number,Slovakia,42020996.0,33750891.0,20724300.0,21129334.0,26606965.0
Annual,50 microns or over,Number per inhabitant,Belgium,:,:,:,1.7 e,1.2 e
Annual,50 microns or over,Number per inhabitant,Cyprus,:,:,:,:,11.6
Annual,50 microns or over,Number per inhabitant,Czechia,:,:,:,:,: d
Annual,50 microns or over,Number per inhabitant,Germany,:,2.7,1.4,1.6,1.5
Annual,50 microns or over,Number per inhabitant,Greece,8.9,21.6,:,12.9,17.8
Annual,50 microns or over,Number per inhabitant,Spain,11.6,24.1,37.9,68.8,71.4
Annual,50 microns or over,Number per inhabitant,Croatia,:,:,2.2 d,6.8 d,21.1 d
Annual,50 microns or over,Number per inhabitant,Hungary,4.8,4.0,3.8,4.3,5.7
Annual,50 microns or over,Number per inhabitant,Latvia,:,1.5 e,1.2 e,10.9,15.4
Annual,50 microns or over,Number per inhabitant,Netherlands,:,:,:,:,1.9
Annual,50 microns or over,Number per inhabitant,Poland,:,16.6,17.0,16.4,16.9
Annual,50 microns or over,Number per inhabitant,Portugal,:,:,:,13.1,12.7
Annual,50 microns or over,Number per inhabitant,Romania,1.2,2.2,:,:,:
Annual,50 microns or over,Number per inhabitant,Sweden,6.1,3.7,2.6,0.8,1.0
Annual,50 microns or over,Number per inhabitant,Slovenia,5.1,3.9,1.0,1.5,1.3
Annual,50 microns or over,Number per inhabitant,Slovakia,7.7,6.2,3.8,3.9,4.9
Annual,Less than 15 microns,Number,Austria,360000000.0,261000000.0,222582814.0,:,128059039.0
Annual,Less than 15 microns,Number,Belgium,111470285.0,74280431.0,32424483.0,12031663.0,15175225.0
Annual,Less than 15 microns,Number,Cyprus,84308477.0,79938850.0,72993124.0,74121970.0,70639300.0
Annual,Less than 15 microns,Number,Czechia,1970869000 de,2509989000 de,2590896459 d,1900621048 d,1883389298 d
Annual,Less than 15 microns,Number,Germany,3749000000.0,3646000000.0,3052000000.0,2744000000.0,2518000000.0
Annual,Less than 15 microns,Number,Estonia,160661124.0,132431037.0,:,:,110243545.0
Annual,Less than 15 microns,Number,Greece,553112090.0,729294037.0,:,422229036.0,286973943.0
Annual,Less than 15 microns,Number,Spain,4503870720.0,4683718331.0,6056477258.0,4844410187.0,3556240010.0
Annual,Less than 15 microns,Number,Finland,498400000.0,483793103.0,404197952.0,405418381.0,347091027.0
Annual,Less than 15 microns,Number,France,:,:,3331612643.0,:,2915564418.0
Annual,Less than 15 microns,Number,Croatia,:,:,287738137 d,322201809 d,343097455 d
Annual,Less than 15 microns,Number,Hungary,200360670.0,199375433.0,336114426.0,637504946 b,783545186.0
Annual,Less than 15 microns,Number,Ireland,229500000.0,229500000.0,229500000.0,229500000.0,229500000.0
Annual,Less than 15 microns,Number,Liechtenstein,:,:,:,:,447000.0
Annual,Less than 15 microns,Number,Lithuania,755255949.0,781689907.0,697357131.0,637258300.0,590207503.0
Annual,Less than 15 microns,Number,Luxembourg,45204724.0,24816320.0,3302841.0,2186139.0,2475429.0
Annual,Less than 15 microns,Number,Latvia,472816000 e,408157500 e,326703500 e,293627119.0,282557454.0
Annual,Less than 15 microns,Number,Netherlands,:,:,:,:,403000000.0
Annual,Less than 15 microns,Number,Norway,:,:,:,:,270000000.0
Annual,Less than 15 microns,Number,Sweden,772847852.0,770470420.0,496765240.0,22344625.0,30534023.0
Annual,Less than 15 microns,Number,Slovenia,134309754.0,127788059.0,132224935.0,144422489.0,129567060.0
Annual,Less than 15 microns,Number,Slovakia,611047032.0,498702889.0,417808311.0,380245924.0,373374685.0
Annual,Less than 15 microns,Number per inhabitant,Austria,40.7,29.4,25.0,:,14.2
Annual,Less than 15 microns,Number per inhabitant,Belgium,9.8,6.5,2.8,1.0,1.3
Annual,Less than 15 microns,Number per inhabitant,Cyprus,96.9,90.6,81.8,82.3,77.4
Annual,Less than 15 microns,Number per inhabitant,Czechia,185.4 de,235.2 de,242.2 d,180.9 d,176.5 d
Annual,Less than 15 microns,Number per inhabitant,Germany,45.2,43.9,36.7,33.0,30.0
Annual,Less than 15 microns,Number per inhabitant,Estonia,121.5,99.8,:,:,81.7
Annual,Less than 15 microns,Number per inhabitant,Greece,51.5,68.0,:,39.9,27.5
Annual,Less than 15 microns,Number per inhabitant,Spain,96.3,99.4,127.9,102.1,74.4
Annual,Less than 15 microns,Number per inhabitant,Finland,90.4,87.6,73.1,73.2,62.5
Annual,Less than 15 microns,Number per inhabitant,France,:,:,49.3,:,42.8
Annual,Less than 15 microns,Number per inhabitant,Croatia,:,:,73.5 d,83.1 d,89 d
Annual,Less than 15 microns,Number per inhabitant,Hungary,20.6,20.6,34.8,66.2 b,81.6
Annual,Less than 15 microns,Number per inhabitant,Ireland,46.9,46.1,45.5,44.9,44.0
Annual,Less than 15 microns,Number per inhabitant,Liechtenstein,:,:,:,:,11.3
Annual,Less than 15 microns,Number per inhabitant,Lithuania,267.9,278.1,248.1,226.9,208.4
Annual,Less than 15 microns,Number per inhabitant,Luxembourg,74.4,40.0,5.2,3.4,3.8
Annual,Less than 15 microns,Number per inhabitant,Latvia,245.3 e,213.3 e,171.9 e,155.8,150.3
Annual,Less than 15 microns,Number per inhabitant,Netherlands,:,:,:,:,22.8
Annual,Less than 15 microns,Number per inhabitant,Norway,:,:,:,:,49.5
Annual,Less than 15 microns,Number per inhabitant,Sweden,76.0,75.0,48.0,2.1,2.9
