Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,AL,:,:,:,0.0000 e,0.0000 e,25.0000 e,0.0000 e
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,AT,15.7,18.3,16.1,16.3,16.5,15.7,16.0
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,BA,20.688,20.87,23.7793,27.2887,25.978,26.5221,28.4435
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,BE,17.0953,16.9646,17.5558,16.5243,16.7225,14.9753,16.8645
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,BG,18.5,17.5394,21.6233,18.8737,18.2505,21.0914,18.8069
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,CY,:,33.7692,33.7251,35.6112,34.4858,33.8248,34.6356
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,CZ,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,DE,:,: u,20.0,19.78,18.2,18.24,18.4
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,DK,21.0,23.0,24.0,21.0,23.0,23.0,22.0
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,EA,:,: u,:,:,:,:,:
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,EE,19.3314,17.5151,16.3925,19.3536,22.7251,21.2649,29.0239
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,EL,25.87,13.28,13.0,19.5696,18.25,25.14,23.3237
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,ES,:,:,24.2198,23.3092,19.7,20.6,22.181
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,EU27_2020,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,FI,34.43,23.73,20.0,21.0,21.1487,23.31,24.813
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,FR,27.0407,26.9941,27.5785,28.0746,27.893,28.7274,29.2156
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,GE,:,13.5,33.1,34.1,39.7,41.3,43.5
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,HR,29.09,28.79,29.31,29.0968,29.0552,29.1064,29.1956
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,HU,16.6738,16.5587,16.5611,16.5573,15.8942,16.207,16.6961
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,IE,28.1388,27.4388,26.2616,26.5846,23.4008,23.942,22.0265
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,IS,:,25.4300 e,20.2884 e,24.0000 e,14.5000 e,18.8000 e,20.3400 e
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,IT,:,29.1467,28.0721,27.61,27.441,27.99,27.8197
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,LT,19.0807,19.2392,20.1423,17.2122,15.415,14.6006,15.6061
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,LU,16.93,14.49,15.05,15.48,15.58,17.5,18.3
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,LV,23.36,18.05,17.59,32.68,32.29,32.53,33.3
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,MD,36.8294,35.1565,36.8819,34.2408,25.8046,29.9622,29.4651
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,ME,:,:,:,:,23.1908,38.8855,41.5397
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,MK,:,17.8478,19.3022,21.8033,15.4386,22.3863,22.3863
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,MT,31.3501,31.6825,28.3723,28.417,28.5878,29.435,29.3999
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,NL,21.0,23.0,12.0,16.0,17.0,18.0,18.0
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,NO,23.23,23.2312,14.536,9.6839,12.6288,14.216,16.4792
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,PL,20.4734,21.337,21.567,21.056,21.0179,20.8125,21.4674
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,PT,29.6594,27.674,29.5,24.925,24.919,26.694,26.622
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,RO,13.4056,13.4054,13.8318,14.1871,13.9976,16.7373,18.3467
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,RS,14.86,18.8731,16.4762,17.7799,16.1243,14.4662,15.1441
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,SE,24.4,24.4,24.4,24.9,24.9,24.9,25.8118
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,SI,19.0,19.0,19.3522,19.9,20.5886,21.8912,23.1568
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,SK,21.4,21.5,21.1,22.1,20.3,21.3,20.8
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,TR,6.5322,7.4987,9.8725,8.0512,7.0374,7.4304,6.6198
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,UA,:,16.1135,20.078,21.3233,:,:,:
Annual,Consumption from 20 MWh to 499 MWh - band IB,6000.0,PC,XK,3.2305,4.058,8.8723,10.4139,11.5426,17.9892,13.6423
Annual,Consumption from 2 000 MWh to 19 999 MWh - band ID,6000.0,PC,AL,:,:,:,0.0000 e,0.0000 e,0.0,0.0000 e
Annual,Consumption from 2 000 MWh to 19 999 MWh - band ID,6000.0,PC,AT,23.6,26.2,24.3,24.0,23.9,22.6,23.4
