Time frequency,Vehicles,Unit of measure,Motor energy,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Mopeds,Number,Fossil fuel,Albania,:,:,:,:,:,:,:,3286.0,3320.0,4005.0,4729.0,5310.0
Annual,Mopeds,Number,Fossil fuel,Austria,:,16675.0,14938.0,13535.0,13181.0,14552.0,10285.0,11098.0,12067.0,9958.0,8517.0,9214.0
Annual,Mopeds,Number,Fossil fuel,Bosnia and Herzegovina,:,626.0,479.0,474.0,394.0,622.0,766.0,693.0,787.0,811.0,1065.0,823.0
Annual,Mopeds,Number,Fossil fuel,Belgium,:,1153.0,9760.0,16121.0,87593.0,57484.0,30970.0,22958.0,25537.0,21555.0,20635.0,20262 i
Annual,Mopeds,Number,Fossil fuel,Cyprus,:,188.0,175.0,144.0,179.0,187.0,195.0,110.0,43.0,49.0,33.0,39.0
Annual,Mopeds,Number,Fossil fuel,Czechia,:,:,:,:,:,:,:,:,:,3.0,:,:
Annual,Mopeds,Number,Fossil fuel,Germany,:,:,:,:,:,179.0,240.0,257.0,304.0,265.0,:,286.0
Annual,Mopeds,Number,Fossil fuel,Estonia,:,651.0,731.0,657.0,612.0,588.0,637.0,499.0,392.0,320.0,316.0,273.0
Annual,Mopeds,Number,Fossil fuel,Spain,:,:,:,:,16904.0,20203.0,13303.0,14999.0,17984.0,14127.0,11405.0,10468.0
Annual,Mopeds,Number,Fossil fuel,Finland,:,8337.0,7302.0,7161.0,5474.0,7161.0,4453.0,4448.0,5655.0,3436.0,3120.0,2613.0
Annual,Mopeds,Number,Fossil fuel,France,:,105598.0,97593.0,88639.0,87549.0,107467.0,65791.0,81633.0,93329.0,84811.0,71841.0,61001.0
Annual,Mopeds,Number,Fossil fuel,Croatia,:,:,:,2491.0,2645.0,2496.0,3057.0,2331.0,1738.0,289.0,721.0,852.0
Annual,Mopeds,Number,Fossil fuel,Ireland,:,153.0,161.0,237.0,207.0,151.0,208.0,217.0,120.0,100.0,85.0,62.0
Annual,Mopeds,Number,Fossil fuel,Iceland,:,:,:,:,:,17.0,16.0,9.0,299.0,81.0,:,:
Annual,Mopeds,Number,Fossil fuel,Lithuania,:,985.0,890.0,706.0,588.0,642.0,289.0,261.0,174.0,157.0,198.0,166.0
Annual,Mopeds,Number,Fossil fuel,Luxembourg,:,:,:,:,:,:,:,190.0,239.0,175.0,161.0,99.0
Annual,Mopeds,Number,Fossil fuel,Latvia,:,:,1218.0,1001.0,933.0,1266.0,622.0,584.0,422.0,393.0,363.0,216.0
Annual,Mopeds,Number,Fossil fuel,Malta,:,16.0,23.0,12.0,24.0,17.0,11.0,28.0,6.0,16.0,52.0,24.0
Annual,Mopeds,Number,Fossil fuel,Netherlands,:,13948.0,15927.0,17514.0,16984.0,19393.0,13163.0,17111.0,18328.0,16117.0,18497.0,15665.0
Annual,Mopeds,Number,Fossil fuel,Norway,:,:,:,:,5719.0,4923.0,3771.0,2628.0,2451.0,1936.0,1791.0,1421.0
Annual,Mopeds,Number,Fossil fuel,Poland,:,48755 i,40718 i,30427 i,23890 i,29637 i,:,:,:,:,8663 i,:
Annual,Mopeds,Number,Fossil fuel,Portugal,:,:,:,:,:,3215.0,2636.0,2307.0,1958.0,1736.0,1583.0,1275.0
Annual,Mopeds,Number,Fossil fuel,Romania,:,:,:,:,:,:,:,13.0,11.0,8.0,:,:
Annual,Mopeds,Number,Fossil fuel,Serbia,:,:,:,:,:,:,:,2067.0,1946.0,1814.0,2971.0,2716.0
Annual,Mopeds,Number,Fossil fuel,Sweden,:,7160.0,7928.0,9629.0,10944.0,19282.0,6229.0,10140.0,18198.0,5222.0,6678.0,6482 b
Annual,Mopeds,Number,Fossil fuel,Slovenia,:,:,:,:,:,:,:,:,:,:,:,4517.0
Annual,Mopeds,Number,Fossil fuel,Türkiye,:,553.0,410.0,476.0,717.0,10278.0,38011.0,49821.0,88706.0,98020.0,160428.0,303038.0
Annual,Mopeds,Number,Fossil fuel,Ukraine,:,:,:,:,:,:,:,70.0,66.0,131.0,67.0,70.0
Annual,Mopeds,Number,Fossil fuel,United Kingdom,:,:,:,7843.0,7284.0,5538.0,3476.0,:,:,2782.0,2655.0,2115.0
Annual,Mopeds,Number,Total,Albania,:,:,:,:,:,:,:,3303.0,3409.0,4092.0,4772.0,5405.0
Annual,Mopeds,Number,Total,Austria,:,17055.0,15281.0,13854.0,13813.0,15862.0,12101.0,13026.0,13977.0,12588.0,11038.0,10914.0
Annual,Mopeds,Number,Total,Bosnia and Herzegovina,:,626.0,479.0,474.0,403.0,635.0,769.0,701.0,793.0,823.0,1079.0,838.0
Annual,Mopeds,Number,Total,Belgium,:,1224.0,10008.0,16747.0,90939.0,64365.0,42320.0,40437.0,40682.0,38690.0,42378.0,41168 i
Annual,Mopeds,Number,Total,Bulgaria,:,1272.0,1078.0,807.0,776.0,1034.0,832.0,1042.0,444.0,458.0,708.0,743.0
Annual,Mopeds,Number,Total,Cyprus,:,198.0,190.0,147.0,183.0,243.0,297.0,269.0,232.0,233.0,217.0,295.0
Annual,Mopeds,Number,Total,Czechia,:,:,:,:,:,:,:,:,:,16.0,355.0,494.0
Annual,Mopeds,Number,Total,Germany,:,:,:,:,:,200.0,262.0,315.0,504.0,345.0,22701.0,6681.0
Annual,Mopeds,Number,Total,Denmark,:,8924.0,8267.0,7987.0,8579.0,15376.0,5571.0,6090.0,8567.0,7853.0,7591.0,6581.0
Annual,Mopeds,Number,Total,Estonia,:,662.0,749.0,685.0,637.0,620.0,664.0,562.0,497.0,514.0,455.0,363.0
Annual,Mopeds,Number,Total,Greece,:,:,:,1274.0,:,:,:,:,:,:,1151 e,1093.0
Annual,Mopeds,Number,Total,Spain,:,15203.0,16411.0,17948.0,17298.0,21276.0,16449.0,19436.0,21913.0,17853.0,15980.0,14894.0
Annual,Mopeds,Number,Total,Finland,:,8427.0,7349.0,7238.0,5576.0,7457.0,4927.0,5203.0,6894.0,4380.0,4255.0,3331.0
Annual,Mopeds,Number,Total,France,:,106733.0,98884.0,90593.0,93234.0,115194.0,76006.0,95788.0,104974.0,106774.0,103458.0,86133.0
Annual,Mopeds,Number,Total,Georgia,:,:,:,:,:,:,:,:,:,:,:,102.0
Annual,Mopeds,Number,Total,Croatia,:,3158.0,3428.0,2640.0,2705.0,2581.0,3381.0,2921.0,2109.0,531.0,1111.0,1323.0
