Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,Algeria,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e,9 e
Annual,Number,Egypt,9 d,9 d,9 d,9 d,9 d,9 d,9 d,9 d,9 d,12 d,12 d,12 d,12 d,12 d,12 d,12 d,:,:,:
Annual,Number,Israel,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,:
Annual,Number,Jordan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,:,:,:,:,:
Annual,Number,Lebanon,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,:
Annual,Number,Libya,9.0,9.0,9.0,9.0,:,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,:
Annual,Number,Morocco,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,:
Annual,Number,Palestine*,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Annual,Number,Tunisia,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
