Annual,Geneva Convention status,Percentage,Slovakia,0.0,11.1,0.0,0.0,5.6,0.0,0.0,0.0,13.6,0.0,8.0,9.4,0.0,31.3,40.0,70.0
Annual,Humanitarian status,Percentage,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.3,5.5,4.8,4.0,6.1,12.9,18.2,15.4,6.0
Annual,Humanitarian status,Percentage,Switzerland,8.3,8.8,7.6,7.9,5.7,4.4,4.1,2.7,1.9,2.3,3.7,2.4,4.6,3.6,2.9,3.0
Annual,Humanitarian status,Percentage,Cyprus,0.7,1.7,2.7,1.4,1.7,2.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Czechia,0.0,5.5,5.4,1.6,0.0,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Germany,9.1,11.0,13.0,5.5,6.0,5.6,3.9,1.7,1.6,6.8,10.9,10.9,15.5,17.2,19.4,7.2
Annual,Humanitarian status,Percentage,Denmark,0.6,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,1.2,0.0
Annual,Humanitarian status,Percentage,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Greece,1.1,0.0,0.0,21.7,15.4,9.4,10.1,1.8,39.2,10.0,4.5,5.2,1.6,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Spain,0.0,0.0,0.0,0.0,2.6,0.4,1.2,0.2,0.8,1.0,0.8,11.6,27.1,2.3,1.0,0.9
Annual,Humanitarian status,Percentage,European Union - 27 countries (from 2020),:,:,:,:,2.9,2.8,2.9,1.9,4.6,4.8,10.2,8.9,10.3,11.2,12.7,7.8
Annual,Humanitarian status,Percentage,Finland,23.9,14.5,24.3,19.2,13.4,8.7,8.2,3.2,3.2,3.7,6.2,7.0,3.7,4.0,10.2,7.0
Annual,Humanitarian status,Percentage,Hungary,0.0,0.7,0.0,0.9,1.2,0.0,0.6,0.0,0.0,:,:,:,:,:,:,:
Annual,Humanitarian status,Percentage,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.6,13.6,63.6,37.0,38.8
Annual,Humanitarian status,Percentage,Iceland,0.0,9.4,0.0,100.0,0.0,1.5,6.9,21.7,7.8,9.2,10.4,6.0,30.2,4.9,3.7,23.7
Annual,Humanitarian status,Percentage,Italy,0.0,0.0,13.2,17.4,38.2,6.4,7.1,27.3,20.7,4.0,28.0,22.3,26.4,48.3,55.8,62.9
Annual,Humanitarian status,Percentage,Liechtenstein,:,2.7,1.7,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Malta,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,0.0
Annual,Humanitarian status,Percentage,Netherlands,21.7,12.6,14.6,10.6,3.5,9.9,6.8,7.7,5.6,5.3,7.8,5.8,4.3,7.2,9.4,7.2
Annual,Humanitarian status,Percentage,Norway,12.9,3.6,1.7,3.9,4.5,4.6,7.2,12.3,4.6,5.8,6.7,9.4,12.4,16.7,20.4,16.3
Annual,Humanitarian status,Percentage,Poland,10.4,16.8,12.6,1.8,2.8,2.1,0.0,0.7,1.3,1.1,0.9,0.0,0.6,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Humanitarian status,Percentage,Sweden,2.0,3.4,2.0,4.9,4.5,5.4,6.3,12.2,7.2,1.7,5.5,10.5,1.7,1.4,2.5,1.7
Annual,Humanitarian status,Percentage,Slovakia,0.0,2.8,0.6,0.0,0.0,0.0,3.4,8.0,4.5,0.0,4.0,3.1,27.8,0.0,10.0,0.0
Annual,International protection status,Percentage,Austria,23.8,15.0,13.6,19.1,19.4,20.8,69.8,50.8,34.2,51.6,50.1,49.6,48.7,49.7,51.9,59.0
Annual,International protection status,Percentage,Belgium,7.8,3.8,3.5,4.5,2.6,3.7,5.9,5.5,6.5,6.2,9.1,7.8,4.8,9.9,5.3,10.6
Annual,International protection status,Percentage,Bulgaria,33.3,21.6,57.1,81.0,95.8,92.7,86.4,58.3,65.4,47.6,56.8,67.7,89.5,100.0,100.0,77.8
Annual,International protection status,Percentage,Switzerland,3.8,3.1,2.5,1.8,2.1,1.9,2.5,3.9,5.4,6.5,6.1,6.3,7.0,7.7,5.9,2.6
Annual,International protection status,Percentage,Cyprus,0.5,1.3,1.0,0.7,1.4,6.7,44.2,50.0,48.6,15.4,2.7,2.2,0.2,0.6,0.2,0.9
Annual,International protection status,Percentage,Czechia,3.1,0.5,5.9,49.7,5.5,4.3,2.8,0.5,2.9,0.5,2.5,4.4,2.7,13.6,18.9,9.1
Annual,International protection status,Percentage,Germany,16.0,23.1,18.7,8.3,11.0,10.7,11.9,6.1,7.6,33.5,32.5,24.1,20.0,19.2,21.8,20.4
Annual,International protection status,Percentage,Denmark,33.7,29.7,26.5,18.9,27.4,33.1,16.2,21.2,19.6,18.7,17.0,15.9,19.6,14.8,30.4,47.8
Annual,International protection status,Percentage,Estonia,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,21.2,0.0,2.2
Annual,International protection status,Percentage,Greece,25.7,2.0,89.1,44.0,16.8,14.0,14.4,22.3,7.5,6.3,3.8,4.9,4.4,11.9,6.3,6.9
Annual,International protection status,Percentage,Spain,2.5,1.8,1.0,2.0,1.0,1.6,0.2,1.4,3.1,3.7,6.2,1.1,4.5,2.6,15.3,7.4
Annual,International protection status,Percentage,European Union - 27 countries (from 2020),:,:,:,:,13.2,13.4,15.0,11.1,11.6,26.7,24.4,20.5,18.4,19.6,19.9,19.0
Annual,International protection status,Percentage,Finland,63.0,66.1,36.5,42.5,27.7,14.2,14.5,10.7,9.8,12.0,23.8,21.5,23.5,40.8,53.1,15.5
Annual,International protection status,Percentage,France,25.9,27.4,22.9,17.7,15.7,14.5,15.7,15.6,15.5,16.8,18.8,21.0,24.5,22.4,21.8,20.8
Annual,International protection status,Percentage,Croatia,:,:,:,:,24.4,0.0,0.0,1.2,0.0,20.0,22.1,12.0,26.3,19.0,20.6,34.4
Annual,International protection status,Percentage,Hungary,1.8,4.6,13.7,14.2,26.6,8.6,4.3,8.8,0.8,:,:,:,:,:,:,:
Annual,International protection status,Percentage,Ireland,11.8,7.6,4.7,5.7,6.8,9.5,45.0,42.3,44.0,22.2,35.5,34.3,45.7,35.6,22.3,34.5
Annual,International protection status,Percentage,Iceland,10.0,3.1,10.0,0.0,0.0,7.4,3.4,29.0,4.6,9.9,13.4,14.9,33.8,15.4,17.1,1.3
Annual,International protection status,Percentage,Italy,0.0,3.1,4.6,4.4,25.8,71.3,76.8,54.5,28.2,22.5,12.1,13.3,14.3,14.8,16.5,13.6
Annual,International protection status,Percentage,Liechtenstein,:,0.0,0.0,23.6,26.1,0.0,0.0,10.0,0.0,14.3,1.9,0.0,27.3,0.0,0.0,0.0
Annual,International protection status,Percentage,Lithuania,2.8,9.3,1.6,6.5,0.9,19.4,37.5,0.0,0.0,17.9,15.4,0.0,21.4,14.0,38.1,69.2
Annual,International protection status,Percentage,Luxembourg,11.5,15.3,17.2,13.3,0.6,1.5,1.6,5.3,1.3,0.9,1.6,0.6,1.9,0.6,0.5,9.1
Annual,International protection status,Percentage,Latvia,0.0,20.0,5.9,42.9,12.5,14.5,2.7,11.3,29.5,13.6,5.0,27.4,3.5,26.2,22.4,17.4
Annual,International protection status,Percentage,Malta,0.4,0.0,0.6,0.4,4.1,1.4,13.2,19.1,19.6,13.1,0.9,4.4,1.4,0.0,0.5,2.0
Annual,International protection status,Percentage,Netherlands,29.8,24.9,35.4,45.7,54.4,46.7,41.5,47.1,52.0,53.3,52.4,42.2,42.2,48.7,57.4,49.3
Annual,International protection status,Percentage,Norway,1.9,1.4,2.4,4.3,7.1,5.0,4.2,6.3,3.8,4.8,6.4,9.4,5.5,11.5,10.4,10.5
Annual,International protection status,Percentage,Poland,5.5,75.2,32.4,2.5,4.4,2.7,1.5,2.2,5.1,1.7,3.2,1.4,0.4,0.6,0.4,2.2
Annual,International protection status,Percentage,Portugal,0.0,:,5.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,International protection status,Percentage,Romania,18.3,14.2,21.1,8.4,12.4,59.6,20.6,42.3,14.5,44.6,28.8,23.8,31.4,23.0,26.6,23.2
Annual,International protection status,Percentage,Sweden,5.4,9.5,7.8,8.9,13.6,12.9,11.8,11.0,19.0,11.7,8.9,6.6,4.9,6.7,6.6,5.8
Annual,International protection status,Percentage,Slovenia,0.0,0.0,0.0,2.9,0.0,3.3,2.9,13.9,8.3,0.0,2.4,15.7,3.0,5.4,12.5,2.1
Annual,International protection status,Percentage,Slovakia,12.5,38.9,1.7,71.4,12.5,4.4,1.7,0.0,13.6,0.0,12.0,9.4,0.0,46.9,40.0,100.0
Annual,Negative decision,Percentage,Austria,76.2,85.0,86.4,80.9,80.6,79.2,29.8,46.9,60.3,43.6,45.9,44.3,38.3,32.0,32.7,34.9
Annual,Negative decision,Percentage,Belgium,92.2,96.2,96.5,95.5,97.4,96.3,94.1,94.5,93.5,93.8,90.9,92.2,95.2,90.1,94.7,89.4
Annual,Negative decision,Percentage,Bulgaria,66.7,78.4,42.9,19.0,4.2,7.3,13.6,41.7,34.6,52.4,43.2,32.3,10.5,0.0,0.0,22.2
Annual,Negative decision,Percentage,Switzerland,87.9,88.2,89.9,90.3,92.2,93.7,93.4,93.3,92.7,91.2,90.2,91.3,88.3,88.7,91.2,94.4
Annual,Negative decision,Percentage,Cyprus,98.7,97.0,96.4,98.0,97.0,90.9,55.0,50.0,51.4,84.6,97.3,97.8,99.8,99.4,99.8,99.1
Annual,Negative decision,Percentage,Czechia,96.9,94.0,88.8,48.7,94.5,95.0,94.1,99.5,97.1,99.5,97.5,95.6,97.3,86.4,81.1,90.9
Annual,Negative decision,Percentage,Germany,74.9,65.9,68.3,86.3,82.9,83.8,84.2,92.2,90.9,59.7,56.6,65.0,64.5,63.6,58.8,72.4
Annual,Negative decision,Percentage,Denmark,65.7,70.3,73.4,81.1,72.5,66.8,83.8,78.8,80.4,81.3,82.8,84.1,80.2,85.2,68.4,52.2
Annual,Negative decision,Percentage,Estonia,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.3,78.8,100.0,97.8
Annual,Negative decision,Percentage,Greece,73.2,98.0,10.9,34.3,67.8,76.6,75.5,75.9,53.3,83.7,91.7,89.9,94.0,88.1,93.7,93.1
Annual,Negative decision,Percentage,Spain,97.5,98.2,99.0,98.0,96.4,98.0,98.6,98.4,96.1,95.3,93.0,87.4,68.4,95.1,83.7,91.6
Annual,Negative decision,Percentage,European Union - 27 countries (from 2020),:,:,:,:,83.8,83.8,82.2,87.0,83.8,68.4,65.3,70.6,71.4,69.3,67.4,73.2
Annual,Negative decision,Percentage,Finland,13.0,19.4,39.1,38.3,58.9,77.1,77.3,86.0,87.1,84.3,70.0,71.5,72.8,55.2,36.7,77.5
Annual,Negative decision,Percentage,France,74.1,72.6,77.1,82.3,84.3,85.5,84.3,84.4,84.5,83.2,81.2,79.0,75.5,77.6,78.2,79.2
Annual,Negative decision,Percentage,Croatia,:,:,:,:,75.6,100.0,100.0,98.8,100.0,80.0,77.9,88.0,73.7,81.0,79.4,65.6
Annual,Negative decision,Percentage,Hungary,98.2,94.7,86.3,84.9,72.2,91.4,95.1,91.2,99.2,:,:,:,:,:,:,:
Annual,Negative decision,Percentage,Ireland,88.2,92.4,95.3,94.3,93.2,90.5,55.0,57.7,56.0,77.8,58.4,51.1,40.7,0.8,40.7,26.7
Annual,Negative decision,Percentage,Iceland,90.0,87.5,90.0,0.0,100.0,91.2,89.7,49.3,87.6,81.0,76.2,79.1,36.0,79.7,79.3,75.0
Annual,Negative decision,Percentage,Italy,100.0,96.9,82.2,78.2,36.0,22.3,16.1,18.2,51.2,73.5,59.9,64.4,59.3,36.9,27.7,23.6
Annual,Negative decision,Percentage,Liechtenstein,:,97.3,98.3,76.4,73.9,100.0,100.0,70.0,100.0,85.7,98.1,100.0,72.7,100.0,100.0,100.0
Annual,Negative decision,Percentage,Lithuania,97.2,90.7,98.4,93.5,99.1,80.6,62.5,100.0,100.0,82.1,84.6,100.0,78.6,86.0,61.9,30.8
Annual,Negative decision,Percentage,Luxembourg,88.5,84.7,82.8,86.7,99.4,98.5,98.4,94.7,98.7,99.1,98.4,99.4,98.1,99.4,99.5,90.9
Annual,Negative decision,Percentage,Latvia,100.0,80.0,94.1,57.1,87.5,85.5,97.3,88.7,70.5,86.4,95.0,72.6,96.5,73.8,77.6,82.6
Annual,Negative decision,Percentage,Malta,99.6,100.0,99.4,99.6,95.0,98.6,86.8,80.9,80.4,86.9,99.1,95.2,98.2,100.0,99.0,98.0
Annual,Negative decision,Percentage,Netherlands,48.4,62.5,50.0,43.7,42.1,43.4,51.6,45.2,42.4,41.3,39.8,52.0,53.5,44.1,33.2,43.5
Annual,Negative decision,Percentage,Norway,85.2,94.9,95.9,91.8,88.4,90.4,88.6,81.3,91.7,89.4,86.9,81.2,82.1,71.8,69.2,73.1
Annual,Negative decision,Percentage,Poland,84.2,7.9,55.0,95.7,92.8,95.2,98.5,97.1,93.5,97.2,95.9,98.6,99.0,99.4,99.6,97.8
Annual,Negative decision,Percentage,Portugal,100.0,:,95.0,100.0,100.0,100.0,100.0,100.0,100.0,:,100.0,100.0,100.0,100.0,100.0,100.0
Annual,Negative decision,Percentage,Romania,81.7,85.8,78.9,91.6,87.6,40.4,79.4,57.7,85.5,55.4,71.2,76.2,68.6,77.0,73.4,76.8
Annual,Negative decision,Percentage,Sweden,92.6,87.1,90.2,86.2,81.9,81.6,81.9,76.8,73.8,86.6,85.7,82.9,93.3,91.9,91.0,92.5
Annual,Negative decision,Percentage,Slovenia,100.0,100.0,100.0,97.1,100.0,96.7,97.1,86.1,91.7,100.0,97.6,84.3,97.0,94.6,87.5,97.9
Annual,Negative decision,Percentage,Slovakia,87.5,58.3,97.7,28.6,87.5,95.6,94.9,92.0,81.8,100.0,84.0,87.5,72.2,53.1,50.0,0.0
Annual,Subsidiary protection status,Percentage,Austria,5.3,3.2,3.5,4.9,3.8,3.5,19.4,16.7,10.1,8.7,10.1,11.2,16.0,23.1,16.7,6.8
Annual,Subsidiary protection status,Percentage,Belgium,1.6,1.6,1.1,0.5,0.2,0.5,0.4,0.4,0.5,0.4,1.5,1.5,0.7,0.9,1.1,1.1
Annual,Subsidiary protection status,Percentage,Bulgaria,29.6,21.6,57.1,81.0,91.7,87.8,68.2,58.3,65.4,33.3,54.1,50.8,84.2,50.0,80.0,77.8
Annual,Subsidiary protection status,Percentage,Switzerland,1.0,0.9,0.9,0.9,0.8,0.4,0.6,0.4,0.7,0.7,0.9,1.1,1.6,1.9,0.8,0.4
Annual,Subsidiary protection status,Percentage,Cyprus,0.1,0.4,0.2,0.1,0.9,5.7,41.7,42.2,39.4,11.5,2.1,0.1,0.0,0.0,0.0,0.2
Annual,Subsidiary protection status,Percentage,Czechia,2.4,0.2,4.2,34.7,5.5,4.1,1.6,0.3,2.5,0.3,1.7,1.5,2.2,11.4,13.6,8.3
Annual,Subsidiary protection status,Percentage,Germany,1.3,2.1,3.0,1.4,3.9,2.6,2.1,0.6,0.7,14.2,18.9,14.0,12.1,9.2,10.4,9.4
Annual,Subsidiary protection status,Percentage,Denmark,10.5,15.4,14.4,8.9,12.0,17.0,7.2,5.4,5.3,6.7,6.7,6.3,3.8,5.4,3.4,1.0
Annual,Subsidiary protection status,Percentage,Estonia,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Annual,Subsidiary protection status,Percentage,Greece,0.0,0.6,13.0,12.5,5.6,5.7,3.9,4.6,1.3,1.0,1.3,2.5,2.4,7.2,2.3,1.8
Annual,Subsidiary protection status,Percentage,Spain,0.9,0.4,0.2,1.9,0.3,0.1,0.0,0.7,0.0,1.8,1.4,0.1,0.2,0.1,13.7,6.4
Annual,Subsidiary protection status,Percentage,European Union - 27 countries (from 2020),:,:,:,:,5.1,4.3,4.3,2.7,3.6,11.1,12.7,10.0,9.4,8.3,7.9,6.7
Annual,Subsidiary protection status,Percentage,Finland,62.0,58.1,31.3,37.5,16.0,8.6,6.5,5.1,2.0,3.3,5.9,5.8,4.0,3.5,3.1,1.5
Annual,Subsidiary protection status,Percentage,France,4.6,6.8,4.5,3.5,3.8,3.1,4.3,4.5,4.6,5.5,5.8,7.0,9.9,7.5,5.9,6.3
Annual,Subsidiary protection status,Percentage,Croatia,:,:,:,:,8.9,0.0,0.0,0.0,0.0,0.0,4.7,0.0,3.8,0.0,0.0,1.3
