Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,Tabanovce(Border  Crossing R. Serbija) - Skopje,Goods trains,1778.0
Annual,Number,Tabanovce(Border  Crossing R. Serbija) - Skopje,Passenger trains,2913.0
Annual,Number,Skopje - Gevgelija(Border Crossing  R. Greece),Goods trains,1312.0
Annual,Number,Skopje - Gevgelija(Border Crossing  R. Greece),Passenger trains,1610.0
Annual,Number,Volkovo(Border Crossing R. Kosovo) - Skopje,Goods trains,159.0
Annual,Number,Volkovo(Border Crossing R. Kosovo) - Skopje,Passenger trains,323.0
Annual,Number,Skopje - Tabanovce(Border  Crossing R. Serbija),Goods trains,1227.0
Annual,Number,Skopje - Tabanovce(Border  Crossing R. Serbija),Passenger trains,2405.0
Annual,Number,Gevgelija(Border Crossing  R. Greece) - Skopje,Goods trains,1207.0
Annual,Number,Gevgelija(Border Crossing  R. Greece) - Skopje,Passenger trains,1071.0
Annual,Number,Skopje - Volkovo(Border Crossing R. Kosovo),Goods trains,141.0
Annual,Number,Skopje - Volkovo(Border Crossing R. Kosovo),Passenger trains,326.0
