Time frequency,Unit of measure,Activity and employment status,International Standard Classification of Occupations 2008 (ISCO-08),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Per hundred thousand inhabitants,Practising,Dentists,Austria,56.02,56.52,56.9,57.23,57.25,56.76,56.7,56.94,56.86,57.92,58.38,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Belgium,70.28,70.45,70.85,71.37,72.33,73.54,74.82,74.86,75.38,75.7,76.84,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Bulgaria,87.62 b,91.68,94.92,97.23,99.56,100.26,104.0,106.06,103.66,106.64,106.33,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Switzerland,52.49,52.11,52.28,52.02,51.05,50.71,50.36,51.6,50.94,40.59 b,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Cyprus,93.07 e,92.02,94.45,96.18,98.42 b,103.34,103.57,109.25,112.18,113.5,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Czechia,69.34,70.78,70.98,70.63,75.11 be,:,75.29 b,74.77,73.79,73.32,73.98,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Germany,82.0,83.43,84.42,84.84,85.57,85.75,85.58,85.65,85.78,85.5,85.51,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Denmark,81.91,80.23,79.67,78.27,77.01,76.06,74.18,71.83,71.84,72.06,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Estonia,89.98,88.82,90.42,90.29 b,92.98,94.19,95.53,96.02,96.6,98.2,100.49,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Finland,73.33,73.1,73.64,71.98,72.87,73.05,72.68,71.77,71.69,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,France,:,61.68,61.8,62.06,61.69,61.97,62.44,62.37,62.36,63.29,63.59,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Croatia,73.5,73.83,75.5,75.8,78.54,79.54,80.07,83.13,84.82,87.01,87.12,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Hungary,52.57,52.58,56.54,60.27,62.87,60.31 b,61.98,67.32,70.28,73.12,67.47 b,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Iceland,94.01,88.71 b,84.19,84.01,83.69,84.04,82.88,81.25,81.93,79.04,79.13,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Italy,:,:,:,78.09 e,78.32 e,78.39 e,80.09 e,81.85 e,83.63 e,86.98 e,86.93 e,86.05 ep
Annual,Per hundred thousand inhabitants,Practising,Dentists,Liechtenstein,122.15,126.68,136.4,137.9,136.92,138.69,127.27,126.44,125.5,132.25,131.1,133.15
Annual,Per hundred thousand inhabitants,Practising,Dentists,Lithuania,79.3,82.1,89.87,90.54,91.02,91.02,97.17,100.37,103.23,105.44,110.92,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Luxembourg,83.24,84.11,83.06,84.66,85.56 b,88.83,94.27,97.43,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Latvia,70.94,70.69,71.03,72.49,70.22,71.76,72.01,71.05,70.62,71.27,71.67,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Malta,44.39,44.68,45.24,46.25,46.25,46.29,47.0,47.65,47.87,50.19,52.2,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Netherlands,47.19,49.27,49.48,49.48,49.87,51.54 b,51.11,55.07 b,55.58,56.51,56.64,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Norway,87.8,88.43,86.48,87.29,86.62,88.23 b,89.22,89.82,89.91,90.6,91.14,93.11
Annual,Per hundred thousand inhabitants,Practising,Dentists,Poland,32.99,34.24,32.82,32.39,34.43,33.18,35.05,35.1,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Romania,64.0,66.13,68.7,71.3,74.57,77.66,82.66,79.11,83.51,86.80 b,95.02,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Serbia,:,:,:,:,:,:,28.15,27.52,27.64,:,24.05 b,24.38
Annual,Per hundred thousand inhabitants,Practising,Dentists,Sweden,81.1,81.83,82.06,81.72,81.52,81.69,81.5,81.36,80.76,77.86,:,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,Slovenia,61.46,62.35,63.0,64.9,66.2,67.46,68.81,70.41,71.94,72.5,74.68,:
Annual,Per hundred thousand inhabitants,Practising,Dentists,United Kingdom,51.46,52.51,52.23,52.51,53.17,53.17 b,53.14,52.62,52.66,:,:,:
