Time frequency,Agricultural products,Unit of measure,Geopolitical entity (reporting)\Time,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
Annual,Meat of livestock,Tonnes product weight,Bulgaria,:,:,:,:,:,0.0,0.0,:,:,:
Annual,Meat of livestock,Tonnes product weight,Czechia,:,:,:,724.0,6715.0,4830.0,5894.0,7266.0,7176.0,8290.0
Annual,Meat of livestock,Tonnes product weight,Denmark,:,:,:,:,:,:,:,:,:,13310.0
Annual,Meat of livestock,Tonnes product weight,Estonia,:,:,:,:,:,1067.0,1158.0,987.0,1217.0,1546.0
Annual,Meat of livestock,Tonnes product weight,Greece,:,:,:,:,:,:,:,1346.0,:,:
Annual,Meat of livestock,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,25039.0,:
Annual,Meat of livestock,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,1.0
Annual,Meat of livestock,Tonnes product weight,Hungary,74.0,:,:,:,:,:,:,:,:,:
Annual,Meat of livestock,Tonnes product weight,Ireland,:,:,:,:,1375.0,1565.0,1740.0,:,:,:
Annual,Meat of livestock,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,278868.0
Annual,Meat of livestock,Tonnes product weight,Lithuania,:,:,:,:,:,:,:,9009.0,773.0,:
Annual,Meat of livestock,Tonnes product weight,Luxembourg,33.0,:,:,:,:,:,:,:,:,:
Annual,Meat of livestock,Tonnes product weight,Latvia,:,:,:,552.0,1383.0,1758.0,5343.0,2767.0,2407.0,3917.0
Annual,Meat of livestock,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Meat of livestock,Tonnes product weight,Norway,:,:,:,:,:,:,1809.0,:,2283.0,2283.0
Annual,Meat of livestock,Tonnes product weight,Poland,:,:,:,:,:,:,:,1459.0,2894.0,227.0
Annual,Meat of livestock,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,4.0
Annual,Meat of livestock,Tonnes product weight,Slovenia,:,:,1272.0,5432.0,:,1161.0,1040.0,153.0,68.0,134.0
Annual,Meat of livestock,Tonnes product weight,Slovakia,:,16.0,6.0,:,6.0,12.0,:,:,443.0,49.0
Annual,Bovine meat,Tonnes product weight,Bulgaria,:,:,:,:,:,:,0.0,:,:,:
Annual,Bovine meat,Tonnes product weight,Czechia,:,:,30321.0,514.0,6350.0,3417.0,5470.0,6619.0,6516.0,7537.0
Annual,Bovine meat,Tonnes product weight,Denmark,:,:,:,:,:,:,5461.0,5500.0,5818.0,5930.0
Annual,Bovine meat,Tonnes product weight,Estonia,:,:,:,:,:,904.0,916.0,743.0,966.0,1253.0
Annual,Bovine meat,Tonnes product weight,Greece,:,:,:,:,:,:,:,131.0,:,:
Annual,Bovine meat,Tonnes product weight,Spain,:,:,:,:,:,:,:,:,15865.0,:
Annual,Bovine meat,Tonnes product weight,Finland,:,:,:,:,9.0,:,:,:,:,:
Annual,Bovine meat,Tonnes product weight,Croatia,:,:,:,:,:,:,:,:,:,0.0
Annual,Bovine meat,Tonnes product weight,Hungary,21.0,:,:,:,:,:,:,:,:,:
Annual,Bovine meat,Tonnes product weight,Ireland,:,:,:,:,1100.0,1250.0,1375.0,2000.0,:,:
Annual,Bovine meat,Tonnes product weight,Italy,:,:,:,:,:,:,:,:,:,196900.0
Annual,Bovine meat,Tonnes product weight,Lithuania,:,:,9.0,:,:,:,:,8951.0,719.0,:
Annual,Bovine meat,Tonnes product weight,Luxembourg,20.0,:,:,:,:,:,:,:,:,:
Annual,Bovine meat,Tonnes product weight,Latvia,:,:,427.0,415.0,1142.0,1466.0,4409.0,2279.0,2087.0,3033.0
Annual,Bovine meat,Tonnes product weight,Malta,:,:,:,0.0,:,:,:,:,:,:
Annual,Bovine meat,Tonnes product weight,Netherlands,:,:,:,:,:,:,:,1600.0,950.0,2970.0
Annual,Bovine meat,Tonnes product weight,Norway,547.0,713.0,893.0,913.0,:,991.0,1002.0,:,1113.0,1124.0
Annual,Bovine meat,Tonnes product weight,Poland,:,:,:,:,:,:,:,810.0,1840.0,160.0
Annual,Bovine meat,Tonnes product weight,Romania,:,:,:,:,:,:,0.0,:,:,1.0
Annual,Bovine meat,Tonnes product weight,Slovenia,:,:,0.0,5206.0,:,809.0,676.0,103.0,60.0,110.0
Annual,Bovine meat,Tonnes product weight,Slovakia,:,16.0,6.0,:,6.0,10.0,:,:,359.0,49.0
Annual,Pigmeat,Tonnes product weight,Bulgaria,:,:,:,:,0.0,:,0.0,:,:,:
