Time frequency,Seasonal adjustment,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Austria,4.6,4.3,4.9,4.9,4.4,4.7,4.4,4.6,5.1,5.6,4.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Bosnia and Herzegovina,16.9,16.8,16.8,16.4,16.3,16.4,16.4,16.5,16.4,16.3,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Belgium,5.1,5.0,5.0,5.1,5.2,5.2,5.2,5.2,5.4,5.5,5.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Bulgaria,4.5,4.6,4.4,4.1,3.9,3.8,3.9,3.9,3.9,3.8,3.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Switzerland,4.2,4.3,4.3,4.4,4.5,4.6,4.6,4.7,4.9,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Cyprus,5.4,5.3,5.4,5.3,5.1,5.2,5.0,4.7,4.4,4.3,4.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Czechia,3.6,3.1,3.6,3.3,3.0,3.1,3.1,3.3,3.3,2.9,3.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Germany,3.0,3.0,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.1,3.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Denmark,6.1,5.9,6.0,6.1,6.8,6.9,6.5,6.2,7.0,6.5,6.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Euro area – 20 countries (from 2023),6.8,6.9,6.8,6.8,6.8,6.7,6.5,6.5,6.5,6.5,6.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Estonia,7.7,7.6,8.2,8.1,7.6,7.4,7.7,7.7,7.9,7.1,7.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Greece,14.1,14.1,13.5,13.2,13.4,11.7,12.4,11.5,11.6,12.0,12.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Spain,13.3,13.2,13.1,13.1,13.0,12.9,12.7,12.6,12.4,12.4,12.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,European Union - 27 countries (from 2020),6.4,6.3,6.3,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Percentage of population in the labour force,Finland,7.0,7.1,7.5,7.1,7.2,7.4,6.9,7.8,7.8,7.8,8.8,:
