Time frequency,Unit of measure,Quantile,Reason,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Austria,0.2,0.0,0.2,0.0 n,0.1,0.3,0.0 n,0.1,0.2,0.7
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Belgium,2.5,1.9,1.9,1.7,1.3,0.8 b,0.7,0.8,0.6,0.7
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Bulgaria,3.0,3.2,1.1,0.9,0.6,0.5,0.9,0.4,0.3,0.4
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Switzerland,1.5,0.5,0.5,0.6,1.1,1.4,0.4,0.7,1.1,2.3
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Cyprus,2.3,1.2,0.5,1.8,1.2,0.5,0.2,0.0 n,0.0,0.1
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Czechia,0.5,0.3,0.4,0.1,0.1,0.0,0.0,0.2,0.2,0.5
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Germany,0.8,0.3,0.2,0.2,0.4,0.1,0.0 n,0.1,0.3,0.3 e
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Denmark,0.8,0.8,1.4,0.7,1.5,2.0,2.6,1.2,3.3,4.8
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Euro area - 18 countries (2014),1.8,1.5,1.5,0.7,0.9,0.7,0.9 e,:,:,:
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Estonia,6.3,8.0,10.3,7.5,11.7,10.8,7.8,5.0,6.1,8.0
Annual,Percentage,Total,Too expensive or too far to travel or waiting list,From 16 to 29 years,Total,Greece,5.6,5.2,9.8,3.5,4.4,2.4,2.5,1.4,1.3,1.1
