Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,"Youth unemployment rate, male (%)",Algeria,29.8 d,22.9 d,25.4 d,21.7 d,19.0 d,18.6 d,19.1 d,24.0 d,21.6 d,22.1 d,26.8 d,22.3 d,24.8 d,:,:
Annual,"Youth unemployment rate, male (%)",Egypt,23.3,20.6,17.2,16.8,14.9,11.2,18.2,21.0,21.3,20.6,21.8,21.0,25.7,17.2,:
Annual,"Youth unemployment rate, male (%)",Israel,17.0,17.3,15.0,11.9,15.7,14.5,11.8,11.6 b,10.4,10.1,8.9,8.2,6.7,6.9,:
Annual,"Youth unemployment rate, male (%)",Jordan,38.7,35.4,34.0,32.0,30.9,32.7,36.3,35.5,34.4,36.0,32.0,:,:,:,:
Annual,"Youth unemployment rate, male (%)",Lebanon,:,:,22.0,:,14.6,:,:,:,:,:,:,:,:,:,:
Annual,"Youth unemployment rate, male (%)",Libya,:,:,:,:,:,:,:,67.8,:,:,:,:,:,:,:
Annual,"Youth unemployment rate, male (%)",Morocco,17.8,17.5,17.9,19.1,18.5,18.1,18.1,18.4,19.4,20.3,20.6,22.2,23.8,:,:
Annual,"Youth unemployment rate, male (%)",Palestine*,35.0,34.5,34.1,39.9,37.4,37.1,32.3,34.7,37.2,40.3,36.8,36.5,38.7,40.4,:
Annual,"Youth unemployment rate, male (%)",Tunisia,31.4,31.6,31.6,31.6,31.1,27.8,40.8,41.8,33.4,:,34.0,:,:,:,34.2
Annual,"Youth unemployment rate, female (%)",Algeria,39.9 d,31.4 d,40.2 d,34.4 d,34.6 d,37.5 d,38.2 d,43.1 d,39.7 d,41.3 d,45.4 d,49.9 d,45.7 d,:,:
Annual,"Youth unemployment rate, female (%)",Egypt,62.2,55.2,47.9,53.9,56.1,45.8,43.7,48.8,48.6,44.0,36.5,36.6,38.4,52.0,:
Annual,"Youth unemployment rate, female (%)",Israel,18.6,19.1,17.0,13.4,13.6,12.9,11.4,12.7 b,10.7,11.1,9.7,9.1,7.8,7.4,:
Annual,"Youth unemployment rate, female (%)",Jordan,41.1,40.4,44.4,52.3,38.1,38.9,35.1,31.2,22.8,39.3,36.2,:,:,:,:
Annual,"Youth unemployment rate, female (%)",Lebanon,:,:,21.0,:,22.3,:,:,:,:,:,:,:,:,:,:
Annual,"Youth unemployment rate, female (%)",Libya,:,:,:,:,:,:,:,40.8,:,:,:,:,:,:,:
Annual,"Youth unemployment rate, female (%)",Morocco,14.9,14.1,15.5,16.1,16.2,16.1,17.4,19.2,18.2,19.1,21.4,23.3,34.3,:,:
Annual,"Youth unemployment rate, female (%)",Palestine*,46.1,43.1,42.5,49.3,47.2,49.7,54.0,62.7,65.2,63.4,61.4,66.7,70.8,75.2,:
Annual,"Youth unemployment rate, female (%)",Tunisia,29.3,30.2,30.9,31.5,30.5,32.7,45.5,35.7,37.7,:,37.0,:,:,:,34.5
Annual,"Youth unemployment rate, total (%)",Algeria,31.1 d,24.3 d,27.4 d,23.8 d,21.3 d,21.5 d,22.4 d,27.5 d,24.8 d,25.2 d,30.0 d,26.7 d,28.3 d,:,:
Annual,"Youth unemployment rate, total (%)",Egypt,34.1,29.9,24.8,25.4,25.6,19.8,24.1,27.7,28.2,26.5,26.1,25.6,29.6,24.8,:
Annual,"Youth unemployment rate, total (%)",Israel,17.8,18.2,16.1,12.6,14.6,13.7,11.6,12.1 b,10.5,10.6,9.3,8.6,7.3,7.2,:
Annual,"Youth unemployment rate, total (%)",Jordan,38.8,35.6,34.7,32.9,31.2,33.0,36.2,:,34.1,36.1,32.1,:,:,:,:
Annual,"Youth unemployment rate, total (%)",Lebanon,:,:,22.0,:,16.8,:,:,:,:,:,:,:,:,:,:
Annual,"Youth unemployment rate, total (%)",Libya,:,:,:,:,39.2,44.1,:,48.6,51.2,:,:,:,:,:,:
Annual,"Youth unemployment rate, total (%)",Morocco,17.0,16.6,17.2,18.3,17.9,17.6,17.9,18.6,19.1,20.0,20.8,22.5,26.5,:,:
Annual,"Youth unemployment rate, total (%)",Palestine*,36.5,35.8,35.3,41.4,39.1,39.1,35.9,39.1,41.3,44.1,41.1,42.1,44.7,46.7,:
Annual,"Youth unemployment rate, total (%)",Tunisia,30.7,31.2,31.4,31.6,30.9,29.4,42.3,37.6,34.7,:,35.0,:,:,:,34.4
