Time frequency,Unit of measure,Amenities,Geopolitical entity (reporting)\Time,2001.0
Annual,Number,Piped water in the housing unit,Italy,21441473.0
Annual,Number,Piped water in the housing unit,Lithuania,939603.0
Annual,Number,Piped water in the housing unit,Latvia,634323.0
Annual,Number,Piped water in the housing unit,Netherlands,6456036.0
Annual,Number,Piped water in the housing unit,Poland,11138528.0
Annual,Number,Piped water in the housing unit,Portugal,3483206.0
Annual,Number,Piped water in the housing unit,Romania,5203765.0
Annual,Number,Piped water in the housing unit,Slovenia,661058.0
Annual,Number,Piped water in the housing unit,Slovakia,1573990.0
Annual,Number,Piped water in the housing unit,Türkiye,14180321.0
