Time frequency,Size classes in number of persons employed,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,Total,Females,Percentage,Spain,50.1,53.2,57.5,79.9
Annual,Total,Females,Percentage,European Union - 27 countries (from 2020),42.1,46.7,51.0,53.6
Annual,Total,Females,Percentage,European Union - 28 countries (2013-2020),42.0,45.8,47.5,:
Annual,Total,Females,Percentage,Finland,47.4,47.4,48.1,39.4
Annual,Total,Females,Percentage,France,47.0,46.0,48.9,50.9
Annual,Total,Females,Percentage,Croatia,:,34.3,46.0,45.2
Annual,Total,Females,Percentage,Hungary,22.2,27.4,28.6,31.2
Annual,Total,Females,Percentage,Ireland,63.0,:,62.1,59.4 u
Annual,Total,Females,Percentage,Italy,47.4,48.2,56.5,55.4
Annual,Total,Females,Percentage,Lithuania,26.7,29.4,37.4,41.9
Annual,Total,Females,Percentage,Luxembourg,59.0,59.0,71.6,64.7
Annual,Total,Females,Percentage,Latvia,28.1,49.4,50.2,59.3 u
Annual,Total,Females,Percentage,North Macedonia,:,:,40.4,31.7
Annual,Total,Females,Percentage,Malta,60.1,60.8,57.0,55.2
Annual,Total,Females,Percentage,Netherlands,35.8,41.1,40.5,44.0
Annual,Total,Females,Percentage,Norway,48.2,48.6,57.5,61.6 u
Annual,Total,Females,Percentage,Poland,36.7,52.6,58.1,50.2
Annual,Total,Females,Percentage,Portugal,44.7,54.2,59.3,58.1 u
Annual,Total,Females,Percentage,Romania,32.4,45.0,44.1,45.8
Annual,Total,Females,Percentage,Serbia,:,:,:,39.1
Annual,Total,Females,Percentage,Sweden,49.8,55.6,54.5 b,58.4 b
Annual,Total,Females,Percentage,Slovenia,62.3,62.9,67.5,60.4
Annual,Total,Females,Percentage,Slovakia,48.0,51.6,64.7,62.8
Annual,Total,Females,Percentage,United Kingdom,41.6,40.0,31.0,:
Annual,Total,Males,Percentage,Austria,40.6,38.6,49.8,43.1
Annual,Total,Males,Percentage,Belgium,51.6,59.1,60.3,58.1
Annual,Total,Males,Percentage,Bulgaria,33.9,48.9,48.7,42.9
Annual,Total,Males,Percentage,Cyprus,42.3,51.0,49.4,43.7
Annual,Total,Males,Percentage,Czechia,71.6,76.2,90.0 b,90.4
Annual,Total,Males,Percentage,Germany,41.0,49.0,44.6,54.0
Annual,Total,Males,Percentage,Denmark,35.2,41.9,42.2,36.0
Annual,Total,Males,Percentage,Estonia,31.4,41.9,37.3,38.2
Annual,Total,Males,Percentage,Greece,26.9,33.2,46.7,30.5
Annual,Total,Males,Percentage,Spain,51.0,57.2,61.3,75.3
Annual,Total,Males,Percentage,European Union - 27 countries (from 2020),45.7,51.1,53.5,55.3
Annual,Total,Males,Percentage,European Union - 28 countries (2013-2020),44.3,48.4,50.9,:
Annual,Total,Males,Percentage,Finland,44.5,48.3,48.2,42.7
Annual,Total,Males,Percentage,France,51.3,52.0,54.4,54.2
Annual,Total,Males,Percentage,Croatia,:,28.6,37.2,37.4
Annual,Total,Males,Percentage,Hungary,23.7,27.4,31.5,33.9
Annual,Total,Males,Percentage,Ireland,56.1,:,65.6,55.2 u
Annual,Total,Males,Percentage,Italy,50.4,52.0,62.4,55.6
Annual,Total,Males,Percentage,Lithuania,28.5,32.1,37.9,37.4
Annual,Total,Males,Percentage,Luxembourg,60.0,58.7,67.7,64.1
Annual,Total,Males,Percentage,Latvia,26.2,49.4,51.5,55.4
Annual,Total,Males,Percentage,North Macedonia,:,:,35.1,29.1
Annual,Total,Males,Percentage,Malta,48.9,54.0,54.5,51.5
Annual,Total,Males,Percentage,Netherlands,41.0,45.5,48.7,47.2
Annual,Total,Males,Percentage,Norway,47.3,51.3,62.1,59.5 u
Annual,Total,Males,Percentage,Poland,35.1,56.4,61.9,52.1
Annual,Total,Males,Percentage,Portugal,46.5,56.3,58.9,54.0
Annual,Total,Males,Percentage,Romania,29.8,41.0,41.1,40.6
Annual,Total,Males,Percentage,Serbia,:,:,:,34.5
Annual,Total,Males,Percentage,Sweden,51.2,56.9,57.2 b,55.6 b
Annual,Total,Males,Percentage,Slovenia,55.9,61.2,63.9,57.6
Annual,Total,Males,Percentage,Slovakia,61.2,61.2,72.5,65.0
Annual,Total,Males,Percentage,United Kingdom,38.0,32.9,36.0,:
Annual,Total,Total,Percentage,Austria,38.2,37.4,48.8,40.7
Annual,Total,Total,Percentage,Belgium,50.8,57.2,58.3,55.7
Annual,Total,Total,Percentage,Bulgaria,33.0,49.3,48.0,43.9
Annual,Total,Total,Percentage,Cyprus,42.6,51.6,48.2,43.7
Annual,Total,Total,Percentage,Czechia,67.1,72.1,87.3 b,88.1
Annual,Total,Total,Percentage,Germany,38.8,47.0,44.7,52.3
Annual,Total,Total,Percentage,Denmark,37.4,41.1,41.0,35.9
Annual,Total,Total,Percentage,Estonia,32.4,40.4,39.1,40.7
Annual,Total,Total,Percentage,Greece,28.0,33.3,44.2,32.6
Annual,Total,Total,Percentage,Spain,50.6,55.6,59.7,76.7
Annual,Total,Total,Percentage,European Union - 27 countries (from 2020),44.4,49.4,52.5,54.5
Annual,Total,Total,Percentage,European Union - 28 countries (2013-2020),43.5,47.5,49.4,:
Annual,Total,Total,Percentage,Finland,45.6,48.0,48.2,40.9
Annual,Total,Total,Percentage,France,49.7,49.7,52.2,52.9
Annual,Total,Total,Percentage,Croatia,:,30.8,40.8,40.3
Annual,Total,Total,Percentage,Hungary,23.1,27.4,30.3,32.8
Annual,Total,Total,Percentage,Ireland,58.9,:,63.3,55.9
Annual,Total,Total,Percentage,Italy,49.4,50.7,60.3,55.5
Annual,Total,Total,Percentage,Lithuania,27.7,30.8,37.7,39.3
Annual,Total,Total,Percentage,Luxembourg,59.7,59.6,69.0,64.3
Annual,Total,Total,Percentage,Latvia,27.3,49.4,50.9,55.6
Annual,Total,Total,Percentage,North Macedonia,:,:,37.4,29.8
Annual,Total,Total,Percentage,Malta,52.2,56.5,55.1,53.0
Annual,Total,Total,Percentage,Netherlands,39.2,44.0,45.6,46.0
Annual,Total,Total,Percentage,Norway,47.6,47.8,56.4,58.5
Annual,Total,Total,Percentage,Poland,35.7,55.0,60.3,51.3
Annual,Total,Total,Percentage,Portugal,45.8,55.4,59.1,54.5
Annual,Total,Total,Percentage,Romania,30.8,41.2,42.3,42.7
Annual,Total,Total,Percentage,Serbia,:,:,:,36.4
Annual,Total,Total,Percentage,Sweden,50.8,52.6,56.3 b,56.7 b
Annual,Total,Total,Percentage,Slovenia,58.5,61.9,65.3,58.7
Annual,Total,Total,Percentage,Slovakia,56.1,58.2,69.2,64.1
Annual,Total,Total,Percentage,United Kingdom,39.3,36.8,35.1,:
