Time frequency,Size classes in number of persons employed,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Females,Percentage,Norway,52.9,51.5,60.6,55.9 u
Annual,From 10 to 49 persons employed,Females,Percentage,Poland,40.4,51.6,56.3,57.1
Annual,From 10 to 49 persons employed,Females,Percentage,Portugal,48.1,57.6,57.6,54.5 u
Annual,From 10 to 49 persons employed,Females,Percentage,Romania,38.1,54.7,55.9,47.9
Annual,From 10 to 49 persons employed,Females,Percentage,Serbia,:,:,:,47.8
Annual,From 10 to 49 persons employed,Females,Percentage,Sweden,50.5,54.0,57.2 b,57.4 b
Annual,From 10 to 49 persons employed,Females,Percentage,Slovenia,53.4,65.3,62.3,55.1
Annual,From 10 to 49 persons employed,Females,Percentage,Slovakia,51.9,53.7,67.9,56.1
Annual,From 10 to 49 persons employed,Females,Percentage,United Kingdom,40.9,36.6,42.2,:
Annual,From 10 to 49 persons employed,Males,Percentage,Austria,39.1,38.6,43.9,40.9
Annual,From 10 to 49 persons employed,Males,Percentage,Belgium,39.0,47.5,54.6,54.3
Annual,From 10 to 49 persons employed,Males,Percentage,Bulgaria,37.8,45.6,51.9,48.0
Annual,From 10 to 49 persons employed,Males,Percentage,Cyprus,39.4,49.9,44.8,47.3
Annual,From 10 to 49 persons employed,Males,Percentage,Czechia,75.8,78.3,92.9 b,95.8
Annual,From 10 to 49 persons employed,Males,Percentage,Germany,46.5,50.0,53.5,50.5
Annual,From 10 to 49 persons employed,Males,Percentage,Denmark,35.1,45.5,37.9,39.1
Annual,From 10 to 49 persons employed,Males,Percentage,Estonia,33.1,36.3,33.5,37.3
Annual,From 10 to 49 persons employed,Males,Percentage,Greece,28.2,35.8,39.6,42.1
Annual,From 10 to 49 persons employed,Males,Percentage,Spain,46.7,52.2,48.1,63.3
Annual,From 10 to 49 persons employed,Males,Percentage,European Union - 27 countries (from 2020),42.7,47.1,51.3,50.8
Annual,From 10 to 49 persons employed,Males,Percentage,European Union - 28 countries (2013-2020),43.2,46.8,50.8,:
Annual,From 10 to 49 persons employed,Males,Percentage,Finland,39.9,48.3,47.8,43.0
Annual,From 10 to 49 persons employed,Males,Percentage,France,36.9,35.9,37.4,35.9
Annual,From 10 to 49 persons employed,Males,Percentage,Croatia,:,36.9,38.0,34.9
Annual,From 10 to 49 persons employed,Males,Percentage,Hungary,21.2,29.6,39.2,35.4
Annual,From 10 to 49 persons employed,Males,Percentage,Ireland,46.9,:,59.3,53.8 u
Annual,From 10 to 49 persons employed,Males,Percentage,Italy,45.5,47.0,56.8,51.7
Annual,From 10 to 49 persons employed,Males,Percentage,Lithuania,29.0,31.4,32.7,33.3
Annual,From 10 to 49 persons employed,Males,Percentage,Luxembourg,44.8,51.8,50.7,54.6
Annual,From 10 to 49 persons employed,Males,Percentage,Latvia,21.3,55.7,53.8,60.8
Annual,From 10 to 49 persons employed,Males,Percentage,North Macedonia,:,:,38.5,30.7
Annual,From 10 to 49 persons employed,Males,Percentage,Malta,34.8,40.5,44.6,53.4
Annual,From 10 to 49 persons employed,Males,Percentage,Netherlands,32.5,42.4,48.5,44.4
Annual,From 10 to 49 persons employed,Males,Percentage,Norway,47.9,49.9,59.3,54.4 u
Annual,From 10 to 49 persons employed,Males,Percentage,Poland,38.4,54.0,57.6,54.9
Annual,From 10 to 49 persons employed,Males,Percentage,Portugal,46.0,57.5,60.0,50.1
Annual,From 10 to 49 persons employed,Males,Percentage,Romania,37.0,50.0,49.0,35.1
Annual,From 10 to 49 persons employed,Males,Percentage,Serbia,:,:,:,41.4
Annual,From 10 to 49 persons employed,Males,Percentage,Sweden,51.5,52.5,57.3 b,56.1 b
Annual,From 10 to 49 persons employed,Males,Percentage,Slovenia,45.2,62.9,57.8,51.1
Annual,From 10 to 49 persons employed,Males,Percentage,Slovakia,57.6,57.3,71.6,60.4
Annual,From 10 to 49 persons employed,Males,Percentage,United Kingdom,46.3,44.8,47.6,:
Annual,From 10 to 49 persons employed,Total,Percentage,Austria,35.6,36.5,43.0,39.9
Annual,From 10 to 49 persons employed,Total,Percentage,Belgium,39.8,48.9,53.4,55.4
Annual,From 10 to 49 persons employed,Total,Percentage,Bulgaria,37.3,46.2,53.5,49.2
Annual,From 10 to 49 persons employed,Total,Percentage,Cyprus,39.4,51.1,42.6,48.2
Annual,From 10 to 49 persons employed,Total,Percentage,Czechia,72.7,76.1,91.2 b,93.8
Annual,From 10 to 49 persons employed,Total,Percentage,Germany,46.7,48.8,54.3,52.2
Annual,From 10 to 49 persons employed,Total,Percentage,Denmark,38.2,48.3,39.0,42.4
Annual,From 10 to 49 persons employed,Total,Percentage,Estonia,35.5,39.6,34.0,40.9
Annual,From 10 to 49 persons employed,Total,Percentage,Greece,31.0,33.7,40.8,44.1
Annual,From 10 to 49 persons employed,Total,Percentage,Spain,47.5,49.6,48.0,67.4
Annual,From 10 to 49 persons employed,Total,Percentage,European Union - 27 countries (from 2020),42.8,46.3,50.6,51.5
Annual,From 10 to 49 persons employed,Total,Percentage,European Union - 28 countries (2013-2020),43.0,45.7,49.8,:
Annual,From 10 to 49 persons employed,Total,Percentage,Finland,43.1,48.9,48.0,39.9
Annual,From 10 to 49 persons employed,Total,Percentage,France,38.5,36.9,36.1,37.4
Annual,From 10 to 49 persons employed,Total,Percentage,Croatia,:,38.5,40.7,37.0
Annual,From 10 to 49 persons employed,Total,Percentage,Hungary,22.8,30.4,37.5,36.3
Annual,From 10 to 49 persons employed,Total,Percentage,Ireland,45.3,:,58.3,52.2
Annual,From 10 to 49 persons employed,Total,Percentage,Italy,43.8,44.9,54.5,51.0
Annual,From 10 to 49 persons employed,Total,Percentage,Lithuania,31.9,32.4,34.9,34.1
Annual,From 10 to 49 persons employed,Total,Percentage,Luxembourg,48.5,52.5,52.2,56.2
Annual,From 10 to 49 persons employed,Total,Percentage,Latvia,26.9,57.5,55.4,57.7
Annual,From 10 to 49 persons employed,Total,Percentage,North Macedonia,:,:,39.9,32.4
Annual,From 10 to 49 persons employed,Total,Percentage,Malta,37.6,42.4,45.7,55.4
Annual,From 10 to 49 persons employed,Total,Percentage,Netherlands,31.2,43.1,46.5,43.5
Annual,From 10 to 49 persons employed,Total,Percentage,Norway,49.7,50.2,58.6,54.7
Annual,From 10 to 49 persons employed,Total,Percentage,Poland,39.2,53.1,57.1,55.8
Annual,From 10 to 49 persons employed,Total,Percentage,Portugal,46.7,57.5,59.0,48.6
Annual,From 10 to 49 persons employed,Total,Percentage,Romania,37.5,45.6,51.7,39.5
Annual,From 10 to 49 persons employed,Total,Percentage,Serbia,:,:,:,43.6
Annual,From 10 to 49 persons employed,Total,Percentage,Sweden,51.2,52.8,57.3 b,56.3 b
Annual,From 10 to 49 persons employed,Total,Percentage,Slovenia,48.2,63.8,59.2,52.4
Annual,From 10 to 49 persons employed,Total,Percentage,Slovakia,55.7,56.1,70.3,58.9
Annual,From 10 to 49 persons employed,Total,Percentage,United Kingdom,44.1,41.7,45.5,:
Annual,From 50 to 249 persons employed,Females,Percentage,Austria,30.6,35.4,41.3,37.2
Annual,From 50 to 249 persons employed,Females,Percentage,Belgium,42.1,54.8,58.9,58.2
Annual,From 50 to 249 persons employed,Females,Percentage,Bulgaria,27.2,36.2,43.7,39.0
Annual,From 50 to 249 persons employed,Females,Percentage,Cyprus,38.4,43.0,41.1,42.4
Annual,From 50 to 249 persons employed,Females,Percentage,Czechia,61.5,65.1,83.5 b,81.3
Annual,From 50 to 249 persons employed,Females,Percentage,Germany,39.0,45.2,40.4,35.2
Annual,From 50 to 249 persons employed,Females,Percentage,Denmark,42.7,46.9,36.9,32.7
Annual,From 50 to 249 persons employed,Females,Percentage,Estonia,31.8,39.7,33.3,36.6
Annual,From 50 to 249 persons employed,Females,Percentage,Greece,22.8,31.1,40.9,41.1
Annual,From 50 to 249 persons employed,Females,Percentage,Spain,45.4,48.2,50.7,66.3
Annual,From 50 to 249 persons employed,Females,Percentage,European Union - 27 countries (from 2020),38.8,44.1,45.8,44.7
Annual,From 50 to 249 persons employed,Females,Percentage,European Union - 28 countries (2013-2020),39.5,43.2,44.9,:
Annual,From 50 to 249 persons employed,Females,Percentage,Finland,38.1,39.0,48.7,38.2
Annual,From 50 to 249 persons employed,Females,Percentage,France,38.1,38.7,37.3,39.5
Annual,From 50 to 249 persons employed,Females,Percentage,Croatia,:,30.0,36.1,38.1
Annual,From 50 to 249 persons employed,Females,Percentage,Hungary,16.2,22.1,25.4,22.5
Annual,From 50 to 249 persons employed,Females,Percentage,Ireland,49.3,:,56.7,52.5 u
Annual,From 50 to 249 persons employed,Females,Percentage,Italy,40.6,40.4,50.3,47.6
Annual,From 50 to 249 persons employed,Females,Percentage,Lithuania,24.4,28.4,33.5,37.0
Annual,From 50 to 249 persons employed,Females,Percentage,Luxembourg,47.4,54.7,71.6,57.5
Annual,From 50 to 249 persons employed,Females,Percentage,Latvia,26.8,54.4,49.0,57.3 u
Annual,From 50 to 249 persons employed,Females,Percentage,North Macedonia,:,:,30.4,33.7
Annual,From 50 to 249 persons employed,Females,Percentage,Malta,44.8,54.6,54.5,60.1
Annual,From 50 to 249 persons employed,Females,Percentage,Netherlands,29.2,37.5,43.0,38.9
Annual,From 50 to 249 persons employed,Females,Percentage,Norway,46.0,48.1,50.2,53.0 u
Annual,From 50 to 249 persons employed,Females,Percentage,Poland,34.2,49.0,47.8,44.1
Annual,From 50 to 249 persons employed,Females,Percentage,Portugal,40.7,52.5,52.6,55.6 u
Annual,From 50 to 249 persons employed,Females,Percentage,Romania,27.3,44.3,38.5,34.5
Annual,From 50 to 249 persons employed,Females,Percentage,Serbia,:,:,:,38.6
Annual,From 50 to 249 persons employed,Females,Percentage,Sweden,49.9,55.4,54.9 b,57.8 b
Annual,From 50 to 249 persons employed,Females,Percentage,Slovenia,47.9,53.0,59.9,53.0
Annual,From 50 to 249 persons employed,Females,Percentage,Slovakia,43.2,52.6,58.8,52.5
Annual,From 50 to 249 persons employed,Females,Percentage,United Kingdom,43.0,36.6,39.3,:
Annual,From 50 to 249 persons employed,Males,Percentage,Austria,32.3,36.6,44.7,38.1
Annual,From 50 to 249 persons employed,Males,Percentage,Belgium,44.7,54.5,60.7,55.9
Annual,From 50 to 249 persons employed,Males,Percentage,Bulgaria,33.2,40.1,42.6,35.9
Annual,From 50 to 249 persons employed,Males,Percentage,Cyprus,40.8,39.3,42.5,40.1
Annual,From 50 to 249 persons employed,Males,Percentage,Czechia,69.4,74.7,90.3 b,89.0
Annual,From 50 to 249 persons employed,Males,Percentage,Germany,40.6,47.5,45.4,41.3
Annual,From 50 to 249 persons employed,Males,Percentage,Denmark,37.1,43.1,36.3,33.2
Annual,From 50 to 249 persons employed,Males,Percentage,Estonia,30.3,38.9,31.8,33.8
Annual,From 50 to 249 persons employed,Males,Percentage,Greece,19.9,24.4,38.3,40.2
Annual,From 50 to 249 persons employed,Males,Percentage,Spain,45.0,51.2,53.2,66.0
Annual,From 50 to 249 persons employed,Males,Percentage,European Union - 27 countries (from 2020),40.4,47.1,50.0,48.3
Annual,From 50 to 249 persons employed,Males,Percentage,European Union - 28 countries (2013-2020),40.5,45.9,48.5,:
Annual,From 50 to 249 persons employed,Males,Percentage,Finland,34.2,40.4,43.6,36.1
Annual,From 50 to 249 persons employed,Males,Percentage,France,41.5,47.2,45.7,48.8
Annual,From 50 to 249 persons employed,Males,Percentage,Croatia,:,25.0,30.4,30.6
Annual,From 50 to 249 persons employed,Males,Percentage,Hungary,15.6,20.7,26.0,24.2
Annual,From 50 to 249 persons employed,Males,Percentage,Ireland,52.7,:,57.1,46.5 u
Annual,From 50 to 249 persons employed,Males,Percentage,Italy,42.0,45.0,55.8,50.0
Annual,From 50 to 249 persons employed,Males,Percentage,Lithuania,22.3,28.0,35.7,32.5
Annual,From 50 to 249 persons employed,Males,Percentage,Luxembourg,47.4,48.3,64.2,56.2
Annual,From 50 to 249 persons employed,Males,Percentage,Latvia,22.1,45.6,50.4,52.6
Annual,From 50 to 249 persons employed,Males,Percentage,North Macedonia,:,:,28.3,28.6
