Time frequency,Crops,Structure of production,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Albania,:,:,69.6,70.5,:,65.1,57.3,53.9,54.5,54.3,57.6,:
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Austria,297.29,304.65,302.97,317.76,297.28,294.29,278.34,279.02,279.86,295.51,281.98,274.23
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,67.90 e,68.02 e,61.89 e,71.39 e,69.45 e,73.59 e,68.97 e,69.91 e,66.76 e,46.49 b,52.90 p,:
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Belgium,201.86,210.76,221.78,215.72,197.59,195.69,203.76,194.66,209.18,204.46,212.61,165.20 p
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Bulgaria,1314.29,1267.91,1105.92,1192.59,1144.52,1212.01,1198.68,1200.18,1206.19,1206.58,1220.91,1193.0
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Switzerland,88.74,88.32,87.99,88.46,87.05,87.98,86.46,84.99,89.28,88.98,87.0,84.78 e
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Cyprus,6.92,6.14,11.97,8.39,8.68,10.2,10.59,12.97,12.32,13.31,12.70 p,12.25 e
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Czechia,829.39,835.94,829.82,839.71,832.06,819.69,839.45,798.58,784.78,854.43,817.76,776.5
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Germany,3128.2,3219.7,3282.7,3201.7,3202.6,3036.3,3118.1,2835.5,2939.0,2980.9,2897.8,2615.2
Annual,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha),Denmark,567.9,662.1,632.4,583.0,586.6,425.8,573.4,502.6,537.7,497.3,489.0,475.6
