Time frequency,Unit of measure,Expenditure and investment,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Percentage,Current expenditure,Croatia,: d,96.6,96.2,:,:,: d,: d,93.1,91.5,93.9
Annual,Percentage,Current expenditure,Hungary,96.1,95.5,: d,95.8 e,93.9,91.5,89.5,90.1,89.9,92.2
Annual,Percentage,Current expenditure,Ireland,94.9,94.2,93.8,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Current expenditure,Iceland,93.9,94.5 d,93.6,94.2,95.1,95.2,93.7,94.1 d,95.3 d,94.7
Annual,Percentage,Current expenditure,Italy,95.9,94.6,95.2,95.0,96.4,98.0,97.2,94.9,94.7,94.8
Annual,Percentage,Current expenditure,Liechtenstein,: d,: d,: d,: d,: d,:,:,:,:,:
Annual,Percentage,Current expenditure,Lithuania,87.5 d,: d,85.7,87.3,93.0,94.5,93.6,94.2,88.2,92.6
Annual,Percentage,Current expenditure,Luxembourg,87.5,87.5,88.2,90.2,93.1,91.1,89.9,88.8,90.4,89.1
Annual,Percentage,Current expenditure,Latvia,87.6 d,87.4,82.1,84.4,90.7,88.6,84.5,84.9,84.9,88.1
Annual,Percentage,Current expenditure,Malta,87.2,87.9,87.9,85.8,84.5,89.7,87.2,86.3,84.7,88.2
Annual,Percentage,Current expenditure,Netherlands,87.7,87.8,87.9,88.6,89.2,89.1,89.4,89.2,88.9,88.5
Annual,Percentage,Current expenditure,Norway,: d,88.9,88.9,87.6,87.2,86.6,86.7,87.1,86.7,87.8
Annual,Percentage,Current expenditure,Poland,92.3,: d,92.7 d,92.6,94.8,93.5,91.4,93.0,93.4,93.5
Annual,Percentage,Current expenditure,Portugal,: d,96.4,97.1 d,95.3 d,97.5,96.5,96.2,96.8,96.9,96.3
Annual,Percentage,Current expenditure,Romania,93.0,94.6,95.7,95.7,95.2,96.0,95.3,95.0,94.9,94.0
Annual,Percentage,Current expenditure,Serbia,:,: d,:,:,:,94.8,:,:,:,:
Annual,Percentage,Current expenditure,Sweden,94.3,94.9,94.8,94.9,95.1,95.8,95.7,95.4,95.3,94.0
Annual,Percentage,Current expenditure,Slovenia,92.4,88.0,87.7,91.8,86.7,93.1,91.6,93.0,92.2,92.3
Annual,Percentage,Current expenditure,Slovakia,:,93.2,93.4,85.4,94.8,94.5,94.0,93.8,94.2,94.2
Annual,Percentage,Current expenditure,Türkiye,: d,:,:,84.8,85.8,87.4,85.9,91.0,91.4,90.4
Annual,Percentage,Current expenditure,United Kingdom,97.3,97.3,97.4,97.5 b,97.7,97.5,91.2,91.8,:,:
Annual,Percentage,Expenditure for compensation of personnel,Austria,71.2,71.2,72.5,72.2,72.0,72.4,72.7,72.8,73.6,71.7
Annual,Percentage,Expenditure for compensation of personnel,Belgium,86.9,85.9,85.6,85.9,85.7,87.0,86.2,87.5,86.4,85.7
Annual,Percentage,Expenditure for compensation of personnel,Bulgaria,75.9,77.4,77.3,79.5,79.2,76.0,78.0,78.3,79.0,81.5
Annual,Percentage,Expenditure for compensation of personnel,Switzerland,:,82.5,82.7,82.9,83.0 d,:,:,:,:,:
Annual,Percentage,Expenditure for compensation of personnel,Cyprus,88.8,86.9,87.4,86.5,86.5,86.9,84.8,85.9,85.8,84.9
Annual,Percentage,Expenditure for compensation of personnel,Czechia,54.9,58.5,59.8,59.2,63.9,63.0,62.6,62.8,67.1,67.8
Annual,Percentage,Expenditure for compensation of personnel,Germany,78.4 d,77.9,77.9,77.9,78.0,78.3,77.9,78.0 d,78.8 d,77.6 d
Annual,Percentage,Expenditure for compensation of personnel,Denmark,:,:,:,:,77.3,77.0,77.3,77.2,77.8,76.8
Annual,Percentage,Expenditure for compensation of personnel,Estonia,:,66.6 d,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Expenditure for compensation of personnel,Greece,95.0,92.2,92.1,93.3,92.9,92.9,92.4,92.5,:,:
Annual,Percentage,Expenditure for compensation of personnel,Spain,79.9 d,79.5,80.8,81.1,81.0,80.8,80.4,80.9,82.1,80.7
Annual,Percentage,Expenditure for compensation of personnel,European Union - 27 countries (from 2020),:,:,:,:,:,73.6 d,73.7 d,73.1 d,75.8 d,72.2 d
Annual,Percentage,Expenditure for compensation of personnel,European Union - 28 countries (2013-2020),:,:,:,:,:,73.7 d,73.7 d,73.2 d,:,:
Annual,Percentage,Expenditure for compensation of personnel,Finland,63.9,63.7,63.5,62.4,61.4,60.9,60.0,60.3,61.7,61.7
Annual,Percentage,Expenditure for compensation of personnel,France,82.1,80.4,81.5,81.4,81.5,81.7,82.0,81.8,82.8,81.5
Annual,Percentage,Expenditure for compensation of personnel,Croatia,: d,75.1,75.7,:,76.5 d,: d,: d,77.3,81.3,80.8
Annual,Percentage,Expenditure for compensation of personnel,Hungary,69.2,67.0,: d,73.5 e,76.2,73.9,74.1,73.4,77.2,70.9
Annual,Percentage,Expenditure for compensation of personnel,Ireland,80.0,78.1,77.7,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Expenditure for compensation of personnel,Iceland,72.4,70.8 d,71.5,73.3,73.2,73.1,74.3,72.4 d,74.6 d,74.7 d
Annual,Percentage,Expenditure for compensation of personnel,Italy,77.3,76.7,76.1,80.1,77.2,73.4,73.2,74.5,76.2,74.3
Annual,Percentage,Expenditure for compensation of personnel,Liechtenstein,: d,: d,: d,: d,: d,:,:,:,:,:
Annual,Percentage,Expenditure for compensation of personnel,Lithuania,77.0 d,: d,76.1,77.2,77.5,77.2,77.1,78.2,77.6,78.9
Annual,Percentage,Expenditure for compensation of personnel,Luxembourg,81.5,84.7,84.2,84.4,82.8,80.9,81.2,80.6,81.7,81.2
Annual,Percentage,Expenditure for compensation of personnel,Latvia,72.6 d,71.3,70.7,71.8,72.1,76.2,76.7,75.8,78.3,78.7 d
Annual,Percentage,Expenditure for compensation of personnel,Malta,81.0,82.5,82.4,81.9,85.9,85.9,85.5,85.0,85.4,83.6
Annual,Percentage,Expenditure for compensation of personnel,Netherlands,78.0 d,79.1 d,76.9 d,76.6,76.9,77.3,77.6,77.8,79.6,76.3
Annual,Percentage,Expenditure for compensation of personnel,Norway,: d,77.9,78.4,78.8,79.0,77.7,78.8,79.4,80.4,78.1
Annual,Percentage,Expenditure for compensation of personnel,Poland,68.0,: d,74.4 d,74.5,74.5,73.7,75.3,75.3,75.7,75.5
Annual,Percentage,Expenditure for compensation of personnel,Portugal,:,80.1,87.7 d,87.8 d,85.1,85.9,86.0,85.2,85.6,84.4
Annual,Percentage,Expenditure for compensation of personnel,Romania,65.1,69.5,75.0,69.3,76.1,76.4,77.4,77.6,78.7,75.5
Annual,Percentage,Expenditure for compensation of personnel,Serbia,:,: d,:,:,:,78.4,:,:,:,:
Annual,Percentage,Expenditure for compensation of personnel,Sweden,68.5,67.9,68.3,68.3,68.3,68.5,68.4,68.4,69.2,70.3
Annual,Percentage,Expenditure for compensation of personnel,Slovenia,76.3,76.3,76.4,76.0,76.2,77.0,78.1,77.5,81.9,82.5
Annual,Percentage,Expenditure for compensation of personnel,Slovakia,:,62.4,63.1,62.2,67.8,70.7,69.7,70.0,70.5,69.6
Annual,Percentage,Expenditure for compensation of personnel,Türkiye,: d,:,:,79.7,80.4,81.0,81.5,79.3,81.8,82.2
Annual,Percentage,Expenditure for compensation of personnel,United Kingdom,77.1,76.2,75.9,76.0 b,78.7,78.9,78.9,79.6,:,:
Annual,Percentage,Current - other expenditure,Austria,28.8,28.8,27.5,27.8,28.0,27.6,27.3,27.2,26.4,28.3
Annual,Percentage,Current - other expenditure,Belgium,13.1,14.1,14.4,14.1,14.3,13.0,13.8,12.5,13.6,14.3
Annual,Percentage,Current - other expenditure,Bulgaria,24.1,22.6,22.7,20.5,20.8,24.0,22.0,21.7,21.0,18.5
Annual,Percentage,Current - other expenditure,Switzerland,:,17.5,17.3,17.1,17.0 d,:,:,:,:,:
Annual,Percentage,Current - other expenditure,Cyprus,11.2,13.1,12.6,13.5,13.5,13.1,15.2,14.1,14.2,15.1
Annual,Percentage,Current - other expenditure,Czechia,45.1,41.5,40.2,40.8,36.1,37.0,37.4,37.2,32.9,32.2
Annual,Percentage,Current - other expenditure,Germany,21.6,22.1,22.1,22.1,22.0,21.7,22.1,22.0 d,21.2 d,22.4 d
Annual,Percentage,Current - other expenditure,Denmark,24.2,:,:,:,22.7,23.0,22.7,22.8,22.2,23.2
Annual,Percentage,Current - other expenditure,Estonia,:,33.4 d,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Current - other expenditure,Greece,5.0,7.8,7.9,6.7,7.1,7.1,7.6,7.5,:,:
Annual,Percentage,Current - other expenditure,Spain,20.1,20.5,19.2,18.9,19.0,19.2,19.6,19.1,17.9,19.3
Annual,Percentage,Current - other expenditure,European Union - 27 countries (from 2020),:,:,:,:,:,26.4 d,26.3 d,26.9 d,24.2 d,27.8 d
