Time frequency,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Percentage,Total,Austria,2.9,3.3,3.4,2.8,2.7,3.0,1.8,2.3,3.7
Annual,Total,Percentage,Total,Belgium,7.2,8.4,7.2,6.5,6.3,6.7,6.3,5.8,6.1
Annual,Total,Percentage,Total,Bulgaria,36.8,33.5,30.0,22.3,22.1,22.1,19.1,18.7,18.0
Annual,Total,Percentage,Total,Cyprus,7.9,6.6,6.1,3.8,3.2,3.2,2.6,2.7,2.4
Annual,Total,Percentage,Total,Czechia,4.5,3.5,3.4,2.4,2.1,1.9,1.8,2.1,2.7
Annual,Total,Percentage,Total,Germany,5.7,4.7,3.7,3.4,3.0,4.4 b,4.3,6.2,6.9
Annual,Total,Percentage,Total,Denmark,3.2,2.6,3.6,3.5,3.8,3.5,3.1,3.2,4.9
Annual,Total,Percentage,Total,Euro area – 20 countries (from 2023),7.9,7.4,6.3,6.1,5.8,5.9,5.6,6.0,6.4
Annual,Total,Percentage,Total,Estonia,3.5,2.2,4.0,3.1,2.6,2.3,1.9,3.3,2.5
Annual,Total,Percentage,Total,Greece,17.6,18.4,18.3,16.1,15.8,14.9,13.9,13.9,13.5
Annual,Total,Percentage,Total,Spain,7.4,8.5,8.3,8.7,7.7,8.5,8.3,7.7,9.0
Annual,Total,Percentage,Total,European Union - 27 countries (from 2020),9.7,9.0,7.8,7.1,6.7,6.7,6.3,6.7,6.8
Annual,Total,Percentage,Total,Finland,1.0,1.2,1.8,2.2,1.9,1.8,1.1,1.9,2.8
Annual,Total,Percentage,Total,France,6.8,6.7,6.3,6.7,7.3,6.4 b,5.5,7.0 b,6.6
Annual,Total,Percentage,Total,Croatia,8.4,7.3,7.1,6.1,4.6,4.4,3.5,4.0,2.8
Annual,Total,Percentage,Total,Hungary,24.1,20.6,16.1,11.9,10.9,10.7,10.2,9.1,10.4
Annual,Total,Percentage,Total,Ireland,9.4,8.0,6.9,6.1,6.5 b,6.1 b,4.8,5.3,6.0
Annual,Total,Percentage,Total,Italy,12.1,10.1,6.6,6.5,6.4,6.2,5.9,4.5,4.7
Annual,Total,Percentage,Total,Lithuania,14.6,15.4,14.4,12.0,9.7,8.1,6.4,6.0,6.1
Annual,Total,Percentage,Total,Luxembourg,2.5,2.0,1.9,1.6,1.4,1.7 b,2.4 b,2.0 b,2.5
Annual,Total,Percentage,Total,Latvia,15.4,12.6,12.9,10.4,7.5,7.0,5.3,7.8,6.2
Annual,Total,Percentage,Total,Malta,8.2,5.2,4.3,4.7,5.0,5.1,5.4,4.9,4.1
Annual,Total,Percentage,Total,Netherlands,3.2,2.6,2.6,2.6,2.8,2.2,2.1,2.5,2.7
Annual,Total,Percentage,Total,Poland,7.8,5.4,5.3,4.5,3.5,2.6,2.9,2.8,3.0
Annual,Total,Percentage,Total,Portugal,10.9,9.1,8.0,6.6,5.6,5.4,6.0,5.3,4.9
Annual,Total,Percentage,Total,Romania,34.0,35.9,32.4,28.3,24.5,25.3,23.1,24.3,19.8
Annual,Total,Percentage,Total,Sweden,1.1,0.7,1.0,1.4,1.5,2.0,1.4,2.3,2.5
Annual,Total,Percentage,Total,Slovenia,4.8,4.1,4.5,3.2,2.2,2.6,1.8,1.4,2.0
Annual,Total,Percentage,Total,Slovakia,8.4,7.6,6.3,5.4,5.9,4.5,5.7,6.3,7.0
Annual,Total,Percentage point change (t-(t-3)),Total,Austria,:,:,:,-0.1,-0.6,-0.4,-1.0,-0.4,0.7
Annual,Total,Percentage point change (t-(t-3)),Total,Belgium,:,:,:,-0.7,-2.1,-0.5,-0.2,-0.5,-0.6
Annual,Total,Percentage point change (t-(t-3)),Total,Bulgaria,:,:,:,-14.5,-11.4,-7.9,-3.2,-3.4,-4.1
Annual,Total,Percentage point change (t-(t-3)),Total,Cyprus,:,:,:,-4.1,-3.4,-2.9,-1.2,-0.5,-0.8
Annual,Total,Percentage point change (t-(t-3)),Total,Czechia,:,:,:,-2.1,-1.4,-1.5,-0.6,0.0,0.8
Annual,Total,Percentage point change (t-(t-3)),Total,Germany,:,:,:,-2.3,-1.7,0.7 b,0.9,3.2,2.5 b
Annual,Total,Percentage point change (t-(t-3)),Total,Denmark,:,:,:,0.3,1.2,-0.1,-0.4,-0.6,1.4
Annual,Total,Percentage point change (t-(t-3)),Total,Euro area – 20 countries (from 2023),:,:,:,-1.8,-1.6,-0.4,-0.5,0.2,0.5
Annual,Total,Percentage point change (t-(t-3)),Total,Estonia,:,:,:,-0.4,0.4,-1.7,-1.2,0.7,0.2
Annual,Total,Percentage point change (t-(t-3)),Total,Greece,:,:,:,-1.5,-2.6,-3.4,-2.2,-1.9,-1.4
Annual,Total,Percentage point change (t-(t-3)),Total,Spain,:,:,:,1.3,-0.8,0.2,-0.4,0.0,0.5
Annual,Total,Percentage point change (t-(t-3)),Total,European Union - 27 countries (from 2020),:,:,:,-2.6,-2.3,-1.1,-0.8,0.0,0.1
Annual,Total,Percentage point change (t-(t-3)),Total,Finland,:,:,:,1.2,0.7,0.0,-1.1,0.0,1.0
Annual,Total,Percentage point change (t-(t-3)),Total,France,:,:,:,-0.1,0.6,0.1 b,-1.2,-0.3 b,0.2 b
Annual,Total,Percentage point change (t-(t-3)),Total,Croatia,:,:,:,-2.3,-2.7,-2.7,-2.6,-0.6,-1.6
Annual,Total,Percentage point change (t-(t-3)),Total,Hungary,:,:,:,-12.2,-9.7,-5.4,-1.7,-1.8,-0.3
Annual,Total,Percentage point change (t-(t-3)),Total,Ireland,:,:,:,-3.3,-1.5 b,-0.8 b,-1.3,-1.2 b,-0.1 b
Annual,Total,Percentage point change (t-(t-3)),Total,Italy,:,:,:,-5.6,-3.7,-0.4,-0.6,-1.9,-1.5
Annual,Total,Percentage point change (t-(t-3)),Total,Lithuania,:,:,:,-2.6,-5.7,-6.3,-5.6,-3.7,-2.0
Annual,Total,Percentage point change (t-(t-3)),Total,Luxembourg,:,:,:,-0.9,-0.6,-0.2 b,0.8 b,0.6 b,0.8 b
Annual,Total,Percentage point change (t-(t-3)),Total,Latvia,:,:,:,-5.0,-5.1,-5.9,-5.1,0.3,-0.8
Annual,Total,Percentage point change (t-(t-3)),Total,Malta,:,:,:,-3.5,-0.2,0.8,0.7,-0.1,-1.0
Annual,Total,Percentage point change (t-(t-3)),Total,Netherlands,:,:,:,-0.6,0.2,-0.4,-0.5,-0.3,0.5
Annual,Total,Percentage point change (t-(t-3)),Total,Poland,:,:,:,-3.3,-1.9,-2.7,-1.6,-0.7,0.4
Annual,Total,Percentage point change (t-(t-3)),Total,Portugal,:,:,:,-4.3,-3.5,-2.6,-0.6,-0.3,-0.5
Annual,Total,Percentage point change (t-(t-3)),Total,Romania,:,:,:,-5.7,-11.4,-7.1,-5.2,-0.2,-5.5
Annual,Total,Percentage point change (t-(t-3)),Total,Sweden,:,:,:,0.3,0.8,1.0,0.0,0.8,0.5
Annual,Total,Percentage point change (t-(t-3)),Total,Slovenia,:,:,:,-1.6,-1.9,-1.9,-1.4,-0.8,-0.6
Annual,Total,Percentage point change (t-(t-3)),Total,Slovakia,:,:,:,-3.0,-1.7,-1.8,0.3,0.4,2.5
