Time frequency,Ranking,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0
Annual,Top 10,Percentage,Austria,28.0,:
Annual,Top 10,Percentage,Bosnia and Herzegovina,92.0,:
Annual,Top 10,Percentage,Belgium,34.0,:
Annual,Top 10,Percentage,Bulgaria,51.0,49.0
Annual,Top 10,Percentage,Czechia,25.5,24.9
Annual,Top 10,Percentage,Germany,31.0,:
Annual,Top 10,Percentage,Greece,28.0,26.0
Annual,Top 10,Percentage,Spain,17.0,19.0
Annual,Top 10,Percentage,Finland,31.0,34.0
Annual,Top 10,Percentage,Croatia,53.9,54.0
Annual,Top 10,Percentage,Hungary,43.0,36.0
Annual,Top 10,Percentage,Italy,25.0,26.0
Annual,Top 10,Percentage,Lithuania,:,33.3
Annual,Top 10,Percentage,Latvia,42.0,53.0
Annual,Top 10,Percentage,Malta,56.0,46.0
Annual,Top 10,Percentage,Norway,21.0,22.0
Annual,Top 10,Percentage,Poland,21.5,21.0
Annual,Top 10,Percentage,Portugal,19.0,17.7
Annual,Top 10,Percentage,Slovenia,:,50.1
Annual,Top 10,Percentage,Slovakia,35.2,33.0
Annual,Top 100,Percentage,Austria,62.0,:
Annual,Top 100,Percentage,Bosnia and Herzegovina,100.0,:
Annual,Top 100,Percentage,Belgium,61.0,:
Annual,Top 100,Percentage,Bulgaria,76.0,71.0
Annual,Top 100,Percentage,Czechia,65.9,65.1
Annual,Top 100,Percentage,Germany,65.0,:
Annual,Top 100,Percentage,Greece,69.0,65.0
Annual,Top 100,Percentage,Spain,41.0,42.0
Annual,Top 100,Percentage,Finland,67.0,69.0
Annual,Top 100,Percentage,Croatia,87.9,88.6
Annual,Top 100,Percentage,Hungary,70.0,69.0
Annual,Top 100,Percentage,Italy,49.0,50.0
Annual,Top 100,Percentage,Lithuania,:,65.3
Annual,Top 100,Percentage,Latvia,86.0,92.0
Annual,Top 100,Percentage,Malta,98.0,97.0
Annual,Top 100,Percentage,Norway,53.0,53.0
Annual,Top 100,Percentage,Poland,51.5,51.0
Annual,Top 100,Percentage,Portugal,47.0,46.6
Annual,Top 100,Percentage,Slovenia,:,78.8
Annual,Top 100,Percentage,Slovakia,82.8,83.1
Annual,Top 20,Percentage,Austria,38.0,:
Annual,Top 20,Percentage,Bosnia and Herzegovina,100.0,:
Annual,Top 20,Percentage,Belgium,41.0,:
Annual,Top 20,Percentage,Bulgaria,58.0,54.0
Annual,Top 20,Percentage,Czechia,35.0,35.4
Annual,Top 20,Percentage,Germany,42.0,:
Annual,Top 20,Percentage,Greece,39.0,37.0
Annual,Top 20,Percentage,Spain,23.0,25.0
Annual,Top 20,Percentage,Finland,41.0,43.0
Annual,Top 20,Percentage,Croatia,64.0,64.9
Annual,Top 20,Percentage,Hungary,52.0,47.0
Annual,Top 20,Percentage,Italy,31.0,33.0
Annual,Top 20,Percentage,Lithuania,:,40.8
Annual,Top 20,Percentage,Latvia,56.0,66.0
Annual,Top 20,Percentage,Malta,70.0,62.0
Annual,Top 20,Percentage,Norway,30.0,31.0
Annual,Top 20,Percentage,Poland,29.9,28.0
Annual,Top 20,Percentage,Portugal,26.0,25.0
Annual,Top 20,Percentage,Slovenia,:,59.2
Annual,Top 20,Percentage,Slovakia,48.6,47.4
Annual,Top 5,Percentage,Austria,19.0,:
Annual,Top 5,Percentage,Bosnia and Herzegovina,81.0,:
Annual,Top 5,Percentage,Belgium,29.0,:
Annual,Top 5,Percentage,Bulgaria,42.0,41.0
Annual,Top 5,Percentage,Czechia,17.8,17.0
Annual,Top 5,Percentage,Germany,22.0,:
Annual,Top 5,Percentage,Greece,18.0,17.0
Annual,Top 5,Percentage,Spain,12.0,14.0
Annual,Top 5,Percentage,Finland,24.0,27.0
Annual,Top 5,Percentage,Croatia,44.6,43.9
Annual,Top 5,Percentage,Hungary,32.0,23.0
Annual,Top 5,Percentage,Italy,19.0,20.0
Annual,Top 5,Percentage,Lithuania,:,26.6
Annual,Top 5,Percentage,Latvia,31.0,41.0
Annual,Top 5,Percentage,Malta,44.0,32.0
Annual,Top 5,Percentage,Norway,13.0,14.0
Annual,Top 5,Percentage,Poland,14.8,14.0
Annual,Top 5,Percentage,Portugal,12.0,10.7
Annual,Top 5,Percentage,Slovenia,:,42.3
Annual,Top 5,Percentage,Slovakia,22.9,21.0
Annual,Top 50,Percentage,Austria,52.0,:
Annual,Top 50,Percentage,Bosnia and Herzegovina,100.0,:
Annual,Top 50,Percentage,Belgium,52.0,:
Annual,Top 50,Percentage,Bulgaria,68.0,63.0
Annual,Top 50,Percentage,Czechia,53.1,52.7
Annual,Top 50,Percentage,Germany,55.0,:
Annual,Top 50,Percentage,Greece,56.0,54.0
Annual,Top 50,Percentage,Spain,32.0,34.0
Annual,Top 50,Percentage,Finland,56.0,58.0
Annual,Top 50,Percentage,Croatia,78.3,78.8
Annual,Top 50,Percentage,Hungary,63.0,60.0
Annual,Top 50,Percentage,Italy,41.0,42.0
Annual,Top 50,Percentage,Lithuania,:,53.6
Annual,Top 50,Percentage,Latvia,73.0,82.0
Annual,Top 50,Percentage,Malta,88.0,83.0
Annual,Top 50,Percentage,Norway,43.0,43.0
Annual,Top 50,Percentage,Poland,41.4,40.0
Annual,Top 50,Percentage,Portugal,37.0,36.5
Annual,Top 50,Percentage,Slovenia,:,70.8
Annual,Top 50,Percentage,Slovakia,68.8,68.9
