Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Germany,15.82,15.74,15.74,16.28,16.02,16.55,16.41,16.6,16.43,16.26,17.1,13.61
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Denmark,25.06,39.99,39.99,40.78,40.87,40.59,40.35,:,39.92,40.74,40.0,35.71
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Greece,3.34,3.72,3.72,3.95,3.64,3.58,2.46,2.27,1.78,1.61,1.78,1.24
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Spain,6.81,7.89,7.89,6.94,7.49,7.48,7.74,7.8,7.71,7.16,7.09,6.29
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Finland,25.13,25.66,25.66,23.77,22.55,22.67,25.03,24.01,24.29,24.12,24.33,22.72
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,France,24.44,25.72,25.72,26.89,27.14,28.18,28.15,28.69,29.23,30.52,29.51,26.66
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Croatia,1.88,2.18,2.18,2.32,4.12,4.24,4.22,3.25,4.18,1.68,2.29,1.55
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Hungary,1.56,1.75,1.75,1.92,1.76,1.65,1.47,1.56,1.49,1.64,1.61,1.54
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Ireland,39.93,38.81,38.81,:,37.54,37.31,40.28,40.07,39.86,41.65,43.94,37.96
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Italy,9.49,10.23,10.23,10.91,11.33,11.25,10.56,10.75,10.57,10.43,10.23,8.61
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Lithuania,3.08,3.16,3.16,3.71,4.03,4.49,4.65,4.84,5.77,5.74,5.96,5.79
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Luxembourg,52.4,45.36,45.36,46.67,44.45,43.47,41.62,41.52,39.21,37.44,34.22,28.98
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Latvia,1.15,1.26,1.26,1.34,1.38,1.47,1.34,1.58,1.71,1.9,1.93,2.1
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Malta,3.53,4.05,4.05,5.24,5.05,5.79,7.05,7.59,6.91,7.98,7.4,5.59
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Norway,13.8,14.07,14.07,15.25,15.16,14.54,14.86,15.15,15.28,14.65,:,:
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Poland,0.96,0.97,0.97,0.93,1.07,1.08,1.18,1.17,1.28,1.28,1.26,1.25
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Portugal,3.59,3.33,3.33,5.21,5.6,6.1,5.91,5.74,5.89,6.06,5.87,5.43
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Romania,0.04,0.02,0.02,0.07,0.06,0.06,0.11,0.11,0.13,0.18,0.19,0.16
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Sweden,27.99,28.41,28.41,29.13,30.79,30.99,30.67,30.54,30.76,30.65,31.23,27.57
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Slovenia,8.0,8.44,8.44,7.94,5.98,5.51,5.51,5.41,4.87,4.79,5.29,4.99
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Slovakia,0.98,1.01,1.01,1.12,1.26,1.16,0.93,0.98,1.01,0.98,0.94,0.95
