Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Real labour productivity per hour worked,"Index, 2015=100",Ireland,40.221,42.847,47.23,50.248,52.79,55.708,57.754,60.756,62.452,65.153,65.802,66.915,68.652,67.566,72.052,76.494,79.158,79.438,78.177,82.73,100.0,96.217,101.342,104.945,106.834,126.267,136.721,136.441,126.766,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Italy,93.585,93.81,95.6,95.573,96.204,99.026,99.642,99.07,98.458,99.399,99.856,99.605,99.514,98.876,97.021,99.035,99.722,99.035,99.813,99.918,100.0,99.569,100.075,99.916,100.309,103.592,102.361,102.725,101.026,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Lithuania,41.998,43.763,46.967,49.544,51.611,52.139,58.118,60.818,66.373,67.999,72.654,78.653,84.281,86.122,82.38,86.002,92.156,94.521,97.881,100.001,100.0,99.147,106.827,110.087,114.526,121.494,125.723,122.427,119.975,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Luxembourg,89.489,89.721,91.158,93.265,96.512,97.677,95.946,96.68,97.387,99.194,100.18,102.262,104.977,99.908,99.706,101.385,99.6,99.21,101.025,100.774,100.0,101.99,100.48,98.798,98.604,101.794,101.767,100.393,97.598,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Latvia,37.435,38.118,39.932,42.733,44.705,48.884,50.995,55.025,59.475,65.719,71.129,76.427,82.887,82.723,83.164,86.596,87.146,93.016,93.143,95.862,100.0,102.824,107.257,108.918,107.512,110.475,117.662,117.153,119.347,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Malta,:,:,:,:,:,69.415,69.022,70.548,73.013,75.909,77.327,77.439,78.666,79.965,78.742,84.45,85.534,88.323,90.731,94.688,100.0,95.77,103.98,102.852,97.869,99.651,109.409,108.383,108.629,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Netherlands,78.595,78.813,80.488,82.486,84.315,87.071,87.954,88.622,89.759,91.283,93.44,94.94,95.885,96.389,94.237,96.174,97.055,96.967,97.797,98.703,100.0,100.014,100.461,100.046,99.702,100.077,101.635,102.673 p,101.377 p,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Poland,48.471,50.812,53.29,55.11,59.119 e,63.875,66.066,69.591,72.692 b,75.524,76.542,78.726,80.548,81.314,83.768,89.004 b,93.392,94.937,95.827,97.577,100.0,102.078,107.076,114.686,116.519 b,115.031,116.365,121.751,122.579,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Portugal,79.493,80.877,82.5,83.425,85.286,86.2,87.118,87.772,88.13,90.052,91.075,92.768,94.223,94.833,94.424,97.306,98.919,100.139,101.506,100.26,100.0,99.913,100.519,100.479,102.127,102.124,103.167,103.943,104.569 e,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Romania,41.921,44.097,41.627,42.081,42.651,43.971,46.775,54.604,56.825,63.644 b,67.163,72.632,76.616,85.121,84.384,82.656,88.011,90.256,91.567,95.351,100.0,102.689,109.922,116.47,119.808,120.964,122.046,127.419,130.758 p,:
