Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Industry (except construction),Hour,Austria,28.0
Annual,Industry (except construction),Hour,Belgium,31.2
Annual,Industry (except construction),Hour,Bulgaria,26.7
Annual,Industry (except construction),Hour,Cyprus,18.1
Annual,Industry (except construction),Hour,Czechia,21.6
Annual,Industry (except construction),Hour,Germany,29.0
Annual,Industry (except construction),Hour,Denmark,37.3
Annual,Industry (except construction),Hour,Estonia,25.9
Annual,Industry (except construction),Hour,Greece,26.4
Annual,Industry (except construction),Hour,Spain,24.5
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),28.3
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),27.5
Annual,Industry (except construction),Hour,Finland,24.9
Annual,Industry (except construction),Hour,France,26.7
Annual,Industry (except construction),Hour,Hungary,42.6
Annual,Industry (except construction),Hour,Ireland,29.1
Annual,Industry (except construction),Hour,Italy,24.4
Annual,Industry (except construction),Hour,Lithuania,33.9
Annual,Industry (except construction),Hour,Luxembourg,45.0
Annual,Industry (except construction),Hour,Latvia,30.4
Annual,Industry (except construction),Hour,Malta,43.4
Annual,Industry (except construction),Hour,Netherlands,38.0
Annual,Industry (except construction),Hour,Norway,43.8
Annual,Industry (except construction),Hour,Poland,27.6
Annual,Industry (except construction),Hour,Portugal,28.2
Annual,Industry (except construction),Hour,Romania,31.9
Annual,Industry (except construction),Hour,Sweden,44.3
Annual,Industry (except construction),Hour,Slovenia,30.7
Annual,Industry (except construction),Hour,Slovakia,33.5
Annual,Industry (except construction),Hour,United Kingdom,17.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Austria,26.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Belgium,31.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Bulgaria,30.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Cyprus,21.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Czechia,23.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Germany,29.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Denmark,30.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Estonia,27.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Greece,25.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Spain,25.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 27 countries (from 2020),28.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 28 countries (2013-2020),27.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Finland,24.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,France,28.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Hungary,36.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Ireland,25.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Italy,25.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Lithuania,32.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Luxembourg,33.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Latvia,26.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Malta,35.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Netherlands,35.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Norway,32.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Poland,30.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Portugal,26.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Romania,30.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Sweden,33.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovenia,28.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovakia,31.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,United Kingdom,20.0
Annual,Construction,Hour,Austria,21.1
Annual,Construction,Hour,Belgium,24.6
Annual,Construction,Hour,Bulgaria,27.4
Annual,Construction,Hour,Cyprus,18.3
Annual,Construction,Hour,Czechia,20.8
Annual,Construction,Hour,Germany,23.3
Annual,Construction,Hour,Denmark,23.6
Annual,Construction,Hour,Estonia,21.5
Annual,Construction,Hour,Greece,20.1
Annual,Construction,Hour,Spain,20.7
Annual,Construction,Hour,European Union - 27 countries (from 2020),23.4
Annual,Construction,Hour,European Union - 28 countries (2013-2020),22.7
Annual,Construction,Hour,Finland,22.8
Annual,Construction,Hour,France,26.3
Annual,Construction,Hour,Hungary,29.1
Annual,Construction,Hour,Ireland,24.0
Annual,Construction,Hour,Italy,17.4
Annual,Construction,Hour,Lithuania,33.1
Annual,Construction,Hour,Luxembourg,27.4
Annual,Construction,Hour,Latvia,23.1
Annual,Construction,Hour,Malta,31.7
Annual,Construction,Hour,Netherlands,34.2
Annual,Construction,Hour,Norway,25.6
Annual,Construction,Hour,Poland,25.6
Annual,Construction,Hour,Portugal,18.8
Annual,Construction,Hour,Romania,34.8
Annual,Construction,Hour,Sweden,16.4
Annual,Construction,Hour,Slovenia,19.6
Annual,Construction,Hour,Slovakia,19.2
Annual,Construction,Hour,United Kingdom,19.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Austria,22.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Belgium,29.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Bulgaria,31.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Cyprus,20.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Czechia,21.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Germany,25.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Denmark,25.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Estonia,21.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Greece,21.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Spain,30.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 27 countries (from 2020),26.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 28 countries (2013-2020),24.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Finland,18.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,France,27.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Hungary,31.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Ireland,22.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Italy,25.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Lithuania,28.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Luxembourg,31.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Latvia,23.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Malta,31.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Netherlands,30.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Norway,29.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Poland,29.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Portugal,25.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Romania,26.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Sweden,21.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovenia,22.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovakia,29.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,United Kingdom,16.3
Annual,Financial intermediation,Hour,Austria,49.9
Annual,Financial intermediation,Hour,Belgium,28.7
Annual,Financial intermediation,Hour,Bulgaria,20.2
Annual,Financial intermediation,Hour,Cyprus,22.6
Annual,Financial intermediation,Hour,Czechia,58.3
Annual,Financial intermediation,Hour,Germany,41.3
Annual,Financial intermediation,Hour,Denmark,30.2
Annual,Financial intermediation,Hour,Estonia,58.9
Annual,Financial intermediation,Hour,Greece,28.1
Annual,Financial intermediation,Hour,Spain,28.5
Annual,Financial intermediation,Hour,European Union - 27 countries (from 2020),36.6
Annual,Financial intermediation,Hour,European Union - 28 countries (2013-2020),35.7
Annual,Financial intermediation,Hour,Finland,29.1
Annual,Financial intermediation,Hour,France,37.4
Annual,Financial intermediation,Hour,Hungary,33.4
Annual,Financial intermediation,Hour,Ireland,20.7
Annual,Financial intermediation,Hour,Italy,36.9
Annual,Financial intermediation,Hour,Lithuania,39.0
Annual,Financial intermediation,Hour,Luxembourg,28.5
Annual,Financial intermediation,Hour,Latvia,23.3
Annual,Financial intermediation,Hour,Malta,19.5
Annual,Financial intermediation,Hour,Netherlands,36.1
Annual,Financial intermediation,Hour,Norway,52.3
Annual,Financial intermediation,Hour,Poland,44.2
Annual,Financial intermediation,Hour,Portugal,23.4
Annual,Financial intermediation,Hour,Romania,23.7
Annual,Financial intermediation,Hour,Sweden,20.2
Annual,Financial intermediation,Hour,Slovenia,33.8
Annual,Financial intermediation,Hour,Slovakia,50.0
Annual,Financial intermediation,Hour,United Kingdom,26.7
Annual,Real estate; other service activities,Hour,Austria,19.4
Annual,Real estate; other service activities,Hour,Belgium,36.5
Annual,Real estate; other service activities,Hour,Bulgaria,46.7
Annual,Real estate; other service activities,Hour,Cyprus,35.1
Annual,Real estate; other service activities,Hour,Czechia,25.2
Annual,Real estate; other service activities,Hour,Germany,30.7
Annual,Real estate; other service activities,Hour,Denmark,31.8
Annual,Real estate; other service activities,Hour,Estonia,35.3
Annual,Real estate; other service activities,Hour,Greece,39.3
Annual,Real estate; other service activities,Hour,Spain,20.7
Annual,Real estate; other service activities,Hour,European Union - 27 countries (from 2020),29.1
Annual,Real estate; other service activities,Hour,European Union - 28 countries (2013-2020),27.6
Annual,Real estate; other service activities,Hour,Finland,33.3
Annual,Real estate; other service activities,Hour,France,28.0
Annual,Real estate; other service activities,Hour,Hungary,46.9
Annual,Real estate; other service activities,Hour,Ireland,28.2
Annual,Real estate; other service activities,Hour,Italy,21.8
Annual,Real estate; other service activities,Hour,Lithuania,33.5
Annual,Real estate; other service activities,Hour,Luxembourg,34.5
Annual,Real estate; other service activities,Hour,Latvia,30.2
Annual,Real estate; other service activities,Hour,Malta,45.9
Annual,Real estate; other service activities,Hour,Netherlands,40.3
Annual,Real estate; other service activities,Hour,Norway,22.4
Annual,Real estate; other service activities,Hour,Poland,29.9
Annual,Real estate; other service activities,Hour,Portugal,30.9
Annual,Real estate; other service activities,Hour,Romania,37.7
