Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Percentage of total employment,Austria,0.62,0.59,0.63,0.67,0.87,0.66,0.62,0.56,0.71,0.7,0.60 b,0.65,0.73
Annual,Total,Percentage of total employment,Belgium,0.52,0.49 b,0.46,0.44,0.43,0.51,0.50 b,0.49 b,0.5,0.58,0.53 b,0.6,0.65
Annual,Total,Percentage of total employment,Bulgaria,0.34,0.29,0.31,0.31,0.35,0.38,0.42,0.4,0.44 b,0.43,0.36 b,0.31 b,0.37
Annual,Total,Percentage of total employment,Switzerland,0.88,0.92,0.9,1.0,1.07,1.16,1.13,1.21,1.21,1.18,1.01 b,0.91,0.89
Annual,Total,Percentage of total employment,Cyprus,0.8,0.55,0.53,0.56,0.53 b,0.76,0.77,0.61,0.73,0.86,0.89 b,0.73,0.68
Annual,Total,Percentage of total employment,Czechia,0.53,0.45,0.51,0.58,0.54,0.61,0.63,0.64,0.68,0.56,0.57 b,0.59,0.58
Annual,Total,Percentage of total employment,Germany,0.45,0.52 b,0.55,0.55,0.56,0.59,0.61,0.61,0.62,0.57 b,0.54 b,0.56,0.56
Annual,Total,Percentage of total employment,Denmark,0.97,0.96,0.89,1.02,1.06,1.04 b,0.95 b,0.99,1.06,0.93,0.96 b,1.16,1.25 b
Annual,Total,Percentage of total employment,Estonia,0.56,0.65,0.82,1.01,0.76,0.84,0.76,0.81,0.9,0.69,0.76 b,1.03,0.97
Annual,Total,Percentage of total employment,Greece,0.31,0.22,0.28,0.4,0.43,0.47,0.53,0.56,0.54,0.66,0.58 b,0.81,0.62
Annual,Total,Percentage of total employment,Spain,0.8,0.91,0.96,1.08,1.03,1.05,1.07,1.09,1.09,1.04,1.11 bd,1.13 d,1.16 d
Annual,Total,Percentage of total employment,European Union - 27 countries (from 2020),0.6,0.62,0.61,0.62,0.64,0.65,0.66,0.67,0.69,0.67,0.69 b,0.75,0.75
Annual,Total,Percentage of total employment,Finland,0.95,0.95,1.05,1.26,1.26,1.25,1.26,1.26,1.26,1.35,1.28 b,1.21,1.14
Annual,Total,Percentage of total employment,France,1.08,1.08,0.83 b,0.64 b,0.67,0.68,0.64,0.69,0.67,0.69,1.01 bd,1.11 d,1.01 d
Annual,Total,Percentage of total employment,Croatia,0.25 u,0.29 u,0.30 u,0.39 u,0.30 u,0.37 u,0.39 u,0.59 u,0.65,0.36 u,0.46 bu,0.46 u,0.52 bu
