Time frequency,Unit of measure,Seasonal adjustment,Balance of payments item,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,Octobre-Décembre 1995,Janvier-Mars 1996,Avril-Juin 1996,Jullet-Septembre 1996,Octobre-Décembre 1996,Janvier-Mars 1997,Avril-Juin 1997,Jullet-Septembre 1997,Octobre-Décembre 1997,Janvier-Mars 1998,Avril-Juin 1998,Jullet-Septembre 1998,Octobre-Décembre 1998,Janvier-Mars 1999,Avril-Juin 1999,Jullet-Septembre 1999,Octobre-Décembre 1999,Janvier-Mars 2000,Avril-Juin 2000,Jullet-Septembre 2000,Octobre-Décembre 2000,Janvier-Mars 2001,Avril-Juin 2001,Jullet-Septembre 2001,Octobre-Décembre 2001,Janvier-Mars 2002,Avril-Juin 2002,Jullet-Septembre 2002,Octobre-Décembre 2002,Janvier-Mars 2003,Avril-Juin 2003,Jullet-Septembre 2003,Octobre-Décembre 2003,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,18.1,15.7,16.4,23.4,25.3,27.4,27.2,28.2,24.5,26.6,27.3,30.3,27.4,29.7,31.5,27.0,25.3,23.1,22.0,22.1,20.6,20.9,20.0,18.4,17.0,16.1,15.9,15.9,14.1,14.2,15.4,13.4,16.7,15.0,15.9,15.5,15.8,13.6,18.1,23.4,21.8,21.3,21.2,20.7,21.6,23.8,26.7,28.2,24.9,25.9,30.0,24.1,24.5,25.7,26.4,26.0,22.9,20.5,20.6,20.5,20.1,20.6,19.4,21.0,22.3,20.2,19.9,18.6,20.0,21.1,20.5,20.9,20.5,19.0,17.6,18.0,17.3,17.8,15.7,17.3,16.2,17.1,18.2,16.8,15.7,18.0,18.5,21.7,21.6,22.3,23.7,23.5,20.8,18.5,17.4,20.1,18.3,19.7,18.6,19.4,18.9,18.1,19.4
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-42.4,-39.8,-37.8,-43.6,-47.0,-43.4,-47.1,-49.3,-51.0,-52.0,-46.5,-45.5,-65.1,-66.6,-70.3,-77.1,-86.7,-92.7,-91.5,-100.2,-102.5,-105.6,-108.5,-110.1,-106.5,-108.1,-107.2,-111.6,-112.2,-111.1,-109.4,-91.8,-86.8,-82.9,-79.7,-81.4,-80.9,-76.4,-74.3,-70.3,-67.7,-67.5,-58.0,-52.9,-46.0,-46.1,-43.7,-28.1,-26.9,-23.9,-21.2,-15.2,-11.5,-8.6,-6.8,0.6,7.8,11.9,15.1,15.4,16.7,20.5,23.2,22.9,22.7,19.6,19.1,22.1,18.4,18.5,19.7,18.0,20.0,21.6,21.4,25.0,21.9,21.8,21.6
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.2,43.5,38.8,37.1,36.2,33.7,29.0,29.4,29.1,29.5,26.8,25.2,24.3,24.2,21.7,21.5,20.2,20.7,18.1,18.2,15.7,8.8,5.0,3.3,0.2,-2.0,-5.7,-7.8,-7.0,-7.3,-10.8,-10.1,-10.1,-10.8,-13.4,-16.0,-17.2,-17.3,-20.6,-21.1,-24.0,-25.7,-27.4,-27.0,-29.4,-29.4,-31.2,-28.8,-28.4,-28.3,-32.0,-30.5,-31.0,-32.2,-33.2,-33.6,-32.9,-32.8,-32.7
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,144.6,145.9,142.0,143.3,140.3,152.9,150.0,150.6,162.1,154.4,172.2,149.1,177.8,193.0,209.7,225.5,223.5,237.7,257.2,271.8,309.2,318.6,344.3,360.4,391.2,430.7,455.9,504.6,519.5,537.2,549.7,581.9,553.9,544.5,530.8,497.2,486.6,490.5,464.4,477.4,474.9,459.9,467.7,463.4,422.2,393.5,338.4,312.5,292.2,264.7,242.4,220.2,184.7,162.2,134.8,112.5,120.3,122.6,92.9,98.8,79.6,81.9,67.2,51.3,47.0,38.4,53.9
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-23.4,-21.1,-19.6,-14.2,-14.8,-18.3,-16.4,-16.3,-15.7,-14.5,-13.7,-12.1,-11.2,-11.2,-8.5,-7.4,-7.2,-5.2,-4.5,-4.7,-5.5,-3.0,-2.2,-2.4,-3.6,-3.7,-1.9,-1.3,-1.1,0.7,0.8,-0.2,0.3,-1.0,-0.5,-1.1,-2.9,-2.4,-3.8,-5.0,-8.2,-5.4,-5.5,-6.2,-9.6,-9.5,-8.6,-9.6,-11.5,-12.1,-12.3,-13.2,-17.7,-14.1,-12.7,-11.3,-11.5,-13.9,-12.3,-12.3,-14.3,-14.2,-14.9,-12.6,-19.0,-16.9,-19.0,-16.8,-19.2,-18.1,-17.7,-16.3,-14.4,-14.8,-11.5,-7.8,-7.7,-8.1,-8.7,-8.3,-10.4,-10.2,-10.3
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.8,:,:,:,24.7,:,:,:,23.1,:,:,:,26.8,:,:,:,22.8,22.7,20.9,19.8,18.8,18.2,17.9,17.6,17.0,14.3,9.9,9.9,8.2,6.0,4.8,5.6,3.8,5.2,3.4,4.8,5.8,6.8,4.4,4.7,1.0,2.2,3.6,4.6,3.3,0.9,1.4,6.7,6.6,5.5,5.2,4.4,2.6,2.9,0.7,-1.0,-4.2,-4.4,-4.9,-6.0,-6.7,-6.2,-8.3,-9.1,-8.8,-7.7,-8.6,-9.2,-10.7,-12.8,-14.0,-14.1,-15.0,-15.3,-15.6,-14.8,-14.0,-13.9,-14.2,-14.0,-15.1,-12.6,-11.7,-11.5,-12.9,-12.4,-11.3,-9.3,-8.2,-7.0,-6.6,-4.7,-6.7,-7.9,-6.7,-7.3,-9.1,-9.9,-8.9,-10.2
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.1,18.3,19.1,20.8,28.1,29.0,29.2,31.8,37.5,33.3,31.4,32.2,34.5,32.3,29.5,29.6,30.4,31.2,29.4,28.5,25.5,25.2,22.1,21.9,19.6,19.0,17.0,14.3,14.9,12.8,11.0,10.9,7.9,8.2,9.7,8.2,4.0,2.7,0.2,0.2,2.5,0.1,2.8,3.2,3.6,-0.7,-1.5,-3.0,-3.5,-1.9,-6.4,-4.8,-5.9,-3.8,-4.6,-4.4,-7.4,-9.7,-12.6,-13.3,-11.8,-10.7,-10.8,-10.0,-12.6,-12.4,-10.6,-12.7,-12.2,-14.0,-19.3,-19.5,-20.9,-20.8,-20.7,-20.3,-23.0,-22.2,:
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,21.2,22.8,21.8,24.9,22.1,23.5,22.7,24.1,19.2,19.4,19.0,19.8,19.5,19.3,20.4,22.1,23.0,23.6,22.4,25.5,24.9,28.8,29.9,30.8,32.6,31.4,32.0,32.7,33.8,36.7,39.7,42.8,43.2,45.0,48.9,48.0,49.6,50.3,51.0,53.9,52.8,53.8,52.4,52.0,50.2,53.2,43.0,34.6,23.0,20.6,10.0,5.7,4.8,2.0,-0.2,-1.1,-2.2,-3.5,-3.8,-4.8,-4.5,-5.6,-7.3,-10.3,-10.8,-6.7,-9.1,-9.7,-7.9,-8.6,-10.5,-9.4,-6.7,-7.4,-8.8,-13.2,-11.3,-14.4,-15.3,-15.5,-16.3,-17.4,-19.1,-19.9,-19.5,-21.2,-25.1,-26.0,-27.0,-32.2,-33.7,-44.5,-42.0,-31.3,-28.6,-32.2,-32.4,-32.1,-31.1,-33.5,-29.8,-22.8,-21.2
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,49.2,52.4,51.8,51.0,52.2,51.0,54.3,58.2,58.5,59.6,61.3,61.5,61.1,61.7,63.5,65.1,67.1,69.2,71.2,73.4,74.2,78.0,81.5,85.4,85.3,86.4,95.5,103.1,102.0,108.9,107.9,111.5,100.6,113.5,119.0,121.7,127.1,130.8,133.1,132.9,134.6,134.6,133.6,132.2,134.5,140.3,143.1,144.5,138.6,139.7,138.1,136.0,136.6,138.3,138.5,134.8,137.4,139.2,138.4,138.0,141.7,139.2,141.6,139.5,139.7,142.7,149.0,154.2,159.5,164.0,167.5,161.0,158.0,155.3,148.2,141.8,135.4,132.9,131.0,125.8,123.8,120.7,118.7,115.1
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Spain,9.3,10.4,12.1,12.5,13.2,15.1,16.6,18.0,18.5,19.3,20.2,21.6,20.0,19.3,20.0,20.3,20.4,19.0,20.9,21.6,22.9,24.7,24.9,25.5,25.5,26.6,27.4,28.3,28.6,28.1,29.5,30.5,32.3,35.1,36.6,36.9,39.2,41.4,45.0,46.5,48.4,52.8,55.2,57.9,60.2,64.6,68.2,69.3,70.9,72.3,74.3,76.2,77.5,82.2,84.0,85.5,88.4,91.6,91.7,93.5,91.4,91.1,93.7,95.7,95.3,95.5,95.2,95.3,93.3,94.8,94.0,93.4,92.5,94.8,94.6,95.7,95.2,96.7,94.0,93.4,91.1,91.6,91.2,90.3,86.9,88.1,88.2,86.8,85.5,85.7,83.8,82.4,79.4,78.2,77.3,77.4,74.3,74.0,79.9,83.1,86.4,87.0,82.6,81.2,76.7,71.9,66.4,62.9,60.4,58.6,56.2,53.5,52.4,52.0,49.8,50.2
